
============================================================
worker start: entropyPct=97.125 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: entropyPct
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Entropy Threshold (% of Max Entropy) (entropyPct)

[Config 1/1] entropyPct=97.125 on 25x25
  [entropyPct=97.125 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 1/100: OK (time=0.9745s)
    Rep 2/100: OK (time=3.6064s)
    Rep 3/100: OK (time=0.6703s)
    Rep 4/100: OK (time=3.1640s)
    Rep 5/100: OK (time=2.2918s)
    Rep 6/100: OK (time=0.7458s)
    Rep 7/100: OK (time=3.1578s)
    Rep 8/100: OK (time=1.4009s)
    Rep 9/100: OK (time=12.3836s)
    Rep 10/100: OK (time=1.4891s)
    Rep 11/100: OK (time=1.8442s)
    Rep 12/100: OK (time=3.8542s)
    Rep 13/100: OK (time=1.0520s)
    Rep 14/100: OK (time=0.9072s)
    Rep 15/100: OK (time=1.2010s)
    Rep 16/100: OK (time=0.6120s)
    Rep 17/100: OK (time=1.1468s)
    Rep 18/100: OK (time=2.4510s)
    Rep 19/100: OK (time=0.3665s)
    Rep 20/100: OK (time=4.9150s)
    Rep 21/100: OK (time=1.5321s)
    Rep 22/100: OK (time=1.0622s)
    Rep 23/100: OK (time=3.2618s)
    Rep 24/100: OK (time=3.2700s)
    Rep 25/100: OK (time=2.4408s)
    Rep 26/100: OK (time=1.3482s)
    Rep 27/100: OK (time=2.2670s)
    Rep 28/100: OK (time=0.2704s)
    Rep 29/100: OK (time=1.1211s)
    Rep 30/100: OK (time=3.7680s)
    Rep 31/100: OK (time=5.2143s)
    Rep 32/100: OK (time=1.1972s)
    Rep 33/100: OK (time=1.6883s)
    Rep 34/100: OK (time=1.4535s)
    Rep 35/100: OK (time=4.4224s)
    Rep 36/100: OK (time=1.2123s)
    Rep 37/100: OK (time=0.5369s)
    Rep 38/100: OK (time=2.8500s)
    Rep 39/100: OK (time=1.7854s)
    Rep 40/100: OK (time=1.4567s)
    Rep 41/100: OK (time=5.1589s)
    Rep 42/100: OK (time=1.3238s)
    Rep 43/100: OK (time=1.3569s)
    Rep 44/100: OK (time=1.6958s)
    Rep 45/100: OK (time=2.4395s)
    Rep 46/100: OK (time=1.0538s)
    Rep 47/100: OK (time=4.2584s)
    Rep 48/100: OK (time=1.6750s)
    Rep 49/100: OK (time=3.7367s)
    Rep 50/100: OK (time=8.2408s)
    Rep 51/100: OK (time=2.5866s)
    Rep 52/100: OK (time=3.7104s)
    Rep 53/100: OK (time=2.1863s)
    Rep 54/100: OK (time=2.6132s)
    Rep 55/100: OK (time=2.6563s)
    Rep 56/100: OK (time=0.9966s)
    Rep 57/100: OK (time=4.9720s)
    Rep 58/100: OK (time=1.7225s)
    Rep 59/100: OK (time=1.4586s)
    Rep 60/100: OK (time=3.5847s)
    Rep 61/100: OK (time=3.6785s)
    Rep 62/100: OK (time=0.4317s)
    Rep 63/100: OK (time=4.2007s)
    Rep 64/100: OK (time=2.8616s)
    Rep 65/100: OK (time=0.6816s)
    Rep 66/100: OK (time=0.4470s)
    Rep 67/100: OK (time=0.1992s)
    Rep 68/100: OK (time=2.2592s)
    Rep 69/100: OK (time=6.1053s)
    Rep 70/100: OK (time=1.9052s)
    Rep 71/100: OK (time=3.9225s)
    Rep 72/100: OK (time=3.5676s)
    Rep 73/100: OK (time=11.4466s)
    Rep 74/100: OK (time=0.3112s)
    Rep 75/100: OK (time=1.2969s)
    Rep 76/100: OK (time=1.1530s)
    Rep 77/100: OK (time=7.3804s)
    Rep 78/100: OK (time=3.1003s)
    Rep 79/100: OK (time=13.5023s)
    Rep 80/100: OK (time=4.1853s)
    Rep 81/100: OK (time=1.6684s)
    Rep 82/100: OK (time=1.4190s)
    Rep 83/100: OK (time=2.6805s)
    Rep 84/100: OK (time=3.4880s)
    Rep 85/100: OK (time=0.9306s)
    Rep 86/100: OK (time=1.6161s)
    Rep 87/100: OK (time=5.0260s)
    Rep 88/100: OK (time=3.8420s)
    Rep 89/100: OK (time=1.4637s)
    Rep 90/100: OK (time=1.0715s)
    Rep 91/100: OK (time=0.7995s)
    Rep 92/100: OK (time=1.1154s)
    Rep 93/100: OK (time=1.3848s)
    Rep 94/100: OK (time=1.6079s)
    Rep 95/100: OK (time=0.6999s)
    Rep 96/100: OK (time=5.3617s)
    Rep 97/100: OK (time=0.7130s)
    Rep 98/100: OK (time=6.3142s)
    Rep 99/100: OK (time=5.4095s)
    Rep 100/100: OK (time=2.7308s)
    => success%=100.0 time_mean=2.697982 cycles_mean=106.23
  [entropyPct=97.125 [25x25]] (2/50) inst25x25_40_50.txt 
    Rep 1/100: OK (time=17.5510s)
    Rep 2/100: OK (time=4.2264s)
    Rep 3/100: OK (time=4.1475s)
    Rep 4/100: OK (time=6.2345s)
    Rep 5/100: OK (time=4.6584s)
    Rep 6/100: OK (time=19.6035s)
    Rep 7/100: OK (time=4.4786s)
    Rep 8/100: OK (time=10.1997s)
    Rep 9/100: OK (time=10.3825s)
    Rep 10/100: OK (time=10.8746s)
    Rep 11/100: OK (time=11.6088s)
    Rep 12/100: OK (time=17.0323s)
    Rep 13/100: OK (time=1.1878s)
    Rep 14/100: OK (time=2.3546s)
    Rep 15/100: OK (time=2.8607s)
    Rep 16/100: OK (time=5.5238s)
    Rep 17/100: OK (time=5.5758s)
    Rep 18/100: OK (time=3.1715s)
    Rep 19/100: OK (time=1.4482s)
    Rep 20/100: OK (time=1.7595s)
    Rep 21/100: OK (time=8.6110s)
    Rep 22/100: OK (time=4.5648s)
    Rep 23/100: OK (time=8.6943s)
    Rep 24/100: OK (time=15.7724s)
