
============================================================
worker start: evap=0.01 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: evap
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: BVE (Evaporation Rate of BestPher) (evap)

[Config 1/1] evap=0.01 on 25x25
  [evap=0.01 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 1/100: OK (time=0.9286s)
    Rep 2/100: OK (time=3.2052s)
    Rep 3/100: OK (time=3.5247s)
    Rep 4/100: OK (time=7.1835s)
    Rep 5/100: OK (time=2.0613s)
    Rep 6/100: OK (time=0.3871s)
    Rep 7/100: OK (time=3.7117s)
    Rep 8/100: OK (time=2.8698s)
    Rep 9/100: OK (time=3.7312s)
    Rep 10/100: OK (time=9.2074s)
    Rep 11/100: OK (time=0.8032s)
    Rep 12/100: OK (time=0.7169s)
    Rep 13/100: OK (time=0.5814s)
    Rep 14/100: OK (time=3.7414s)
    Rep 15/100: OK (time=10.8794s)
    Rep 16/100: OK (time=0.7410s)
    Rep 17/100: OK (time=2.1323s)
    Rep 18/100: OK (time=5.7172s)
    Rep 19/100: OK (time=3.0918s)
    Rep 20/100: OK (time=0.9766s)
    Rep 21/100: OK (time=1.0305s)
    Rep 22/100: OK (time=1.1595s)
    Rep 23/100: OK (time=1.4650s)
    Rep 24/100: OK (time=0.8738s)
    Rep 25/100: OK (time=1.5825s)
    Rep 26/100: OK (time=0.8821s)
    Rep 27/100: OK (time=2.2987s)
    Rep 28/100: OK (time=1.3875s)
    Rep 29/100: OK (time=0.3955s)
    Rep 30/100: OK (time=10.1154s)
    Rep 31/100: OK (time=1.9800s)
    Rep 32/100: OK (time=7.2452s)
    Rep 33/100: OK (time=2.4986s)
    Rep 34/100: OK (time=1.8448s)
    Rep 35/100: OK (time=11.9995s)
    Rep 36/100: OK (time=6.4351s)
    Rep 37/100: OK (time=5.1774s)
    Rep 38/100: OK (time=1.6623s)
    Rep 39/100: OK (time=2.2930s)
    Rep 40/100: OK (time=3.8179s)
    Rep 41/100: OK (time=3.4986s)
    Rep 42/100: OK (time=5.8989s)
    Rep 43/100: OK (time=2.4325s)
    Rep 44/100: OK (time=1.2574s)
    Rep 45/100: OK (time=3.2930s)
    Rep 46/100: OK (time=0.9368s)
    Rep 47/100: OK (time=2.0641s)
    Rep 48/100: OK (time=3.0931s)
    Rep 49/100: OK (time=2.6706s)
    Rep 50/100: OK (time=3.4024s)
    Rep 51/100: OK (time=2.7874s)
    Rep 52/100: OK (time=7.3747s)
    Rep 53/100: OK (time=4.5685s)
    Rep 54/100: OK (time=4.8565s)
    Rep 55/100: OK (time=2.7660s)
    Rep 56/100: OK (time=1.5104s)
    Rep 57/100: OK (time=11.8372s)
    Rep 58/100: OK (time=4.1349s)
    Rep 59/100: OK (time=4.0995s)
    Rep 60/100: OK (time=2.3855s)
    Rep 61/100: OK (time=2.8140s)
    Rep 62/100: OK (time=1.1140s)
    Rep 63/100: OK (time=4.3969s)
    Rep 64/100: OK (time=1.6030s)
    Rep 65/100: OK (time=3.2446s)
    Rep 66/100: OK (time=2.9699s)
    Rep 67/100: OK (time=3.0156s)
    Rep 68/100: OK (time=2.7459s)
    Rep 69/100: OK (time=4.2846s)
    Rep 70/100: OK (time=1.0596s)
    Rep 71/100: OK (time=1.6759s)
    Rep 72/100: OK (time=3.7853s)
    Rep 73/100: OK (time=1.6418s)
    Rep 74/100: OK (time=1.5781s)
    Rep 75/100: OK (time=1.1790s)
    Rep 76/100: OK (time=3.5830s)
    Rep 77/100: OK (time=7.2155s)
    Rep 78/100: OK (time=2.2707s)
    Rep 79/100: OK (time=18.5397s)
