
============================================================
worker start: rho=0.5 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: rho
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: rho (Pheromone Persistence) (rho)

[Config 1/1] rho=0.5 on 25x25
  [rho=0.5 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 1/100: OK (time=0.8358s)
    Rep 2/100: OK (time=0.8585s)
    Rep 3/100: OK (time=0.7554s)
    Rep 4/100: OK (time=1.6544s)
    Rep 5/100: OK (time=1.3953s)
    Rep 6/100: OK (time=0.9576s)
    Rep 7/100: OK (time=1.4184s)
    Rep 8/100: OK (time=3.0568s)
    Rep 9/100: OK (time=9.7480s)
    Rep 10/100: OK (time=5.2441s)
    Rep 11/100: OK (time=3.0438s)
    Rep 12/100: OK (time=1.0094s)
    Rep 13/100: OK (time=4.1418s)
    Rep 14/100: OK (time=0.4223s)
    Rep 15/100: OK (time=2.1658s)
    Rep 16/100: OK (time=0.5085s)
    Rep 17/100: OK (time=0.8700s)
    Rep 18/100: OK (time=3.8001s)
    Rep 19/100: OK (time=12.1089s)
    Rep 20/100: OK (time=10.2564s)
    Rep 21/100: OK (time=1.0296s)
    Rep 22/100: OK (time=0.1554s)
    Rep 23/100: OK (time=9.7887s)
    Rep 24/100: OK (time=1.9860s)
    Rep 25/100: OK (time=6.8647s)
    Rep 26/100: OK (time=2.6539s)
    Rep 27/100: OK (time=2.0820s)
    Rep 28/100: OK (time=4.5742s)
    Rep 29/100: OK (time=0.4933s)
    Rep 30/100: OK (time=15.4973s)
    Rep 31/100: OK (time=3.0146s)
    Rep 32/100: OK (time=4.8417s)
    Rep 33/100: OK (time=5.7809s)
    Rep 34/100: OK (time=3.3482s)
    Rep 35/100: OK (time=0.9421s)
    Rep 36/100: OK (time=9.5306s)
    Rep 37/100: OK (time=1.9150s)
    Rep 38/100: OK (time=1.3127s)
    Rep 39/100: OK (time=6.1054s)
    Rep 40/100: OK (time=0.4160s)
    Rep 41/100: OK (time=6.3999s)
    Rep 42/100: OK (time=0.8827s)
    Rep 43/100: OK (time=0.3956s)
    Rep 44/100: OK (time=5.2030s)
    Rep 45/100: OK (time=2.2131s)
    Rep 46/100: OK (time=1.6429s)
    Rep 47/100: OK (time=2.0847s)
