instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
16x16_02203.txt,2,CP-DCM-ACO,100.0,0.021037,0.022874,7.06,7.328
16x16_02205.txt,2,CP-DCM-ACO,100.0,0.034936,0.044132,10.73,13.667
16x16_02211.txt,2,CP-DCM-ACO,100.0,0.015245,0.015042,5.39,5.35
16x16_02214.txt,2,CP-DCM-ACO,100.0,0.027806,0.037586,8.5,11.373
16x16_02223.txt,2,CP-DCM-ACO,100.0,0.018894,0.014924,4.99,3.722
16x16_02228.txt,2,CP-DCM-ACO,100.0,0.142134,0.186479,33.15,42.92
16x16_02230.txt,2,CP-DCM-ACO,100.0,0.024661,0.033301,6.62,9.238
16x16_02233.txt,2,CP-DCM-ACO,100.0,0.068819,0.120188,16.3,28.584
16x16_02234.txt,2,CP-DCM-ACO,100.0,0.052967,0.067983,13.81,17.35
16x16_02237.txt,2,CP-DCM-ACO,100.0,0.090271,0.119642,19.56,25.3
16x16_02251.txt,2,CP-DCM-ACO,100.0,0.018224,0.013952,5.12,3.945
16x16_02256.txt,2,CP-DCM-ACO,100.0,0.091836,0.151308,21.53,35.259
16x16_02265.txt,2,CP-DCM-ACO,100.0,0.007394,0.004308,1.97,1.034
16x16_02280.txt,2,CP-DCM-ACO,100.0,0.020769,0.024613,5.1,5.915
16x16_02281.txt,2,CP-DCM-ACO,100.0,0.017013,0.012248,4.45,3.103
16x16_02288.txt,2,CP-DCM-ACO,100.0,0.08252,0.108526,20.25,26.067
16x16_02291.txt,2,CP-DCM-ACO,100.0,0.010624,0.008102,2.71,2.011
16x16_02292.txt,2,CP-DCM-ACO,100.0,0.037999,0.057941,9.66,14.565
16x16_02297.txt,2,CP-DCM-ACO,100.0,0.048089,0.072694,10.23,14.271
16x16_02300.txt,2,CP-DCM-ACO,100.0,0.0138,0.030313,4.25,8.7
16x16_02314.txt,2,CP-DCM-ACO,100.0,0.039166,0.061126,9.78,14.68
16x16_02330.txt,2,CP-DCM-ACO,100.0,0.0161,0.021865,4.64,6.032
16x16_02333.txt,2,CP-DCM-ACO,100.0,0.010008,0.003698,2.29,0.697
16x16_02338.txt,2,CP-DCM-ACO,100.0,0.027326,0.021882,7.26,5.589
16x16_02349.txt,2,CP-DCM-ACO,100.0,0.594461,1.03198,115.73,189.87
16x16_02350.txt,2,CP-DCM-ACO,100.0,0.030573,0.065606,8.45,18.824
16x16_02354.txt,2,CP-DCM-ACO,100.0,0.737063,0.863729,172.04,200.124
16x16_02355.txt,2,CP-DCM-ACO,100.0,0.016084,0.009894,4.44,2.699
16x16_02357.txt,2,CP-DCM-ACO,100.0,0.119893,0.21923,28.44,51.881
16x16_02367.txt,2,CP-DCM-ACO,100.0,0.022877,0.027407,5.19,5.502
16x16_02370.txt,2,CP-DCM-ACO,100.0,0.008049,0.005096,2.38,1.434
16x16_02371.txt,2,CP-DCM-ACO,100.0,0.077865,0.102575,21.86,29.094
16x16_02374.txt,2,CP-DCM-ACO,100.0,0.038496,0.055845,9.7,14.369
16x16_02379.txt,2,CP-DCM-ACO,100.0,0.082805,0.116782,22.35,30.216
16x16_02383.txt,2,CP-DCM-ACO,100.0,0.009164,0.005327,2.69,1.598
16x16_02388.txt,2,CP-DCM-ACO,100.0,0.009488,0.009621,3.06,2.894
16x16_02390.txt,2,CP-DCM-ACO,100.0,0.469741,1.905817,100.12,352.136
16x16_02395.txt,2,CP-DCM-ACO,100.0,0.010718,0.004575,3.02,1.183
16x16_02405.txt,2,CP-DCM-ACO,99.0,1.456744,2.603712,311.818,460.605
16x16_02407.txt,2,CP-DCM-ACO,100.0,0.010022,0.014052,4.78,6.796
16x16_02411.txt,2,CP-DCM-ACO,100.0,0.050633,0.064334,19.4,24.66
16x16_02418.txt,2,CP-DCM-ACO,100.0,0.012534,0.010021,4.53,3.551
16x16_02435.txt,2,CP-DCM-ACO,100.0,0.030898,0.033415,9.45,10.026
16x16_02436.txt,2,CP-DCM-ACO,100.0,0.033156,0.120925,12.46,45.656
16x16_02443.txt,2,CP-DCM-ACO,100.0,0.163133,0.304286,56.94,105.145
16x16_02446.txt,2,CP-DCM-ACO,100.0,0.004309,0.001714,1.74,0.642
16x16_02448.txt,2,CP-DCM-ACO,100.0,0.086067,0.108147,31.85,40.197
16x16_02449.txt,2,CP-DCM-ACO,100.0,0.008924,0.003679,2.88,1.194
16x16_02451.txt,2,CP-DCM-ACO,100.0,0.007707,0.012311,3.46,5.352
16x16_02452.txt,2,CP-DCM-ACO,100.0,0.019606,0.020656,7.26,7.769
16x16_02454.txt,2,CP-DCM-ACO,100.0,0.016238,0.026153,6.1,9.931
16x16_02456.txt,2,CP-DCM-ACO,100.0,0.009023,0.005493,3.18,1.763
16x16_02467.txt,2,CP-DCM-ACO,100.0,0.012367,0.013364,5.49,5.808
16x16_02468.txt,2,CP-DCM-ACO,100.0,0.013368,0.014427,4.43,4.736
16x16_02471.txt,2,CP-DCM-ACO,100.0,0.019472,0.031698,7.62,12.333
16x16_02475.txt,2,CP-DCM-ACO,100.0,0.012763,0.007299,4.68,2.66
16x16_02477.txt,2,CP-DCM-ACO,100.0,0.009552,0.011328,3.59,4.162
16x16_02478.txt,2,CP-DCM-ACO,100.0,0.01105,0.00601,4.02,2.182
16x16_02483.txt,2,CP-DCM-ACO,100.0,0.031431,0.042984,11.94,16.234
16x16_02491.txt,2,CP-DCM-ACO,100.0,0.01086,0.007628,4.78,3.3
16x16_02507.txt,2,CP-DCM-ACO,100.0,0.020922,0.032038,8.62,13.138
16x16_02522.txt,2,CP-DCM-ACO,100.0,0.16772,0.205393,55.3,68.091
16x16_02525.txt,2,CP-DCM-ACO,100.0,0.708192,2.473408,173.04,492.591
16x16_02526.txt,2,CP-DCM-ACO,100.0,0.094216,0.169336,31.39,55.298
16x16_02534.txt,2,CP-DCM-ACO,100.0,0.007622,0.004282,3.36,1.863
16x16_02536.txt,2,CP-DCM-ACO,100.0,0.008729,0.003632,3.77,1.555
16x16_02544.txt,2,CP-DCM-ACO,100.0,0.017452,0.016022,5.67,4.752
16x16_02558.txt,2,CP-DCM-ACO,100.0,0.025014,0.060709,11.39,27.73
16x16_02561.txt,2,CP-DCM-ACO,100.0,0.01056,0.005032,3.88,1.757
16x16_02563.txt,2,CP-DCM-ACO,100.0,0.017677,0.021944,6.15,7.877
16x16_02567.txt,2,CP-DCM-ACO,100.0,0.012964,0.010574,4.68,3.723
16x16_02570.txt,2,CP-DCM-ACO,100.0,0.022703,0.037457,7.09,11.415
16x16_02571.txt,2,CP-DCM-ACO,100.0,0.0151,0.014675,4.67,4.552
16x16_02572.txt,2,CP-DCM-ACO,100.0,0.030236,0.03868,11.94,15.036
16x16_02590.txt,2,CP-DCM-ACO,100.0,0.023087,0.041149,8.07,14.402
16x16_02602.txt,2,CP-DCM-ACO,100.0,0.072438,0.107246,22.93,33.722
16x16_02623.txt,2,CP-DCM-ACO,100.0,0.055282,0.087124,19.57,29.912
16x16_02669.txt,2,CP-DCM-ACO,100.0,0.052314,0.132022,17.55,44.331
16x16_02686.txt,2,CP-DCM-ACO,100.0,0.055148,0.104654,18.5,34.524
16x16_02733.txt,2,CP-DCM-ACO,100.0,0.038552,0.075627,14.81,29.686
16x16_02747.txt,2,CP-DCM-ACO,100.0,0.091425,0.185487,33.06,67.622
16x16_02755.txt,2,CP-DCM-ACO,100.0,0.199231,0.377451,64.15,121.714
16x16_02756.txt,2,CP-DCM-ACO,100.0,0.218351,1.253277,53.25,240.738
16x16_02778.txt,2,CP-DCM-ACO,100.0,0.008509,0.012383,3.49,5.118
16x16_02779.txt,2,CP-DCM-ACO,100.0,0.004681,0.003623,2.08,1.514
16x16_02851.txt,2,CP-DCM-ACO,100.0,0.192618,0.422052,70.15,137.258
16x16_02862.txt,2,CP-DCM-ACO,100.0,0.050152,0.076251,16.96,25.525
16x16_02875.txt,2,CP-DCM-ACO,100.0,0.045067,0.068214,13.36,20.306
16x16_02904.txt,2,CP-DCM-ACO,100.0,0.03184,0.068325,9.81,21.027
16x16_02910.txt,2,CP-DCM-ACO,100.0,0.028318,0.055842,10.17,19.486
16x16_02924.txt,2,CP-DCM-ACO,100.0,0.013854,0.013594,4.93,4.788
16x16_02933.txt,2,CP-DCM-ACO,100.0,0.006608,0.002783,2.66,1.107
16x16_02935.txt,2,CP-DCM-ACO,100.0,0.007405,0.005793,3.3,2.621
16x16_02940.txt,2,CP-DCM-ACO,100.0,0.012583,0.012015,5.02,4.693
16x16_02943.txt,2,CP-DCM-ACO,100.0,0.011977,0.016249,5.37,7.163
16x16_02964.txt,2,CP-DCM-ACO,100.0,0.013194,0.009539,4.38,3.081
16x16_02971.txt,2,CP-DCM-ACO,100.0,0.028892,0.031614,8.52,9.218
16x16_02973.txt,2,CP-DCM-ACO,100.0,0.052095,0.077871,19.22,29.023
16x16_02978.txt,2,CP-DCM-ACO,100.0,0.014832,0.011658,5.25,4.109
16x16_02985.txt,2,CP-DCM-ACO,100.0,0.066498,0.098794,21.17,31.284
