instance,alg,alg_name,rep,success,time,cycles
inst25x25_40_10.txt,0,CP-ACS,4,1,0.178716,5
inst25x25_40_10.txt,0,CP-ACS,2,1,0.976176,30
inst25x25_40_10.txt,0,CP-ACS,6,1,1.54588,50
inst25x25_40_10.txt,0,CP-ACS,3,1,4.84476,152
inst25x25_40_10.txt,0,CP-ACS,1,1,7.56648,235
inst25x25_40_10.txt,0,CP-ACS,7,1,5.94239,189
inst25x25_40_10.txt,0,CP-ACS,10,1,2.85017,90
inst25x25_40_10.txt,0,CP-ACS,5,1,10.8038,334
inst25x25_40_10.txt,0,CP-ACS,8,1,6.71878,212
inst25x25_40_10.txt,0,CP-ACS,11,1,0.414914,14
inst25x25_40_10.txt,0,CP-ACS,12,1,9.39896,300
inst25x25_40_10.txt,0,CP-ACS,14,1,9.62997,302
inst25x25_40_10.txt,0,CP-ACS,9,1,14.4928,447
inst25x25_40_10.txt,0,CP-ACS,17,1,0.881291,29
inst25x25_40_10.txt,0,CP-ACS,18,1,2.4182,82
inst25x25_40_10.txt,0,CP-ACS,19,1,2.66647,89
inst25x25_40_10.txt,0,CP-ACS,13,1,18.1038,540
inst25x25_40_10.txt,0,CP-ACS,21,1,2.0523,68
inst25x25_40_10.txt,0,CP-ACS,16,1,13.0327,405
inst25x25_40_10.txt,0,CP-ACS,15,1,14.865,457
inst25x25_40_10.txt,0,CP-ACS,20,1,8.68888,277
inst25x25_40_10.txt,0,CP-ACS,22,1,6.7249,214
inst25x25_40_10.txt,0,CP-ACS,25,1,2.40561,77
inst25x25_40_10.txt,0,CP-ACS,23,1,5.75516,181
inst25x25_40_10.txt,0,CP-ACS,26,1,2.26125,73
inst25x25_40_10.txt,0,CP-ACS,29,1,2.06118,65
inst25x25_40_10.txt,0,CP-ACS,24,1,10.6759,328
inst25x25_40_10.txt,0,CP-ACS,28,1,6.40218,198
inst25x25_40_10.txt,0,CP-ACS,32,1,1.42729,47
inst25x25_40_10.txt,0,CP-ACS,31,1,3.10472,99
inst25x25_40_10.txt,0,CP-ACS,34,1,0.698194,23
inst25x25_40_10.txt,0,CP-ACS,30,1,7.4508,234
inst25x25_40_10.txt,0,CP-ACS,27,1,12.224,382
inst25x25_40_10.txt,0,CP-ACS,36,1,1.83286,60
inst25x25_40_10.txt,0,CP-ACS,33,1,4.43825,142
inst25x25_40_10.txt,0,CP-ACS,35,1,3.50337,113
inst25x25_40_10.txt,0,CP-ACS,39,1,1.95654,63
inst25x25_40_10.txt,0,CP-ACS,40,1,2.4869,84
inst25x25_40_10.txt,0,CP-ACS,38,1,4.55363,146
inst25x25_40_10.txt,0,CP-ACS,42,1,1.33724,44
inst25x25_40_10.txt,0,CP-ACS,37,1,7.13967,226
inst25x25_40_10.txt,0,CP-ACS,41,1,5.62952,181
inst25x25_40_10.txt,0,CP-ACS,44,1,4.1451,131
inst25x25_40_10.txt,0,CP-ACS,46,1,3.66521,119
inst25x25_40_10.txt,0,CP-ACS,43,1,8.95156,280
inst25x25_40_10.txt,0,CP-ACS,45,1,7.79874,244
inst25x25_40_10.txt,0,CP-ACS,47,1,4.67701,154
inst25x25_40_10.txt,0,CP-ACS,51,1,0.268956,9
inst25x25_40_10.txt,0,CP-ACS,48,1,5.51908,174
inst25x25_40_10.txt,0,CP-ACS,53,1,2.24416,76
inst25x25_40_10.txt,0,CP-ACS,50,1,6.34562,199
inst25x25_40_10.txt,0,CP-ACS,52,1,7.109,224
inst25x25_40_10.txt,0,CP-ACS,49,1,8.96063,279
inst25x25_40_10.txt,0,CP-ACS,57,1,4.41508,139
inst25x25_40_10.txt,0,CP-ACS,54,1,9.02338,283
inst25x25_40_10.txt,0,CP-ACS,59,1,5.20884,173
inst25x25_40_10.txt,0,CP-ACS,58,1,7.76168,251
inst25x25_40_10.txt,0,CP-ACS,55,1,14.437,446
inst25x25_40_10.txt,0,CP-ACS,61,1,3.64683,117
inst25x25_40_10.txt,0,CP-ACS,63,1,0.683482,24
inst25x25_40_10.txt,0,CP-ACS,62,1,5.13492,159
inst25x25_40_10.txt,0,CP-ACS,60,1,9.55483,295
inst25x25_40_10.txt,0,CP-ACS,65,1,9.53122,294
inst25x25_40_10.txt,0,CP-ACS,66,1,8.15287,261
inst25x25_40_10.txt,0,CP-ACS,67,1,2.13376,74
inst25x25_40_10.txt,0,CP-ACS,64,1,13.17,414
inst25x25_40_10.txt,0,CP-ACS,69,1,0.588307,19
inst25x25_40_10.txt,0,CP-ACS,68,1,2.16584,73
inst25x25_40_10.txt,0,CP-ACS,72,1,2.23693,73
inst25x25_40_10.txt,0,CP-ACS,71,1,6.26512,198
inst25x25_40_10.txt,0,CP-ACS,74,1,4.57859,146
inst25x25_40_10.txt,0,CP-ACS,70,1,11.3065,350
inst25x25_40_10.txt,0,CP-ACS,76,1,1.13308,38
inst25x25_40_10.txt,0,CP-ACS,73,1,10.0797,311
inst25x25_40_10.txt,0,CP-ACS,75,1,6.47673,204
inst25x25_40_10.txt,0,CP-ACS,77,1,5.35241,174
inst25x25_40_10.txt,0,CP-ACS,79,1,1.45193,47
inst25x25_40_10.txt,0,CP-ACS,81,1,3.51274,114
inst25x25_40_10.txt,0,CP-ACS,80,1,5.96623,185
inst25x25_40_10.txt,0,CP-ACS,82,1,6.77638,218
inst25x25_40_10.txt,0,CP-ACS,84,1,0.758486,26
inst25x25_40_10.txt,0,CP-ACS,83,1,9.73889,304
inst25x25_40_10.txt,0,CP-ACS,86,1,1.34794,47
inst25x25_40_10.txt,0,CP-ACS,87,1,4.75639,156
inst25x25_40_10.txt,0,CP-ACS,85,1,11.9096,378
inst25x25_40_10.txt,0,CP-ACS,78,1,33.8376,1006
inst25x25_40_10.txt,0,CP-ACS,90,1,3.2678,109
inst25x25_40_10.txt,0,CP-ACS,89,1,9.01398,282
inst25x25_40_10.txt,0,CP-ACS,88,1,11.868,375
inst25x25_40_10.txt,0,CP-ACS,91,1,1.8387,61
inst25x25_40_10.txt,0,CP-ACS,93,1,1.26229,42
inst25x25_40_10.txt,0,CP-ACS,95,1,1.02813,34
inst25x25_40_10.txt,0,CP-ACS,92,1,4.30271,139
inst25x25_40_10.txt,0,CP-ACS,96,1,1.59582,50
