instance,alg,alg_name,rep,success,time,cycles
inst25x25_45_11.txt,2,CP-DCM-ACO,1,1,0.522698,48
inst25x25_45_11.txt,2,CP-DCM-ACO,2,1,0.298683,27
inst25x25_45_11.txt,2,CP-DCM-ACO,3,1,2.4943,214
inst25x25_45_11.txt,2,CP-DCM-ACO,4,1,2.17919,190
inst25x25_45_11.txt,2,CP-DCM-ACO,5,1,1.04304,93
inst25x25_45_11.txt,2,CP-DCM-ACO,6,1,1.67614,146
inst25x25_45_11.txt,2,CP-DCM-ACO,7,1,0.257323,22
inst25x25_45_11.txt,2,CP-DCM-ACO,8,1,0.715492,46
inst25x25_45_11.txt,2,CP-DCM-ACO,9,1,1.07582,64
inst25x25_45_11.txt,2,CP-DCM-ACO,10,1,1.55088,99
inst25x25_45_11.txt,2,CP-DCM-ACO,11,1,1.76425,94
inst25x25_45_11.txt,2,CP-DCM-ACO,12,1,4.08839,259
inst25x25_45_11.txt,2,CP-DCM-ACO,13,1,53.2325,4477
inst25x25_45_11.txt,2,CP-DCM-ACO,14,1,10.2279,886
inst25x25_45_11.txt,2,CP-DCM-ACO,15,1,1.2994,117
inst25x25_45_11.txt,2,CP-DCM-ACO,16,1,3.10927,274
inst25x25_45_11.txt,2,CP-DCM-ACO,17,1,0.26466,24
inst25x25_45_11.txt,2,CP-DCM-ACO,18,1,2.48344,224
inst25x25_45_11.txt,2,CP-DCM-ACO,19,1,2.00689,182
inst25x25_45_11.txt,2,CP-DCM-ACO,20,1,2.64543,236
inst25x25_45_11.txt,2,CP-DCM-ACO,21,1,0.460166,42
inst25x25_45_11.txt,2,CP-DCM-ACO,22,1,1.95761,172
inst25x25_45_11.txt,2,CP-DCM-ACO,23,1,2.98105,261
inst25x25_45_11.txt,2,CP-DCM-ACO,24,1,2.0752,184
inst25x25_45_11.txt,2,CP-DCM-ACO,25,1,2.0584,181
inst25x25_45_11.txt,2,CP-DCM-ACO,26,1,0.621149,55
inst25x25_45_11.txt,2,CP-DCM-ACO,27,1,1.3276,113
inst25x25_45_11.txt,2,CP-DCM-ACO,28,1,0.319691,29
inst25x25_45_11.txt,2,CP-DCM-ACO,29,1,0.879791,79
inst25x25_45_11.txt,2,CP-DCM-ACO,30,1,1.06527,92
inst25x25_45_11.txt,2,CP-DCM-ACO,31,1,1.38927,124
inst25x25_45_11.txt,2,CP-DCM-ACO,32,1,1.45357,130
inst25x25_45_11.txt,2,CP-DCM-ACO,33,1,1.80202,159
inst25x25_45_11.txt,2,CP-DCM-ACO,34,1,1.97672,172
inst25x25_45_11.txt,2,CP-DCM-ACO,35,1,1.14851,105
inst25x25_45_11.txt,2,CP-DCM-ACO,36,1,1.40867,124
inst25x25_45_11.txt,2,CP-DCM-ACO,37,1,1.98061,176
inst25x25_45_11.txt,2,CP-DCM-ACO,38,1,4.00214,353
inst25x25_45_11.txt,2,CP-DCM-ACO,39,1,0.358885,32
inst25x25_45_11.txt,2,CP-DCM-ACO,40,1,2.81028,247
inst25x25_45_11.txt,2,CP-DCM-ACO,41,1,2.69545,236
inst25x25_45_11.txt,2,CP-DCM-ACO,42,1,1.6659,144
inst25x25_45_11.txt,2,CP-DCM-ACO,43,1,30.5705,2577
inst25x25_45_11.txt,2,CP-DCM-ACO,44,1,0.887218,76
inst25x25_45_11.txt,2,CP-DCM-ACO,45,1,0.576828,51
inst25x25_45_11.txt,2,CP-DCM-ACO,46,1,0.848332,74
inst25x25_45_11.txt,2,CP-DCM-ACO,47,1,1.56726,135
inst25x25_45_11.txt,2,CP-DCM-ACO,48,1,1.71482,147
inst25x25_45_11.txt,2,CP-DCM-ACO,49,1,2.22167,193
inst25x25_45_11.txt,2,CP-DCM-ACO,50,1,1.37201,118
inst25x25_45_11.txt,2,CP-DCM-ACO,51,1,0.739311,66
inst25x25_45_11.txt,2,CP-DCM-ACO,52,1,0.873966,75
inst25x25_45_11.txt,2,CP-DCM-ACO,53,1,1.2337,109
inst25x25_45_11.txt,2,CP-DCM-ACO,54,1,1.23426,108
inst25x25_45_11.txt,2,CP-DCM-ACO,55,1,7.31019,619
inst25x25_45_11.txt,2,CP-DCM-ACO,56,1,1.13538,101
inst25x25_45_11.txt,2,CP-DCM-ACO,57,1,0.855046,75
inst25x25_45_11.txt,2,CP-DCM-ACO,58,1,0.652394,57
inst25x25_45_11.txt,2,CP-DCM-ACO,59,1,6.87594,593
inst25x25_45_11.txt,2,CP-DCM-ACO,60,1,0.988341,86
inst25x25_45_11.txt,2,CP-DCM-ACO,61,1,1.79581,158
inst25x25_45_11.txt,2,CP-DCM-ACO,62,1,4.37434,392
inst25x25_45_11.txt,2,CP-DCM-ACO,63,1,2.59141,225
inst25x25_45_11.txt,2,CP-DCM-ACO,64,1,1.34447,115
inst25x25_45_11.txt,2,CP-DCM-ACO,65,1,2.03663,179
inst25x25_45_11.txt,2,CP-DCM-ACO,66,1,1.4325,126
inst25x25_45_11.txt,2,CP-DCM-ACO,67,1,0.518036,46
inst25x25_45_11.txt,2,CP-DCM-ACO,68,1,2.6141,231
inst25x25_45_11.txt,2,CP-DCM-ACO,69,1,0.204558,18
inst25x25_45_11.txt,2,CP-DCM-ACO,70,1,0.189212,17
inst25x25_45_11.txt,2,CP-DCM-ACO,71,1,0.908796,82
inst25x25_45_11.txt,2,CP-DCM-ACO,72,1,3.54772,308
inst25x25_45_11.txt,2,CP-DCM-ACO,73,1,4.36475,379
inst25x25_45_11.txt,2,CP-DCM-ACO,74,1,0.472947,43
inst25x25_45_11.txt,2,CP-DCM-ACO,75,1,5.57336,485
inst25x25_45_11.txt,2,CP-DCM-ACO,76,1,2.64451,226
inst25x25_45_11.txt,2,CP-DCM-ACO,77,1,1.6758,142
inst25x25_45_11.txt,2,CP-DCM-ACO,78,1,0.720478,64
inst25x25_45_11.txt,2,CP-DCM-ACO,79,1,3.16087,271
inst25x25_45_11.txt,2,CP-DCM-ACO,80,1,4.2495,370
inst25x25_45_11.txt,2,CP-DCM-ACO,81,1,1.13885,102
inst25x25_45_11.txt,2,CP-DCM-ACO,82,1,0.508942,44
inst25x25_45_11.txt,2,CP-DCM-ACO,83,1,1.30787,115
inst25x25_45_11.txt,2,CP-DCM-ACO,84,1,0.284584,26
inst25x25_45_11.txt,2,CP-DCM-ACO,85,1,4.71434,409
inst25x25_45_11.txt,2,CP-DCM-ACO,86,1,1.11335,100
inst25x25_45_11.txt,2,CP-DCM-ACO,87,1,1.35265,116
inst25x25_45_11.txt,2,CP-DCM-ACO,88,1,4.70132,408
inst25x25_45_11.txt,2,CP-DCM-ACO,89,1,0.468203,43
inst25x25_45_11.txt,2,CP-DCM-ACO,90,1,0.438692,40
inst25x25_45_11.txt,2,CP-DCM-ACO,91,1,2.48056,221
inst25x25_45_11.txt,2,CP-DCM-ACO,92,1,1.77793,159
inst25x25_45_11.txt,2,CP-DCM-ACO,93,1,3.5294,312
inst25x25_45_11.txt,2,CP-DCM-ACO,94,1,1.20155,105
inst25x25_45_11.txt,2,CP-DCM-ACO,95,1,2.29363,199
inst25x25_45_11.txt,2,CP-DCM-ACO,96,1,0.544079,48
inst25x25_45_11.txt,2,CP-DCM-ACO,97,1,1.52688,137
inst25x25_45_11.txt,2,CP-DCM-ACO,98,1,1.29189,115
inst25x25_45_11.txt,2,CP-DCM-ACO,99,1,2.32265,203
inst25x25_45_11.txt,2,CP-DCM-ACO,100,1,1.68599,150
inst25x25_45_14.txt,2,CP-DCM-ACO,1,1,0.0695911,6
inst25x25_45_14.txt,2,CP-DCM-ACO,2,1,0.205837,18
inst25x25_45_14.txt,2,CP-DCM-ACO,3,1,0.89328,73
inst25x25_45_14.txt,2,CP-DCM-ACO,4,1,0.101401,9
inst25x25_45_14.txt,2,CP-DCM-ACO,5,1,0.260247,23
inst25x25_45_14.txt,2,CP-DCM-ACO,6,1,0.487624,40
inst25x25_45_14.txt,2,CP-DCM-ACO,7,1,0.235088,19
inst25x25_45_14.txt,2,CP-DCM-ACO,8,1,0.338555,29
inst25x25_45_14.txt,2,CP-DCM-ACO,9,1,0.395143,34
inst25x25_45_14.txt,2,CP-DCM-ACO,10,1,0.190494,17
inst25x25_45_14.txt,2,CP-DCM-ACO,11,1,0.378967,31
inst25x25_45_14.txt,2,CP-DCM-ACO,12,1,0.22584,20
inst25x25_45_14.txt,2,CP-DCM-ACO,13,1,0.535668,45
inst25x25_45_14.txt,2,CP-DCM-ACO,14,1,0.371648,32
inst25x25_45_14.txt,2,CP-DCM-ACO,15,1,0.361132,31
inst25x25_45_14.txt,2,CP-DCM-ACO,16,1,0.661521,57
inst25x25_45_14.txt,2,CP-DCM-ACO,17,1,0.739441,63
inst25x25_45_14.txt,2,CP-DCM-ACO,18,1,0.270689,23
inst25x25_45_14.txt,2,CP-DCM-ACO,19,1,1.01149,87
inst25x25_45_14.txt,2,CP-DCM-ACO,20,1,0.139715,12
inst25x25_45_14.txt,2,CP-DCM-ACO,21,1,6.05864,493
inst25x25_45_14.txt,2,CP-DCM-ACO,22,1,0.488015,42
inst25x25_45_14.txt,2,CP-DCM-ACO,23,1,0.194434,17
inst25x25_45_14.txt,2,CP-DCM-ACO,24,1,0.319751,28
inst25x25_45_14.txt,2,CP-DCM-ACO,25,1,1.64375,141
inst25x25_45_14.txt,2,CP-DCM-ACO,26,1,0.512694,44
inst25x25_45_14.txt,2,CP-DCM-ACO,27,1,1.1215,95
inst25x25_45_14.txt,2,CP-DCM-ACO,28,1,0.486017,40
inst25x25_45_14.txt,2,CP-DCM-ACO,29,1,0.503151,44
inst25x25_45_14.txt,2,CP-DCM-ACO,30,1,0.308389,27
inst25x25_45_14.txt,2,CP-DCM-ACO,31,1,0.178628,15
inst25x25_45_14.txt,2,CP-DCM-ACO,32,1,0.373127,32
inst25x25_45_14.txt,2,CP-DCM-ACO,33,1,2.44871,204
inst25x25_45_14.txt,2,CP-DCM-ACO,34,1,2.92167,245
inst25x25_45_14.txt,2,CP-DCM-ACO,35,1,2.03883,174
inst25x25_45_14.txt,2,CP-DCM-ACO,36,1,0.476325,41
inst25x25_45_14.txt,2,CP-DCM-ACO,37,1,0.531997,45
inst25x25_45_14.txt,2,CP-DCM-ACO,38,1,0.582748,51
inst25x25_45_14.txt,2,CP-DCM-ACO,39,1,0.668092,55
inst25x25_45_14.txt,2,CP-DCM-ACO,40,1,0.423345,34
inst25x25_45_14.txt,2,CP-DCM-ACO,41,1,0.0930852,8
inst25x25_45_14.txt,2,CP-DCM-ACO,42,1,0.251993,22
inst25x25_45_14.txt,2,CP-DCM-ACO,43,1,0.185836,15
inst25x25_45_14.txt,2,CP-DCM-ACO,44,1,0.222472,19
inst25x25_45_14.txt,2,CP-DCM-ACO,45,1,3.90409,320
inst25x25_45_14.txt,2,CP-DCM-ACO,46,1,0.748679,64
inst25x25_45_14.txt,2,CP-DCM-ACO,47,1,0.33358,29
inst25x25_45_14.txt,2,CP-DCM-ACO,48,1,0.273277,24
inst25x25_45_14.txt,2,CP-DCM-ACO,49,1,0.154,12
inst25x25_45_14.txt,2,CP-DCM-ACO,50,1,0.235716,19
inst25x25_45_14.txt,2,CP-DCM-ACO,51,1,0.912892,78
inst25x25_45_14.txt,2,CP-DCM-ACO,52,1,0.959947,81
inst25x25_45_14.txt,2,CP-DCM-ACO,53,1,0.615488,52
inst25x25_45_14.txt,2,CP-DCM-ACO,54,1,0.192597,17
inst25x25_45_14.txt,2,CP-DCM-ACO,55,1,0.215895,19
inst25x25_45_14.txt,2,CP-DCM-ACO,56,1,1.24908,107
inst25x25_45_14.txt,2,CP-DCM-ACO,57,1,0.124184,11
inst25x25_45_14.txt,2,CP-DCM-ACO,58,1,0.349526,28
inst25x25_45_14.txt,2,CP-DCM-ACO,59,1,2.00602,174
inst25x25_45_14.txt,2,CP-DCM-ACO,60,1,0.675649,57
inst25x25_45_14.txt,2,CP-DCM-ACO,61,1,0.277011,24
inst25x25_45_14.txt,2,CP-DCM-ACO,62,1,3.34259,279
inst25x25_45_14.txt,2,CP-DCM-ACO,63,1,0.437672,38
inst25x25_45_14.txt,2,CP-DCM-ACO,64,1,0.561928,47
inst25x25_45_14.txt,2,CP-DCM-ACO,65,1,0.332213,29
inst25x25_45_14.txt,2,CP-DCM-ACO,66,1,0.335601,29
inst25x25_45_14.txt,2,CP-DCM-ACO,67,1,1.16278,99
inst25x25_45_14.txt,2,CP-DCM-ACO,68,1,0.645209,56
inst25x25_45_14.txt,2,CP-DCM-ACO,69,1,1.44386,121
inst25x25_45_14.txt,2,CP-DCM-ACO,70,1,2.09826,177
inst25x25_45_14.txt,2,CP-DCM-ACO,71,1,0.718278,62
inst25x25_45_14.txt,2,CP-DCM-ACO,72,1,1.38952,117
inst25x25_45_14.txt,2,CP-DCM-ACO,73,1,3.6783,312
inst25x25_45_14.txt,2,CP-DCM-ACO,74,1,0.679178,55
inst25x25_45_14.txt,2,CP-DCM-ACO,75,1,0.304932,26
inst25x25_45_14.txt,2,CP-DCM-ACO,76,1,3.94189,328
inst25x25_45_14.txt,2,CP-DCM-ACO,77,1,0.985383,84
inst25x25_45_14.txt,2,CP-DCM-ACO,78,1,4.62678,390
inst25x25_45_14.txt,2,CP-DCM-ACO,79,1,0.646057,54
inst25x25_45_14.txt,2,CP-DCM-ACO,80,1,0.325907,28
inst25x25_45_14.txt,2,CP-DCM-ACO,81,1,1.04273,87
inst25x25_45_14.txt,2,CP-DCM-ACO,82,1,0.13416,11
inst25x25_45_14.txt,2,CP-DCM-ACO,83,1,0.542295,45
inst25x25_45_14.txt,2,CP-DCM-ACO,84,1,0.615674,53
inst25x25_45_14.txt,2,CP-DCM-ACO,85,1,2.04395,172
inst25x25_45_14.txt,2,CP-DCM-ACO,86,1,0.515089,44
inst25x25_45_14.txt,2,CP-DCM-ACO,87,1,0.317806,28
inst25x25_45_14.txt,2,CP-DCM-ACO,88,1,0.809184,68
inst25x25_45_14.txt,2,CP-DCM-ACO,89,1,0.432401,38
inst25x25_45_14.txt,2,CP-DCM-ACO,90,1,0.551255,46
inst25x25_45_14.txt,2,CP-DCM-ACO,91,1,0.903849,75
inst25x25_45_14.txt,2,CP-DCM-ACO,92,1,0.168524,15
inst25x25_45_14.txt,2,CP-DCM-ACO,93,1,0.587846,50
inst25x25_45_14.txt,2,CP-DCM-ACO,94,1,0.621078,54
inst25x25_45_14.txt,2,CP-DCM-ACO,95,1,0.484605,43
inst25x25_45_14.txt,2,CP-DCM-ACO,96,1,0.436967,37
inst25x25_45_14.txt,2,CP-DCM-ACO,97,1,0.665728,57
inst25x25_45_14.txt,2,CP-DCM-ACO,98,1,0.437414,38
inst25x25_45_14.txt,2,CP-DCM-ACO,99,1,0.305166,26
inst25x25_45_14.txt,2,CP-DCM-ACO,100,1,0.172327,15
inst25x25_45_15.txt,2,CP-DCM-ACO,1,1,3.27238,280
inst25x25_45_15.txt,2,CP-DCM-ACO,2,1,8.23791,711
inst25x25_45_15.txt,2,CP-DCM-ACO,3,1,2.12633,185
inst25x25_45_15.txt,2,CP-DCM-ACO,4,1,20.5589,1767
inst25x25_45_15.txt,2,CP-DCM-ACO,5,1,1.67219,147
inst25x25_45_15.txt,2,CP-DCM-ACO,6,1,2.23263,194
inst25x25_45_15.txt,2,CP-DCM-ACO,7,1,6.11322,517
inst25x25_45_15.txt,2,CP-DCM-ACO,8,1,1.27087,111
inst25x25_45_15.txt,2,CP-DCM-ACO,9,1,4.92036,425
inst25x25_45_15.txt,2,CP-DCM-ACO,10,1,3.91727,338
inst25x25_45_15.txt,2,CP-DCM-ACO,11,1,1.15774,100
inst25x25_45_15.txt,2,CP-DCM-ACO,12,1,65.4177,4214
inst25x25_45_15.txt,2,CP-DCM-ACO,13,1,18.0699,1036
inst25x25_45_15.txt,2,CP-DCM-ACO,14,1,6.20235,356
inst25x25_45_15.txt,2,CP-DCM-ACO,15,1,5.25239,277
inst25x25_45_15.txt,2,CP-DCM-ACO,16,1,9.52468,522
inst25x25_45_15.txt,2,CP-DCM-ACO,17,1,2.71365,154
inst25x25_45_15.txt,2,CP-DCM-ACO,18,1,4.6425,261
inst25x25_45_15.txt,2,CP-DCM-ACO,19,1,20.9251,1162
inst25x25_45_15.txt,2,CP-DCM-ACO,20,1,1.93402,105
inst25x25_45_15.txt,2,CP-DCM-ACO,21,1,15.7481,1248
inst25x25_45_15.txt,2,CP-DCM-ACO,22,1,1.76524,152
inst25x25_45_15.txt,2,CP-DCM-ACO,23,1,5.53338,465
inst25x25_45_15.txt,2,CP-DCM-ACO,24,1,2.74365,236
inst25x25_45_15.txt,2,CP-DCM-ACO,25,1,1.07859,95
inst25x25_45_15.txt,2,CP-DCM-ACO,26,1,2.45064,208
inst25x25_45_15.txt,2,CP-DCM-ACO,27,1,27.8853,2369
inst25x25_45_15.txt,2,CP-DCM-ACO,28,1,1.27815,111
inst25x25_45_15.txt,2,CP-DCM-ACO,29,1,4.58093,394
inst25x25_45_15.txt,2,CP-DCM-ACO,30,1,0.28765,25
inst25x25_45_15.txt,2,CP-DCM-ACO,31,1,0.525134,45
inst25x25_45_15.txt,2,CP-DCM-ACO,32,1,0.624329,53
inst25x25_45_15.txt,2,CP-DCM-ACO,33,1,6.95995,599
inst25x25_45_15.txt,2,CP-DCM-ACO,34,1,0.840377,72
inst25x25_45_15.txt,2,CP-DCM-ACO,35,1,1.80612,153
inst25x25_45_15.txt,2,CP-DCM-ACO,36,1,0.78354,68
inst25x25_45_15.txt,2,CP-DCM-ACO,37,1,1.7115,150
inst25x25_45_15.txt,2,CP-DCM-ACO,38,1,3.50469,300
inst25x25_45_15.txt,2,CP-DCM-ACO,39,1,1.96916,169
inst25x25_45_15.txt,2,CP-DCM-ACO,40,1,2.16877,189
inst25x25_45_15.txt,2,CP-DCM-ACO,41,1,1.28951,113
inst25x25_45_15.txt,2,CP-DCM-ACO,42,1,3.06093,266
inst25x25_45_15.txt,2,CP-DCM-ACO,43,1,25.9058,2171
inst25x25_45_15.txt,2,CP-DCM-ACO,44,1,0.964689,84
inst25x25_45_15.txt,2,CP-DCM-ACO,45,1,0.543436,48
inst25x25_45_15.txt,2,CP-DCM-ACO,46,1,19.0734,1614
inst25x25_45_15.txt,2,CP-DCM-ACO,47,1,5.98672,505
inst25x25_45_15.txt,2,CP-DCM-ACO,48,1,2.53479,214
inst25x25_45_15.txt,2,CP-DCM-ACO,49,1,3.3022,281
inst25x25_45_15.txt,2,CP-DCM-ACO,50,1,1.531,131
inst25x25_45_15.txt,2,CP-DCM-ACO,51,1,10.4678,894
inst25x25_45_15.txt,2,CP-DCM-ACO,52,1,2.15681,186
inst25x25_45_15.txt,2,CP-DCM-ACO,53,1,0.807109,71
inst25x25_45_15.txt,2,CP-DCM-ACO,54,1,0.48801,41
inst25x25_45_15.txt,2,CP-DCM-ACO,55,1,7.29428,631
inst25x25_45_15.txt,2,CP-DCM-ACO,56,1,0.385265,35
inst25x25_45_15.txt,2,CP-DCM-ACO,57,1,3.25871,281
inst25x25_45_15.txt,2,CP-DCM-ACO,58,1,2.56008,218
inst25x25_45_15.txt,2,CP-DCM-ACO,59,1,1.96791,170
inst25x25_45_15.txt,2,CP-DCM-ACO,60,1,3.20336,274
inst25x25_45_15.txt,2,CP-DCM-ACO,61,1,1.37305,122
inst25x25_45_15.txt,2,CP-DCM-ACO,62,1,4.10564,361
inst25x25_45_15.txt,2,CP-DCM-ACO,63,1,1.05753,92
inst25x25_45_15.txt,2,CP-DCM-ACO,64,1,5.28838,452
inst25x25_45_15.txt,2,CP-DCM-ACO,65,1,3.49367,297
inst25x25_45_15.txt,2,CP-DCM-ACO,66,1,0.180244,16
inst25x25_45_15.txt,2,CP-DCM-ACO,67,1,1.55785,137
inst25x25_45_15.txt,2,CP-DCM-ACO,68,1,1.21653,105
inst25x25_45_15.txt,2,CP-DCM-ACO,69,1,19.7157,1703
inst25x25_45_15.txt,2,CP-DCM-ACO,70,1,8.60756,746
inst25x25_45_15.txt,2,CP-DCM-ACO,71,1,4.60257,393
inst25x25_45_15.txt,2,CP-DCM-ACO,72,1,4.01607,350
inst25x25_45_15.txt,2,CP-DCM-ACO,73,1,27.092,2338
inst25x25_45_15.txt,2,CP-DCM-ACO,74,1,4.61675,405
inst25x25_45_15.txt,2,CP-DCM-ACO,75,1,1.42181,123
inst25x25_45_15.txt,2,CP-DCM-ACO,76,1,4.90605,424
inst25x25_45_15.txt,2,CP-DCM-ACO,77,1,1.18654,103
inst25x25_45_15.txt,2,CP-DCM-ACO,78,1,0.72488,63
inst25x25_45_15.txt,2,CP-DCM-ACO,79,1,6.3603,546
inst25x25_45_15.txt,2,CP-DCM-ACO,80,1,2.95031,251
inst25x25_45_15.txt,2,CP-DCM-ACO,81,1,4.29997,372
inst25x25_45_15.txt,2,CP-DCM-ACO,82,1,2.08549,179
inst25x25_45_15.txt,2,CP-DCM-ACO,83,1,13.8192,832
inst25x25_45_15.txt,2,CP-DCM-ACO,84,1,13.7977,822
inst25x25_45_15.txt,2,CP-DCM-ACO,85,1,0.822195,59
inst25x25_45_15.txt,2,CP-DCM-ACO,86,1,1.21392,72
inst25x25_45_15.txt,2,CP-DCM-ACO,87,1,23.7454,1366
inst25x25_45_15.txt,2,CP-DCM-ACO,88,0,0.0,6700
inst25x25_45_15.txt,2,CP-DCM-ACO,89,1,2.02431,112
inst25x25_45_15.txt,2,CP-DCM-ACO,90,1,3.80871,220
inst25x25_45_15.txt,2,CP-DCM-ACO,91,1,2.88941,168
inst25x25_45_15.txt,2,CP-DCM-ACO,92,1,4.18358,279
inst25x25_45_15.txt,2,CP-DCM-ACO,93,0,0.0,10300
inst25x25_45_15.txt,2,CP-DCM-ACO,94,1,6.05201,512
inst25x25_45_15.txt,2,CP-DCM-ACO,95,1,0.27423,24
inst25x25_45_15.txt,2,CP-DCM-ACO,96,1,0.366807,33
inst25x25_45_15.txt,2,CP-DCM-ACO,97,1,10.7332,912
inst25x25_45_15.txt,2,CP-DCM-ACO,98,1,5.1871,451
inst25x25_45_15.txt,2,CP-DCM-ACO,99,1,0.897849,77
inst25x25_45_15.txt,2,CP-DCM-ACO,100,1,17.0473,1465
inst25x25_45_16.txt,2,CP-DCM-ACO,1,1,0.206906,18
inst25x25_45_16.txt,2,CP-DCM-ACO,2,1,0.53286,46
inst25x25_45_16.txt,2,CP-DCM-ACO,3,1,0.604844,52
inst25x25_45_16.txt,2,CP-DCM-ACO,4,1,3.24956,269
inst25x25_45_16.txt,2,CP-DCM-ACO,5,1,5.93181,503
inst25x25_45_16.txt,2,CP-DCM-ACO,6,1,2.38232,195
inst25x25_45_16.txt,2,CP-DCM-ACO,7,1,1.25529,105
inst25x25_45_16.txt,2,CP-DCM-ACO,8,1,6.53362,549
inst25x25_45_16.txt,2,CP-DCM-ACO,9,1,0.306055,26
inst25x25_45_16.txt,2,CP-DCM-ACO,10,1,0.805525,70
inst25x25_45_16.txt,2,CP-DCM-ACO,11,1,0.545419,45
inst25x25_45_16.txt,2,CP-DCM-ACO,12,1,0.82672,70
inst25x25_45_16.txt,2,CP-DCM-ACO,13,1,1.09977,94
inst25x25_45_16.txt,2,CP-DCM-ACO,14,1,1.85828,157
inst25x25_45_16.txt,2,CP-DCM-ACO,15,1,1.5531,133
inst25x25_45_16.txt,2,CP-DCM-ACO,16,1,2.16348,183
inst25x25_45_16.txt,2,CP-DCM-ACO,17,1,0.629095,53
inst25x25_45_16.txt,2,CP-DCM-ACO,18,1,1.31976,114
inst25x25_45_16.txt,2,CP-DCM-ACO,19,1,0.740571,63
inst25x25_45_16.txt,2,CP-DCM-ACO,20,1,3.71066,317
inst25x25_45_16.txt,2,CP-DCM-ACO,21,1,1.97774,168
inst25x25_45_16.txt,2,CP-DCM-ACO,22,1,0.392758,33
inst25x25_45_16.txt,2,CP-DCM-ACO,23,1,0.127168,11
inst25x25_45_16.txt,2,CP-DCM-ACO,24,1,0.468163,39
inst25x25_45_16.txt,2,CP-DCM-ACO,25,1,0.781416,64
inst25x25_45_16.txt,2,CP-DCM-ACO,26,1,1.1064,95
inst25x25_45_16.txt,2,CP-DCM-ACO,27,1,2.23785,189
inst25x25_45_16.txt,2,CP-DCM-ACO,28,1,0.704029,60
inst25x25_45_16.txt,2,CP-DCM-ACO,29,1,0.3875,32
inst25x25_45_16.txt,2,CP-DCM-ACO,30,1,2.14815,179
inst25x25_45_16.txt,2,CP-DCM-ACO,31,1,0.463364,41
inst25x25_45_16.txt,2,CP-DCM-ACO,32,1,4.07121,341
inst25x25_45_16.txt,2,CP-DCM-ACO,33,1,0.602027,53
inst25x25_45_16.txt,2,CP-DCM-ACO,34,1,9.22797,767
inst25x25_45_16.txt,2,CP-DCM-ACO,35,1,1.62527,140
inst25x25_45_16.txt,2,CP-DCM-ACO,36,1,1.69661,141
inst25x25_45_16.txt,2,CP-DCM-ACO,37,1,6.15589,503
inst25x25_45_16.txt,2,CP-DCM-ACO,38,1,1.02176,83
inst25x25_45_16.txt,2,CP-DCM-ACO,39,1,0.38641,33
inst25x25_45_16.txt,2,CP-DCM-ACO,40,1,0.297675,26
inst25x25_45_16.txt,2,CP-DCM-ACO,41,1,2.97228,252
inst25x25_45_16.txt,2,CP-DCM-ACO,42,1,1.34121,112
inst25x25_45_16.txt,2,CP-DCM-ACO,43,1,0.60127,51
inst25x25_45_16.txt,2,CP-DCM-ACO,44,1,14.4682,807
inst25x25_45_16.txt,2,CP-DCM-ACO,45,1,1.13358,65
inst25x25_45_16.txt,2,CP-DCM-ACO,46,1,0.724847,47
inst25x25_45_16.txt,2,CP-DCM-ACO,47,1,0.632043,40
inst25x25_45_16.txt,2,CP-DCM-ACO,48,1,2.25479,134
inst25x25_45_16.txt,2,CP-DCM-ACO,49,1,1.46584,74
inst25x25_45_16.txt,2,CP-DCM-ACO,50,1,39.3751,2157
inst25x25_45_16.txt,2,CP-DCM-ACO,51,1,1.37822,78
inst25x25_45_16.txt,2,CP-DCM-ACO,52,1,1.29512,80
inst25x25_45_16.txt,2,CP-DCM-ACO,53,1,2.37123,142
inst25x25_45_16.txt,2,CP-DCM-ACO,54,1,3.4826,198
inst25x25_45_16.txt,2,CP-DCM-ACO,55,1,1.00001,52
inst25x25_45_16.txt,2,CP-DCM-ACO,56,1,1.88493,98
inst25x25_45_16.txt,2,CP-DCM-ACO,57,1,1.55606,82
inst25x25_45_16.txt,2,CP-DCM-ACO,58,1,0.392863,22
inst25x25_45_16.txt,2,CP-DCM-ACO,59,1,1.5957,87
inst25x25_45_16.txt,2,CP-DCM-ACO,60,1,0.82382,46
inst25x25_45_16.txt,2,CP-DCM-ACO,61,1,1.38312,73
inst25x25_45_16.txt,2,CP-DCM-ACO,62,1,0.404425,23
inst25x25_45_16.txt,2,CP-DCM-ACO,63,1,2.30923,128
inst25x25_45_16.txt,2,CP-DCM-ACO,64,1,7.71973,423
inst25x25_45_16.txt,2,CP-DCM-ACO,65,1,2.17136,116
inst25x25_45_16.txt,2,CP-DCM-ACO,66,1,0.836222,45
inst25x25_45_16.txt,2,CP-DCM-ACO,67,1,0.612508,40
