instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
2020_00004.txt,0,CP-ACS,100.0,0.040145,0.036771,43.7,40.25
2020_00021.txt,0,CP-ACS,100.0,0.043428,0.037583,48.51,41.831
2020_00041.txt,0,CP-ACS,100.0,0.083967,0.099814,96.98,117.517
2020_00049.txt,0,CP-ACS,100.0,0.108488,0.108477,124.67,125.836
2020_00054.txt,0,CP-ACS,100.0,0.068815,0.06707,87.34,86.575
2020_00057.txt,0,CP-ACS,100.0,0.039428,0.032937,44.94,37.997
2020_00081.txt,0,CP-ACS,100.0,0.198395,0.18448,233.38,216.752
2020_00095.txt,0,CP-ACS,100.0,0.059895,0.045076,78.24,59.155
2020_00153.txt,0,CP-ACS,100.0,0.078422,0.072598,94.41,88.585
2020_00155.txt,0,CP-ACS,100.0,0.090945,0.09094,98.75,99.512
2020_00159.txt,0,CP-ACS,100.0,0.125522,0.13705,133.08,131.944
2020_00175.txt,0,CP-ACS,100.0,0.086618,0.068182,96.08,71.777
2020_00177.txt,0,CP-ACS,100.0,0.09651,0.09009,105.76,98.072
2020_00179.txt,0,CP-ACS,100.0,0.054711,0.046893,62.79,53.666
2020_00203.txt,0,CP-ACS,100.0,0.110608,0.102189,72.2,67.339
2020_00217.txt,0,CP-ACS,100.0,0.155576,0.166474,156.67,166.718
2020_00223.txt,0,CP-ACS,100.0,0.090621,0.086627,104.74,100.002
2020_00231.txt,0,CP-ACS,100.0,0.072983,0.067746,78.75,73.707
2020_00242.txt,0,CP-ACS,100.0,0.247759,0.233543,187.9,171.381
2020_00262.txt,0,CP-ACS,100.0,0.503574,0.482449,393.87,356.908
2020_00264.txt,0,CP-ACS,100.0,0.165617,0.164174,169.79,171.709
2020_00312.txt,0,CP-ACS,100.0,0.260519,0.237372,230.65,205.576
2020_00333.txt,0,CP-ACS,100.0,0.231882,0.240014,226.22,228.43
2020_00340.txt,0,CP-ACS,100.0,0.143475,0.128291,136.53,119.378
2020_00341.txt,0,CP-ACS,100.0,0.149332,0.131595,140.59,123.801
2020_00357.txt,0,CP-ACS,100.0,0.054086,0.053775,68.23,65.124
2020_00358.txt,0,CP-ACS,100.0,0.067324,0.067822,64.76,59.819
2020_00361.txt,0,CP-ACS,100.0,0.048566,0.042122,46.97,36.258
2020_00363.txt,0,CP-ACS,100.0,0.06276,0.050169,56.5,41.778
2020_00374.txt,0,CP-ACS,100.0,0.057242,0.057377,52.27,49.659
2020_00376.txt,0,CP-ACS,100.0,0.062667,0.069189,61.55,67.057
2020_00403.txt,0,CP-ACS,100.0,0.079162,0.058264,73.68,53.182
2020_00427.txt,0,CP-ACS,100.0,0.171402,0.195816,166.22,169.471
2020_00429.txt,0,CP-ACS,100.0,0.141601,0.132532,171.26,160.748
2020_00439.txt,0,CP-ACS,100.0,0.158395,0.144826,143.17,118.04
2020_00454.txt,0,CP-ACS,100.0,0.062163,0.061035,76.84,76.622
2020_00466.txt,0,CP-ACS,100.0,0.144055,0.147916,158.21,160.394
2020_00472.txt,0,CP-ACS,100.0,0.089783,0.096213,101.02,106.31
2020_00483.txt,0,CP-ACS,100.0,0.0418,0.037165,53.34,47.46
2020_00490.txt,0,CP-ACS,100.0,0.152033,0.15537,158.44,161.099
2020_00491.txt,0,CP-ACS,100.0,0.134207,0.121601,151.27,135.691
2020_00493.txt,0,CP-ACS,100.0,0.11778,0.106785,149.8,135.486
2020_00495.txt,0,CP-ACS,100.0,0.104676,0.103759,126.38,125.892
2020_00504.txt,0,CP-ACS,100.0,0.102025,0.089413,119.03,104.361
2020_00524.txt,0,CP-ACS,100.0,0.072038,0.066584,84.71,78.819
2020_00570.txt,0,CP-ACS,100.0,0.065836,0.054986,72.48,60.717
2020_00574.txt,0,CP-ACS,100.0,0.08522,0.085861,90.43,91.238
2020_00599.txt,0,CP-ACS,100.0,0.097193,0.079517,117.97,97.254
2020_00616.txt,0,CP-ACS,100.0,0.086238,0.079606,95.09,85.335
2020_00619.txt,0,CP-ACS,100.0,0.08224,0.103361,74.63,82.578
2020_00625.txt,0,CP-ACS,100.0,0.084015,0.082549,84.37,85.122
2020_00665.txt,0,CP-ACS,100.0,0.264015,0.336376,275.57,323.732
2020_00684.txt,0,CP-ACS,100.0,0.085822,0.082192,99.75,96.847
2020_00694.txt,0,CP-ACS,100.0,0.033079,0.024247,39.62,29.595
2020_00696.txt,0,CP-ACS,100.0,0.102612,0.112218,117.12,128.738
2020_00698.txt,0,CP-ACS,100.0,0.052827,0.045764,63.98,55.652
2020_00708.txt,0,CP-ACS,100.0,0.065277,0.067233,72.61,74.273
2020_00712.txt,0,CP-ACS,100.0,0.085428,0.073948,96.85,82.88
2020_00719.txt,0,CP-ACS,100.0,0.045541,0.034012,56.44,42.0
2020_00726.txt,0,CP-ACS,100.0,0.042958,0.0329,51.73,39.496
2020_00728.txt,0,CP-ACS,100.0,0.054913,0.05249,58.71,48.351
2020_00729.txt,0,CP-ACS,100.0,0.058121,0.047686,60.41,50.539
2020_00735.txt,0,CP-ACS,100.0,0.060988,0.048732,73.33,58.476
2020_00742.txt,0,CP-ACS,100.0,0.063305,0.051016,78.23,64.642
2020_00743.txt,0,CP-ACS,100.0,0.050217,0.035358,64.84,46.104
2020_00744.txt,0,CP-ACS,100.0,0.059734,0.049452,74.96,61.965
2020_00753.txt,0,CP-ACS,100.0,0.113572,0.135483,140.04,166.406
2020_00767.txt,0,CP-ACS,100.0,0.110278,0.111619,119.22,120.854
