param_name,param_value,puzzle_size,alg,alg_name,instances,success_mean,time_mean_mean,time_std_mean,cycles_mean_mean,cycles_std_mean
convThresh,0.2,9x9,2,CP-DCM-ACO,100,100,0.06826,0.06458,107.7598,102.42065
convThresh,0.4,9x9,2,CP-DCM-ACO,100,100,0.06899,0.06601,108.7597,104.60882
convThresh,0.6,9x9,2,CP-DCM-ACO,100,100,0.06818,0.0641,107.7291,101.69497
convThresh,0.8,9x9,2,CP-DCM-ACO,100,100,0.06789,0.06352,107.9283,101.7496
convThresh,1.0,9x9,2,CP-DCM-ACO,100,100,0.06703,0.06297,105.711,99.80525
convThresh,0.2,16x16,2,CP-DCM-ACO,100,100,0.13838,0.20548,38.3696,57.12123
convThresh,0.4,16x16,2,CP-DCM-ACO,100,99.99,0.15131,0.22651,42.16108,63.19182
convThresh,0.6,16x16,2,CP-DCM-ACO,100,100,0.1484,0.23226,41.6014,64.9442
convThresh,0.8,16x16,2,CP-DCM-ACO,100,100,0.15035,0.22763,41.0271,62.3527
convThresh,1.0,16x16,2,CP-DCM-ACO,100,100,0.16282,0.24167,45.661,68.25696
convThresh,0.2,25x25,2,CP-DCM-ACO,100,97.09,9.29835,11.96627,514.31797,657.29799
convThresh,0.4,25x25,2,CP-DCM-ACO,100,97.09,9.33137,12.17452,508.95664,663.70746
convThresh,0.6,25x25,2,CP-DCM-ACO,100,97.06,9.05648,11.91257,491.18815,645.09084
convThresh,0.8,25x25,2,CP-DCM-ACO,100,97.5,8.34722,10.736,540.19795,717.77708
convThresh,1.0,25x25,2,CP-DCM-ACO,100,95.53,9.64848,13.39502,532.99053,745.37468
entropyPct,78.625,9x9,2,CP-DCM-ACO,100,100,0.06713,0.0632,105.8318,100.25209
entropyPct,83.25,9x9,2,CP-DCM-ACO,100,100,0.0682,0.06333,107.6681,100.58072
entropyPct,87.875,9x9,2,CP-DCM-ACO,100,100,0.06695,0.06411,105.5967,101.69087
entropyPct,92.5,9x9,2,CP-DCM-ACO,100,100,0.06789,0.06352,107.9283,101.7496
entropyPct,97.125,9x9,2,CP-DCM-ACO,100,100,0.06834,0.0644,107.7377,102.12504
entropyPct,78.625,16x16,2,CP-DCM-ACO,100,100,0.13908,0.21279,39.1463,60.10563
entropyPct,83.25,16x16,2,CP-DCM-ACO,100,99.99,0.14702,0.21972,41.15903,61.71573
entropyPct,87.875,16x16,2,CP-DCM-ACO,100,100,0.14235,0.20628,39.8436,57.93433
entropyPct,92.5,16x16,2,CP-DCM-ACO,100,100,0.15035,0.22763,41.0271,62.3527
entropyPct,97.125,16x16,2,CP-DCM-ACO,100,100,0.15128,0.22509,42.323,63.23572
entropyPct,78.625,25x25,2,CP-DCM-ACO,100,97,9.08792,11.40778,490.2472,617.5256
entropyPct,83.25,25x25,2,CP-DCM-ACO,100,97.08,9.43399,12.07336,515.33543,661.98687
entropyPct,87.875,25x25,2,CP-DCM-ACO,100,97.07,9.26485,11.84104,509.53657,651.45984
entropyPct,92.5,25x25,2,CP-DCM-ACO,100,97.5,8.34722,10.736,540.19795,717.77708
entropyPct,97.125,25x25,2,CP-DCM-ACO,100,97.01,8.98254,11.47795,515.5415,657.50898
evap,0.0025,9x9,2,CP-DCM-ACO,100,100,0.06887,0.06468,108.7455,102.75754
evap,0.005,9x9,2,CP-DCM-ACO,100,100,0.06789,0.06352,107.9283,101.7496
evap,0.0075,9x9,2,CP-DCM-ACO,100,100,0.06772,0.06355,106.9546,100.95792
evap,0.01,9x9,2,CP-DCM-ACO,100,100,0.06654,0.0633,104.9047,100.35292
evap,0.0125,9x9,2,CP-DCM-ACO,100,100,0.06703,0.06279,105.8611,99.71381
evap,0.0025,16x16,2,CP-DCM-ACO,100,100,0.14183,0.22566,39.813,63.45941
evap,0.005,16x16,2,CP-DCM-ACO,100,100,0.15035,0.22763,41.0271,62.3527
evap,0.0075,16x16,2,CP-DCM-ACO,100,99.99,0.14194,0.21149,39.6656,59.34226
evap,0.01,16x16,2,CP-DCM-ACO,100,99.98,0.13954,0.21144,38.13128,57.83497
evap,0.0125,16x16,2,CP-DCM-ACO,100,99.98,0.14483,0.21666,39.38706,59.20518
evap,0.0025,25x25,2,CP-DCM-ACO,100,96.19,10.18571,13.27498,552.97247,718.4631
