instance,rep,success,time,cycles
inst25x25_40_10.txt,1,1,1.25211,52
inst25x25_40_10.txt,2,1,2.49434,107
inst25x25_40_10.txt,3,1,4.57013,193
inst25x25_40_10.txt,4,1,1.63102,70
inst25x25_40_10.txt,5,1,2.69284,116
inst25x25_40_10.txt,6,1,0.875055,38
inst25x25_40_10.txt,7,1,1.99868,87
inst25x25_40_10.txt,8,1,4.37409,186
inst25x25_40_10.txt,9,1,5.78001,227
inst25x25_40_10.txt,10,1,1.52875,56
inst25x25_40_10.txt,11,1,3.2053,123
inst25x25_40_10.txt,12,1,1.74529,71
inst25x25_40_10.txt,13,1,13.5671,510
inst25x25_40_10.txt,14,1,1.43194,62
inst25x25_40_10.txt,15,1,3.58093,149
inst25x25_40_10.txt,16,1,2.28869,93
inst25x25_40_10.txt,17,1,4.33472,170
inst25x25_40_10.txt,18,1,1.24858,54
inst25x25_40_10.txt,19,1,0.461784,20
inst25x25_40_10.txt,20,1,3.0168,127
inst25x25_40_10.txt,21,1,4.04906,163
inst25x25_40_10.txt,22,1,0.31029,13
inst25x25_40_10.txt,23,1,1.30242,56
inst25x25_40_10.txt,24,1,3.04526,130
inst25x25_40_10.txt,25,1,1.05751,44
inst25x25_40_10.txt,26,1,2.8948,122
inst25x25_40_10.txt,27,1,0.471723,20
inst25x25_40_10.txt,28,1,1.57947,68
inst25x25_40_10.txt,29,1,17.9891,670
inst25x25_40_10.txt,30,1,1.50603,64
inst25x25_40_10.txt,31,1,1.98975,85
inst25x25_40_10.txt,32,1,2.49294,106
inst25x25_40_10.txt,33,1,3.38457,142
inst25x25_40_10.txt,34,1,1.69548,73
inst25x25_40_10.txt,35,1,1.99301,85
inst25x25_40_10.txt,36,1,0.972337,41
inst25x25_40_10.txt,37,1,5.18912,205
inst25x25_40_10.txt,38,1,4.70803,193
inst25x25_40_10.txt,39,1,2.20211,95
inst25x25_40_10.txt,40,1,1.18632,51
inst25x25_40_10.txt,41,1,0.261106,11
inst25x25_40_10.txt,42,1,4.6898,193
inst25x25_40_10.txt,43,1,1.47501,64
inst25x25_40_10.txt,44,1,0.716721,30
