param_value,puzzle_size,instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
0.6,25x25,inst25x25_40_10.txt,2,CP-DCM-ACO,100.0,2.605342,2.467827,106.57,92.738
0.6,25x25,inst25x25_40_30.txt,2,CP-DCM-ACO,100.0,5.108251,3.988424,192.62,141.185
0.6,25x25,inst25x25_40_50.txt,2,CP-DCM-ACO,100.0,7.390598,5.794085,277.82,203.107
0.6,25x25,inst25x25_40_57.txt,2,CP-DCM-ACO,100.0,5.029433,5.033145,187.65,175.194
0.6,25x25,inst25x25_40_62.txt,2,CP-DCM-ACO,100.0,7.733721,7.147576,290.32,253.965
0.6,25x25,inst25x25_40_79.txt,2,CP-DCM-ACO,100.0,5.413895,4.917882,205.17,175.378
0.6,25x25,inst25x25_40_80.txt,2,CP-DCM-ACO,100.0,2.656608,1.940045,104.9,71.837
0.6,25x25,inst25x25_40_89.txt,2,CP-DCM-ACO,100.0,3.871095,3.243193,155.5,121.511
0.6,25x25,inst25x25_40_9.txt,2,CP-DCM-ACO,100.0,5.223171,6.025095,200.18,213.699
0.6,25x25,inst25x25_40_99.txt,2,CP-DCM-ACO,100.0,3.817062,3.571662,151.2,133.107
0.6,25x25,inst25x25_45_1.txt,2,CP-DCM-ACO,78.0,25.571484,24.010918,1300.269,1191.37
0.6,25x25,inst25x25_45_11.txt,2,CP-DCM-ACO,99.0,8.741488,16.234143,470.101,840.906
0.6,25x25,inst25x25_45_14.txt,2,CP-DCM-ACO,100.0,2.062521,3.734665,115.1,187.33
0.6,25x25,inst25x25_45_15.txt,2,CP-DCM-ACO,99.0,16.185162,21.809973,832.717,1087.825
0.6,25x25,inst25x25_45_16.txt,2,CP-DCM-ACO,100.0,8.324889,14.829011,430,732.72
0.6,25x25,inst25x25_45_17.txt,2,CP-DCM-ACO,100.0,6.034606,5.825126,308.66,282.966
0.6,25x25,inst25x25_45_18.txt,2,CP-DCM-ACO,100.0,3.687482,7.316517,198.9,366.492
0.6,25x25,inst25x25_45_19.txt,2,CP-DCM-ACO,98.0,14.716068,18.798494,779.01,960.278
0.6,25x25,inst25x25_45_2.txt,2,CP-DCM-ACO,100.0,10.404989,14.57224,548.12,735.603
0.6,25x25,inst25x25_45_21.txt,2,CP-DCM-ACO,97.0,12.785739,16.649678,626.247,787.589
0.6,25x25,inst25x25_45_23.txt,2,CP-DCM-ACO,99.0,7.858881,8.897754,388.01,417.056
0.6,25x25,inst25x25_45_24.txt,2,CP-DCM-ACO,95.0,30.172248,26.896145,1547.589,1350.254
0.6,25x25,inst25x25_45_26.txt,2,CP-DCM-ACO,99.0,12.926137,17.0393,683.929,869.426
0.6,25x25,inst25x25_45_29.txt,2,CP-DCM-ACO,100.0,8.860475,11.924937,448.9,576.968
0.6,25x25,inst25x25_45_3.txt,2,CP-DCM-ACO,99.0,13.546235,18.362457,646.283,849.068
0.6,25x25,inst25x25_45_32.txt,2,CP-DCM-ACO,100.0,6.44921,13.33999,319.69,624.056
0.6,25x25,inst25x25_45_33.txt,2,CP-DCM-ACO,100.0,7.673342,10.9917,406.59,554.636
0.6,25x25,inst25x25_45_34.txt,2,CP-DCM-ACO,77.0,28.052344,29.337908,1429.364,1475.707
0.6,25x25,inst25x25_45_35.txt,2,CP-DCM-ACO,86.0,24.134228,27.85498,1294.709,1460.597
0.6,25x25,inst25x25_45_36.txt,2,CP-DCM-ACO,98.0,15.051566,18.040172,749.867,874.433
0.6,25x25,inst25x25_45_37.txt,2,CP-DCM-ACO,99.0,12.546988,17.753108,626.96,849.75
0.6,25x25,inst25x25_45_4.txt,2,CP-DCM-ACO,95.0,13.312573,14.501947,705.253,741.868
0.6,25x25,inst25x25_45_40.txt,2,CP-DCM-ACO,100.0,4.847664,5.619312,251.85,273.603
0.6,25x25,inst25x25_45_41.txt,2,CP-DCM-ACO,100.0,6.740739,10.379433,345.13,505.306
0.6,25x25,inst25x25_45_43.txt,2,CP-DCM-ACO,84.0,26.846749,27.764651,1416.19,1434.502
0.6,25x25,inst25x25_45_46.txt,2,CP-DCM-ACO,100.0,5.015185,6.777977,260.73,334.692
0.6,25x25,inst25x25_45_51.txt,2,CP-DCM-ACO,100.0,6.193797,11.005602,334.98,562.864
0.6,25x25,inst25x25_45_52.txt,2,CP-DCM-ACO,100.0,5.005773,6.808065,257.39,329.364
0.6,25x25,inst25x25_45_54.txt,2,CP-DCM-ACO,95.0,13.161167,18.00282,666.2,883.031
0.6,25x25,inst25x25_45_56.txt,2,CP-DCM-ACO,98.0,8.217956,14.800303,436.122,745.55
0.6,25x25,inst25x25_45_57.txt,2,CP-DCM-ACO,98.0,14.69962,17.998564,727.816,872.012
