instance,rep,success,time,cycles
inst25x25_40_10.txt,1,1,4.5795,178
inst25x25_40_10.txt,2,1,3.82906,151
inst25x25_40_10.txt,3,1,1.51999,61
inst25x25_40_10.txt,4,1,4.83863,190
inst25x25_40_10.txt,5,1,2.30815,94
inst25x25_40_10.txt,6,1,0.97638,40
inst25x25_40_10.txt,7,1,1.12759,46
inst25x25_40_10.txt,8,1,7.89809,293
inst25x25_40_10.txt,9,1,0.816951,34
inst25x25_40_10.txt,10,1,3.982,156
inst25x25_40_10.txt,11,1,1.628,67
inst25x25_40_10.txt,12,1,1.2004,50
inst25x25_40_10.txt,13,1,1.57166,67
inst25x25_40_10.txt,14,1,0.406923,17
inst25x25_40_10.txt,15,1,1.11387,46
inst25x25_40_10.txt,16,1,4.13196,161
inst25x25_40_10.txt,17,1,8.77995,333
inst25x25_40_10.txt,18,1,1.28451,53
inst25x25_40_10.txt,19,1,1.20108,50
inst25x25_40_10.txt,20,1,1.26802,53
inst25x25_40_10.txt,21,1,2.60233,106
inst25x25_40_10.txt,22,1,7.55776,283
inst25x25_40_10.txt,23,1,1.55738,64
inst25x25_40_10.txt,24,1,2.37374,98
inst25x25_40_10.txt,25,1,0.411114,17
inst25x25_40_10.txt,26,1,1.39897,58
inst25x25_40_10.txt,27,1,3.19919,129
inst25x25_40_10.txt,28,1,2.06051,85
inst25x25_40_10.txt,29,1,16.1945,586
inst25x25_40_10.txt,30,1,1.13377,47
inst25x25_40_10.txt,31,1,1.07111,44
inst25x25_40_10.txt,32,1,0.724512,30
inst25x25_40_10.txt,33,1,1.11127,46
inst25x25_40_10.txt,34,1,1.90993,79
inst25x25_40_10.txt,35,1,18.8654,688
inst25x25_40_10.txt,36,1,6.57405,243
inst25x25_40_10.txt,37,1,2.73069,113
inst25x25_40_10.txt,38,1,0.537365,22
inst25x25_40_10.txt,39,1,1.48021,60
inst25x25_40_10.txt,40,1,6.96672,264
inst25x25_40_10.txt,41,1,4.0606,162
inst25x25_40_10.txt,42,1,0.806439,33
inst25x25_40_10.txt,43,1,2.88542,120
inst25x25_40_10.txt,44,1,1.71481,73
inst25x25_40_10.txt,45,1,0.507571,21
inst25x25_40_10.txt,46,1,1.06355,44
inst25x25_40_10.txt,47,1,4.21339,168
inst25x25_40_10.txt,48,1,2.81215,116
inst25x25_40_10.txt,49,1,0.872418,35
inst25x25_40_10.txt,50,1,1.6946,69
inst25x25_40_10.txt,51,1,1.45285,59
inst25x25_40_10.txt,52,1,2.94904,121
inst25x25_40_10.txt,53,1,2.0258,80
inst25x25_40_10.txt,54,1,1.79225,74
inst25x25_40_10.txt,55,1,1.46054,59
inst25x25_40_10.txt,56,1,2.65644,110
inst25x25_40_10.txt,57,1,0.642899,27
inst25x25_40_10.txt,58,1,0.576132,24
inst25x25_40_10.txt,59,1,1.73875,73
inst25x25_40_10.txt,60,1,1.6866,70
inst25x25_40_10.txt,61,1,3.03669,124
inst25x25_40_10.txt,62,1,9.02712,332
inst25x25_40_10.txt,63,1,0.466969,19
inst25x25_40_10.txt,64,1,2.25577,92
inst25x25_40_10.txt,65,1,1.20189,49
inst25x25_40_10.txt,66,1,1.06518,43
inst25x25_40_10.txt,67,1,5.27611,204
inst25x25_40_10.txt,68,1,3.35999,136
inst25x25_40_10.txt,69,1,2.58687,106
inst25x25_40_10.txt,70,1,10.0225,380
inst25x25_40_10.txt,71,1,0.562476,23
inst25x25_40_10.txt,72,1,2.28282,93
inst25x25_40_10.txt,73,1,2.62513,107
inst25x25_40_10.txt,74,1,0.78002,32
inst25x25_40_10.txt,75,1,1.19093,48
inst25x25_40_10.txt,76,1,1.19425,49
inst25x25_40_10.txt,77,1,1.19177,49
inst25x25_40_10.txt,78,1,6.80322,256
inst25x25_40_10.txt,79,1,1.04196,43
inst25x25_40_10.txt,80,1,2.92167,117
inst25x25_40_10.txt,81,1,1.30468,54
inst25x25_40_10.txt,82,1,1.40893,59
inst25x25_40_10.txt,83,1,2.7198,114
inst25x25_40_10.txt,84,1,4.18396,168
inst25x25_40_10.txt,85,1,1.13565,47
inst25x25_40_10.txt,86,1,2.44635,101
inst25x25_40_10.txt,87,1,6.48161,245
inst25x25_40_10.txt,88,1,1.5459,64
inst25x25_40_10.txt,89,1,1.19578,49
inst25x25_40_10.txt,90,1,4.57831,178
inst25x25_40_10.txt,91,1,7.92537,299
inst25x25_40_10.txt,92,1,1.10267,45
inst25x25_40_10.txt,93,1,2.97687,123
inst25x25_40_10.txt,94,1,2.06953,86
inst25x25_40_10.txt,95,1,3.53798,142
inst25x25_40_10.txt,96,1,0.99438,41
inst25x25_40_10.txt,97,1,3.32576,136
inst25x25_40_10.txt,98,1,3.18786,130
inst25x25_40_10.txt,99,1,0.448895,18
inst25x25_40_10.txt,100,1,2.14831,86
inst25x25_40_50.txt,1,1,21.4994,783
inst25x25_40_50.txt,2,1,9.35842,340
inst25x25_40_50.txt,3,1,10.6421,387
inst25x25_40_50.txt,4,1,2.85911,116
inst25x25_40_50.txt,5,1,1.56519,63
inst25x25_40_50.txt,6,1,1.51913,62
inst25x25_40_50.txt,7,1,6.22013,235
inst25x25_40_50.txt,8,1,5.10048,199
inst25x25_40_50.txt,9,1,4.86605,190
inst25x25_40_50.txt,10,1,4.57175,182
inst25x25_40_50.txt,11,1,6.90713,259
inst25x25_40_50.txt,12,1,3.19458,125
inst25x25_40_50.txt,13,1,4.30383,170
inst25x25_40_50.txt,14,1,1.25204,53
inst25x25_40_50.txt,15,1,2.81686,112
inst25x25_40_50.txt,16,1,2.93646,118
inst25x25_40_50.txt,17,1,3.90838,150
inst25x25_40_50.txt,18,1,5.49881,210
inst25x25_40_50.txt,19,1,4.74133,189
inst25x25_40_50.txt,20,1,3.79977,149
inst25x25_40_50.txt,21,1,6.51178,243
inst25x25_40_50.txt,22,1,13.5888,497
inst25x25_40_50.txt,23,1,4.85475,186
inst25x25_40_50.txt,24,1,3.15883,126
inst25x25_40_50.txt,25,1,6.61977,250
inst25x25_40_50.txt,26,1,10.3051,387
inst25x25_40_50.txt,27,1,6.35995,241
inst25x25_40_50.txt,28,1,6.33198,238
inst25x25_40_50.txt,29,1,4.81125,188
inst25x25_40_50.txt,30,1,5.47284,207
inst25x25_40_50.txt,31,1,7.04923,264
inst25x25_40_50.txt,32,1,9.29156,335
inst25x25_40_50.txt,33,1,5.87381,227
inst25x25_40_50.txt,34,1,10.19,374
inst25x25_40_50.txt,35,1,14.601,515
inst25x25_40_50.txt,36,1,7.25724,268
inst25x25_40_50.txt,37,1,5.87531,221
inst25x25_40_50.txt,38,1,4.63176,180
inst25x25_40_50.txt,39,1,2.89569,120
inst25x25_40_50.txt,40,1,4.19596,165
inst25x25_40_50.txt,41,1,7.66613,279
inst25x25_40_50.txt,42,1,7.40389,276
inst25x25_40_50.txt,43,1,2.95422,120
inst25x25_40_50.txt,44,1,1.35232,56
inst25x25_40_50.txt,45,1,7.0038,262
inst25x25_40_50.txt,46,1,19.0925,684
inst25x25_40_50.txt,47,1,3.56429,143
inst25x25_40_50.txt,48,1,5.17056,195
inst25x25_40_50.txt,49,1,5.53318,214
inst25x25_40_50.txt,50,1,7.13437,260
inst25x25_40_50.txt,51,1,2.86232,116
inst25x25_40_50.txt,52,1,1.53245,63
inst25x25_40_50.txt,53,1,7.77034,286
inst25x25_40_50.txt,54,1,12.1897,435
inst25x25_40_50.txt,55,1,2.38689,96
inst25x25_40_50.txt,56,1,9.54438,357
inst25x25_40_50.txt,57,1,2.66198,109
inst25x25_40_50.txt,58,1,3.89874,153
inst25x25_40_50.txt,59,1,3.46728,136
inst25x25_40_50.txt,60,1,1.32976,54
inst25x25_40_50.txt,61,1,0.558877,22
inst25x25_40_50.txt,62,1,7.735,286
inst25x25_40_50.txt,63,1,8.10563,298
inst25x25_40_50.txt,64,1,2.19327,90
inst25x25_40_50.txt,65,1,13.6984,492
inst25x25_40_50.txt,66,1,5.47439,215
inst25x25_40_50.txt,67,1,11.8076,423
inst25x25_40_50.txt,68,1,4.69435,181
inst25x25_40_50.txt,69,1,4.45209,174
inst25x25_40_50.txt,70,1,22.2504,797
inst25x25_40_50.txt,71,1,2.37856,98
inst25x25_40_50.txt,72,1,8.63789,320
inst25x25_40_50.txt,73,1,4.39372,173
inst25x25_40_50.txt,74,1,12.6167,457
inst25x25_40_50.txt,75,1,4.61926,182
inst25x25_40_50.txt,76,1,9.0519,337
inst25x25_40_50.txt,77,1,10.0153,362
inst25x25_40_50.txt,78,1,3.56662,140
inst25x25_40_50.txt,79,1,6.35871,243
inst25x25_40_50.txt,80,1,3.9193,152
inst25x25_40_50.txt,81,1,6.80709,259
inst25x25_40_50.txt,82,1,2.15678,88
inst25x25_40_50.txt,83,1,14.1214,498
inst25x25_40_50.txt,84,1,3.02497,124
inst25x25_40_50.txt,85,1,7.92146,294
inst25x25_40_50.txt,86,1,11.336,417
inst25x25_40_50.txt,87,1,9.364,346
inst25x25_40_50.txt,88,1,6.66569,250
inst25x25_40_50.txt,89,1,15.8979,576
inst25x25_40_50.txt,90,1,0.9403,39
inst25x25_40_50.txt,91,1,6.68427,251
inst25x25_40_50.txt,92,1,2.05804,83
inst25x25_40_50.txt,93,1,0.91533,37
inst25x25_40_50.txt,94,1,6.634,246
inst25x25_40_50.txt,95,1,9.6375,352
inst25x25_40_50.txt,96,1,3.70707,148
inst25x25_40_50.txt,97,1,5.48147,212
inst25x25_40_50.txt,98,1,3.06735,128
inst25x25_40_50.txt,99,1,7.87446,292
inst25x25_40_50.txt,100,1,5.66836,216
inst25x25_40_62.txt,1,1,6.38529,242
inst25x25_40_62.txt,2,1,1.85223,78
inst25x25_40_62.txt,3,1,6.15595,238
inst25x25_40_62.txt,4,1,0.919381,39
inst25x25_40_62.txt,5,1,0.97918,41
inst25x25_40_62.txt,6,1,7.47323,288
inst25x25_40_62.txt,7,1,10.099,378
inst25x25_40_62.txt,8,1,6.41151,246
inst25x25_40_62.txt,9,1,5.38305,211
inst25x25_40_62.txt,10,1,7.02182,274
inst25x25_40_62.txt,11,1,2.64413,109
inst25x25_40_62.txt,12,1,5.96427,235
inst25x25_40_62.txt,13,1,2.3886,100
inst25x25_40_62.txt,14,1,23.5345,863
inst25x25_40_62.txt,15,1,17.4415,643
inst25x25_40_62.txt,16,1,11.3572,422
inst25x25_40_62.txt,17,1,11.3721,426
inst25x25_40_62.txt,18,1,18.1162,675
inst25x25_40_62.txt,19,1,6.86629,264
inst25x25_40_62.txt,20,1,18.956,695
inst25x25_40_62.txt,21,1,17.4785,638
inst25x25_40_62.txt,22,1,19.1243,696
inst25x25_40_62.txt,23,1,11.3428,426
inst25x25_40_62.txt,24,1,15.3909,564
inst25x25_40_62.txt,25,1,2.75542,114
inst25x25_40_62.txt,26,1,3.82114,160
inst25x25_40_62.txt,27,1,6.13582,237
inst25x25_40_62.txt,28,1,0.670089,28
inst25x25_40_62.txt,29,1,5.54063,217
inst25x25_40_62.txt,30,1,8.75594,332
inst25x25_40_62.txt,31,1,7.51802,282
inst25x25_40_62.txt,32,1,1.38709,58
inst25x25_40_62.txt,33,1,4.17011,167
inst25x25_40_62.txt,34,1,3.1682,130
inst25x25_40_62.txt,35,1,14.5883,539
inst25x25_40_62.txt,36,1,5.64282,224
inst25x25_40_62.txt,37,1,6.00987,234
inst25x25_40_62.txt,38,1,2.43845,102
inst25x25_40_62.txt,39,1,2.34736,101
inst25x25_40_62.txt,40,1,6.4416,250
inst25x25_40_62.txt,41,1,3.98338,159
inst25x25_40_62.txt,42,1,6.43149,250
inst25x25_40_62.txt,43,1,8.97128,341
inst25x25_40_62.txt,44,1,2.97109,124
inst25x25_40_62.txt,45,1,0.849094,35
inst25x25_40_62.txt,46,1,7.746,295
inst25x25_40_62.txt,47,1,0.958973,40
inst25x25_40_62.txt,48,1,4.53808,182
inst25x25_40_62.txt,49,1,5.31249,209
inst25x25_40_62.txt,50,1,0.967433,40
inst25x25_40_62.txt,51,1,9.42851,355
inst25x25_40_62.txt,52,1,13.7207,515
inst25x25_40_62.txt,53,1,5.33945,208
inst25x25_40_62.txt,54,1,6.19567,243
inst25x25_40_62.txt,55,1,7.31527,279
inst25x25_40_62.txt,56,1,15.0596,557
inst25x25_40_62.txt,57,1,5.89849,230
inst25x25_40_62.txt,58,1,3.30983,136
inst25x25_40_62.txt,59,1,11.1951,421
inst25x25_40_62.txt,60,1,2.2816,98
inst25x25_40_62.txt,61,1,8.36331,322
inst25x25_40_62.txt,62,1,2.15696,92
inst25x25_40_62.txt,63,1,1.54684,65
inst25x25_40_62.txt,64,1,2.36183,100
inst25x25_40_62.txt,65,1,7.61439,289
inst25x25_40_62.txt,66,1,7.2608,289
inst25x25_40_62.txt,67,1,5.9157,227
inst25x25_40_62.txt,68,1,3.14029,129
inst25x25_40_62.txt,69,1,5.64512,226
inst25x25_40_62.txt,70,1,5.25508,205
inst25x25_40_62.txt,71,1,3.81133,159
inst25x25_40_62.txt,72,1,1.80082,76
inst25x25_40_62.txt,73,1,4.89098,193
inst25x25_40_62.txt,74,1,12.9712,474
inst25x25_40_62.txt,75,1,5.99376,238
inst25x25_40_62.txt,76,1,10.292,383
inst25x25_40_62.txt,77,1,19.5319,713
inst25x25_40_62.txt,78,1,9.88588,375
inst25x25_40_62.txt,79,1,1.28305,55
inst25x25_40_62.txt,80,1,6.57612,256
inst25x25_40_62.txt,81,1,14.8494,559
inst25x25_40_62.txt,82,1,2.74762,115
inst25x25_40_62.txt,83,1,10.4723,393
inst25x25_40_62.txt,84,1,12.9897,481
inst25x25_40_62.txt,85,1,3.45882,141
inst25x25_40_62.txt,86,1,5.95502,232
inst25x25_40_62.txt,87,1,0.425785,17
inst25x25_40_62.txt,88,1,1.39225,57
inst25x25_40_62.txt,89,1,2.54547,107
inst25x25_40_62.txt,90,1,4.00211,170
inst25x25_40_62.txt,91,1,2.06018,86
inst25x25_40_62.txt,92,1,35.3465,1277
inst25x25_40_62.txt,93,1,1.28135,54
inst25x25_40_62.txt,94,1,12.7791,472
inst25x25_40_62.txt,95,1,27.337,996
inst25x25_40_62.txt,96,1,6.35122,248
inst25x25_40_62.txt,97,1,3.10061,127
inst25x25_40_62.txt,98,1,10.4054,391
inst25x25_40_62.txt,99,1,3.03986,126
inst25x25_40_62.txt,100,1,11.9715,452
inst25x25_40_80.txt,1,1,4.30943,167
inst25x25_40_80.txt,2,1,2.84716,116
inst25x25_40_80.txt,3,1,3.54469,139
inst25x25_40_80.txt,4,1,1.06668,44
inst25x25_40_80.txt,5,1,3.70115,147
inst25x25_40_80.txt,6,1,0.34249,14
inst25x25_40_80.txt,7,1,1.54764,64
inst25x25_40_80.txt,8,1,2.52189,104
inst25x25_40_80.txt,9,1,0.636066,26
inst25x25_40_80.txt,10,1,3.2726,131
inst25x25_40_80.txt,11,1,2.71407,110
inst25x25_40_80.txt,12,1,4.20534,170
inst25x25_40_80.txt,13,1,2.30111,93
inst25x25_40_80.txt,14,1,3.43242,138
