param_value,puzzle_size,instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
1.0,25x25,inst25x25_40_10.txt,2,CP-DCM-ACO,100.0,2.861474,2.970763,112.27,108.649
1.0,25x25,inst25x25_40_50.txt,2,CP-DCM-ACO,100.0,6.384481,4.230386,239.16,149.195
1.0,25x25,inst25x25_40_62.txt,2,CP-DCM-ACO,100.0,7.373309,6.111609,280.5,220.172
1.0,25x25,inst25x25_40_80.txt,2,CP-DCM-ACO,100.0,3.031925,2.123307,119.19,78.197
1.0,25x25,inst25x25_40_9.txt,2,CP-DCM-ACO,100.0,5.718533,4.724273,220.4,171.824
1.0,25x25,inst25x25_45_1.txt,2,CP-DCM-ACO,76.0,22.945666,27.624951,1164.75,1366.832
1.0,25x25,inst25x25_45_14.txt,2,CP-DCM-ACO,100.0,1.941339,2.888528,107.44,148.422
1.0,25x25,inst25x25_45_16.txt,2,CP-DCM-ACO,98.0,11.050761,19.836621,556.48,962.862
1.0,25x25,inst25x25_45_18.txt,2,CP-DCM-ACO,100.0,4.023176,6.172771,210.91,306.648
1.0,25x25,inst25x25_45_2.txt,2,CP-DCM-ACO,97.0,9.068895,11.082022,476.464,552.187
1.0,25x25,inst25x25_45_23.txt,2,CP-DCM-ACO,100.0,7.885333,10.417815,386.27,483.869
1.0,25x25,inst25x25_45_26.txt,2,CP-DCM-ACO,96.0,9.574797,13.303067,510.073,675.132
1.0,25x25,inst25x25_45_3.txt,2,CP-DCM-ACO,98.0,14.3259,16.292619,657.306,714.249
1.0,25x25,inst25x25_45_33.txt,2,CP-DCM-ACO,98.0,7.376638,10.8847,388.367,550.021
1.0,25x25,inst25x25_40_30.txt,2,CP-DCM-ACO,100.0,5.654988,4.380525,209.66,154.746
1.0,25x25,inst25x25_40_57.txt,2,CP-DCM-ACO,100.0,5.993744,5.264491,222.11,182.959
1.0,25x25,inst25x25_40_79.txt,2,CP-DCM-ACO,100.0,5.982251,5.664939,225.18,201.965
1.0,25x25,inst25x25_40_89.txt,2,CP-DCM-ACO,100.0,4.132117,10.828706,163.5,400.408
1.0,25x25,inst25x25_40_99.txt,2,CP-DCM-ACO,100.0,4.225344,4.84928,165.26,176.718
1.0,25x25,inst25x25_45_11.txt,2,CP-DCM-ACO,100.0,9.338406,16.436525,503.47,844.555
1.0,25x25,inst25x25_45_35.txt,2,CP-DCM-ACO,74.0,28.360081,30.838094,1516.149,1613.341
1.0,25x25,inst25x25_45_15.txt,2,CP-DCM-ACO,99.0,16.551883,21.247071,846.96,1052.585
1.0,25x25,inst25x25_45_17.txt,2,CP-DCM-ACO,100.0,7.02229,8.168486,353.74,388.533
1.0,25x25,inst25x25_45_37.txt,2,CP-DCM-ACO,97.0,11.524651,13.995415,579.598,675.648
1.0,25x25,inst25x25_45_40.txt,2,CP-DCM-ACO,100.0,3.893078,7.252506,203.95,354.876
