instance,rep,success,time,cycles
inst25x25_40_10.txt,1,1,1.27863,53
inst25x25_40_10.txt,2,1,0.266784,11
inst25x25_40_10.txt,3,1,0.267404,11
inst25x25_40_10.txt,4,1,0.290587,12
inst25x25_40_10.txt,5,1,2.56654,104
inst25x25_40_10.txt,6,1,8.36258,316
inst25x25_40_10.txt,7,1,2.51618,103
inst25x25_40_10.txt,8,1,0.913556,37
inst25x25_40_10.txt,9,1,0.514992,21
inst25x25_40_10.txt,10,1,2.23178,91
inst25x25_40_10.txt,11,1,3.94628,158
inst25x25_40_10.txt,12,1,6.98905,266
inst25x25_40_10.txt,13,1,2.45154,102
inst25x25_40_10.txt,14,1,0.840963,35
inst25x25_40_10.txt,15,1,0.503565,21
inst25x25_40_10.txt,16,1,6.04488,231
inst25x25_40_10.txt,17,1,1.24507,51
inst25x25_40_10.txt,18,1,6.65271,252
inst25x25_40_10.txt,19,1,0.241203,10
inst25x25_40_10.txt,20,1,2.31929,96
inst25x25_40_10.txt,21,1,7.80546,294
inst25x25_40_10.txt,22,1,7.42145,275
inst25x25_40_10.txt,23,1,4.84555,189
inst25x25_40_10.txt,24,1,2.43639,99
inst25x25_40_10.txt,25,1,7.64371,286
inst25x25_40_10.txt,26,1,6.94454,264
inst25x25_40_10.txt,27,1,0.739025,31
inst25x25_40_10.txt,28,1,3.6041,145
inst25x25_40_10.txt,29,1,0.980116,41
inst25x25_40_10.txt,30,1,2.83613,115
inst25x25_40_10.txt,31,1,2.73288,112
inst25x25_40_10.txt,32,1,3.60176,144
inst25x25_40_10.txt,33,1,5.39675,209
inst25x25_40_10.txt,34,1,1.01478,42
inst25x25_40_10.txt,35,1,4.5767,180
inst25x25_40_10.txt,36,1,1.07046,44
inst25x25_40_10.txt,37,1,1.56791,65
inst25x25_40_10.txt,38,1,0.650458,27
inst25x25_40_10.txt,39,1,3.2651,134
inst25x25_40_10.txt,40,1,3.00927,122
inst25x25_40_10.txt,41,1,0.345401,14
inst25x25_40_10.txt,42,1,0.629408,26
