param_value,puzzle_size,instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
83.25,25x25,inst25x25_40_10.txt,2,CP-DCM-ACO,100.0,3.331503,3.010978,129.45,110.491
83.25,25x25,inst25x25_40_30.txt,2,CP-DCM-ACO,100.0,6.129633,9.602324,213.97,320.369
83.25,25x25,inst25x25_40_50.txt,2,CP-DCM-ACO,100.0,8.091331,6.793418,299.37,241.201
83.25,25x25,inst25x25_40_57.txt,2,CP-DCM-ACO,100.0,5.765001,4.562398,201.04,152.019
83.25,25x25,inst25x25_40_62.txt,2,CP-DCM-ACO,100.0,7.552429,6.401178,287.95,232.919
83.25,25x25,inst25x25_40_79.txt,2,CP-DCM-ACO,100.0,6.100018,6.023031,216.66,204.259
83.25,25x25,inst25x25_40_80.txt,2,CP-DCM-ACO,100.0,3.384688,3.096111,129.74,110.949
83.25,25x25,inst25x25_40_89.txt,2,CP-DCM-ACO,100.0,4.220894,3.807663,154.05,133.892
83.25,25x25,inst25x25_40_9.txt,2,CP-DCM-ACO,100.0,5.865552,5.725795,218.73,204.874
83.25,25x25,inst25x25_40_99.txt,2,CP-DCM-ACO,100.0,4.083191,3.392286,150.52,118.371
83.25,25x25,inst25x25_45_1.txt,2,CP-DCM-ACO,72.0,24.393402,25.175615,1180.389,1221.047
83.25,25x25,inst25x25_45_11.txt,2,CP-DCM-ACO,100.0,6.934299,7.363026,362.92,369.892
83.25,25x25,inst25x25_45_14.txt,2,CP-DCM-ACO,100.0,2.911045,4.449495,145,211.889
83.25,25x25,inst25x25_45_15.txt,2,CP-DCM-ACO,99.0,13.713643,17.331038,699.919,859.257
83.25,25x25,inst25x25_45_16.txt,2,CP-DCM-ACO,99.0,9.460681,13.227126,460.051,622.791
83.25,25x25,inst25x25_45_17.txt,2,CP-DCM-ACO,100.0,5.852193,6.995415,295.08,329.112
83.25,25x25,inst25x25_45_18.txt,2,CP-DCM-ACO,100.0,4.316037,8.016301,223.75,392.57
83.25,25x25,inst25x25_45_19.txt,2,CP-DCM-ACO,99.0,15.347391,18.243203,786.374,901.994
83.25,25x25,inst25x25_45_2.txt,2,CP-DCM-ACO,96.0,12.342851,15.705115,641.667,792.0
83.25,25x25,inst25x25_45_21.txt,2,CP-DCM-ACO,96.0,16.500985,20.72987,791.094,962.579
83.25,25x25,inst25x25_45_23.txt,2,CP-DCM-ACO,99.0,6.879175,9.07782,327.859,406.927
83.25,25x25,inst25x25_45_24.txt,2,CP-DCM-ACO,91.0,30.029404,25.044422,1515.516,1234.08
83.25,25x25,inst25x25_45_26.txt,2,CP-DCM-ACO,96.0,15.226674,21.645559,785.167,1094.233
83.25,25x25,inst25x25_45_29.txt,2,CP-DCM-ACO,100.0,10.729827,13.509288,529.32,634.267
83.25,25x25,inst25x25_45_3.txt,2,CP-DCM-ACO,99.0,12.481598,15.132971,587.909,685.659
83.25,25x25,inst25x25_45_32.txt,2,CP-DCM-ACO,100.0,5.842688,6.353795,289.46,297.21
