param_value,puzzle_size,instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
0.01,9x9,2020_00004.txt,2,CP-DCM-ACO,100.0,0.025783,0.023153,38.93,35.376
0.01,9x9,2020_00021.txt,2,CP-DCM-ACO,100.0,0.038131,0.028059,60.01,44.51
0.01,9x9,2020_00041.txt,2,CP-DCM-ACO,100.0,0.052578,0.051327,82.09,80.874
0.01,9x9,2020_00049.txt,2,CP-DCM-ACO,100.0,0.091658,0.105487,135.41,157.191
0.01,9x9,2020_00054.txt,2,CP-DCM-ACO,100.0,0.060855,0.053769,95.16,84.482
0.01,9x9,2020_00057.txt,2,CP-DCM-ACO,100.0,0.02899,0.030747,44.37,47.555
0.01,9x9,2020_00081.txt,2,CP-DCM-ACO,100.0,0.095379,0.082271,144.21,125.231
0.01,9x9,2020_00095.txt,2,CP-DCM-ACO,100.0,0.05227,0.048828,86.43,81.879
0.01,9x9,2020_00153.txt,2,CP-DCM-ACO,100.0,0.064534,0.056949,98.57,87.786
0.01,9x9,2020_00155.txt,2,CP-DCM-ACO,100.0,0.07395,0.069157,102.53,96.46
0.01,9x9,2020_00159.txt,2,CP-DCM-ACO,100.0,0.059784,0.056868,98.86,94.524
0.01,9x9,2020_00175.txt,2,CP-DCM-ACO,100.0,0.042152,0.037165,76.94,68.418
0.01,9x9,2020_00177.txt,2,CP-DCM-ACO,100.0,0.070391,0.066189,114.55,108.092
0.01,9x9,2020_00179.txt,2,CP-DCM-ACO,100.0,0.036607,0.03298,61.96,56.583
0.01,9x9,2020_00203.txt,2,CP-DCM-ACO,100.0,0.052879,0.058163,81.05,89.92
0.01,9x9,2020_00217.txt,2,CP-DCM-ACO,100.0,0.085343,0.072952,135.34,116.505
0.01,9x9,2020_00223.txt,2,CP-DCM-ACO,100.0,0.066279,0.055624,110.32,93.345
0.01,9x9,2020_00231.txt,2,CP-DCM-ACO,100.0,0.05864,0.048661,88.82,74.006
0.01,9x9,2020_00242.txt,2,CP-DCM-ACO,100.0,0.139425,0.122757,214.1,189.624
0.01,9x9,2020_00262.txt,2,CP-DCM-ACO,100.0,0.172872,0.149,265.68,229.799
0.01,9x9,2020_00264.txt,2,CP-DCM-ACO,100.0,0.101196,0.083157,159.29,131.86
0.01,9x9,2020_00312.txt,2,CP-DCM-ACO,100.0,0.132019,0.127541,190.13,184.713
0.01,9x9,2020_00333.txt,2,CP-DCM-ACO,100.0,0.162499,0.214225,238.1,314.879
0.01,9x9,2020_00340.txt,2,CP-DCM-ACO,100.0,0.134817,0.150335,198.63,223.516
0.01,9x9,2020_00341.txt,2,CP-DCM-ACO,100.0,0.142714,0.132748,198.66,185.481
0.01,9x9,2020_00357.txt,2,CP-DCM-ACO,100.0,0.037995,0.032789,69.88,60.916
0.01,9x9,2020_00358.txt,2,CP-DCM-ACO,100.0,0.049815,0.042646,87.13,75.392
0.01,9x9,2020_00361.txt,2,CP-DCM-ACO,100.0,0.0413,0.040407,66.57,65.886
0.01,9x9,2020_00363.txt,2,CP-DCM-ACO,100.0,0.047108,0.042539,82.91,75.813
0.01,9x9,2020_00374.txt,2,CP-DCM-ACO,100.0,0.041388,0.045054,67.85,74.588
0.01,9x9,2020_00376.txt,2,CP-DCM-ACO,100.0,0.045707,0.050919,79.52,89.354
0.01,9x9,2020_00403.txt,2,CP-DCM-ACO,100.0,0.050091,0.044288,80.45,71.743
0.01,9x9,2020_00427.txt,2,CP-DCM-ACO,100.0,0.072256,0.054812,135.96,103.869
0.01,9x9,2020_00429.txt,2,CP-DCM-ACO,100.0,0.064997,0.063961,114.5,113.544
0.01,9x9,2020_00439.txt,2,CP-DCM-ACO,100.0,0.112642,0.150395,168.96,227.176
