param_value,puzzle_size,instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
11,16x16,16x16_02203.txt,2,CP-DCM-ACO,100.0,0.049559,0.035712,4.27,3.101
11,16x16,16x16_02205.txt,2,CP-DCM-ACO,100.0,0.101447,0.115852,7.9,9.059
11,16x16,16x16_02211.txt,2,CP-DCM-ACO,100.0,0.046738,0.063854,4.7,6.482
11,16x16,16x16_02214.txt,2,CP-DCM-ACO,100.0,0.061625,0.103602,6.01,10.261
11,16x16,16x16_02223.txt,2,CP-DCM-ACO,100.0,0.061878,0.06277,5.14,5.208
11,16x16,16x16_02228.txt,2,CP-DCM-ACO,100.0,0.411478,0.514207,32.54,40.717
11,16x16,16x16_02230.txt,2,CP-DCM-ACO,100.0,0.05289,0.066037,4.49,5.707
11,16x16,16x16_02233.txt,2,CP-DCM-ACO,100.0,0.120373,0.24102,9.73,19.386
11,16x16,16x16_02234.txt,2,CP-DCM-ACO,100.0,0.098326,0.142019,8.75,12.518
11,16x16,16x16_02237.txt,2,CP-DCM-ACO,100.0,0.277084,0.36074,19.39,25.132
11,16x16,16x16_02251.txt,2,CP-DCM-ACO,100.0,0.036908,0.036977,3.33,3.441
11,16x16,16x16_02256.txt,2,CP-DCM-ACO,100.0,0.303592,0.524302,22.45,39.474
11,16x16,16x16_02265.txt,2,CP-DCM-ACO,100.0,0.018936,0.007689,1.44,0.605
11,16x16,16x16_02280.txt,2,CP-DCM-ACO,100.0,0.046636,0.044888,3.55,3.395
11,16x16,16x16_02281.txt,2,CP-DCM-ACO,100.0,0.051193,0.082267,4.53,7.369
11,16x16,16x16_02288.txt,2,CP-DCM-ACO,100.0,0.210191,0.234798,17,18.978
11,16x16,16x16_02291.txt,2,CP-DCM-ACO,100.0,0.027341,0.016324,2.2,1.327
11,16x16,16x16_02292.txt,2,CP-DCM-ACO,100.0,0.108204,0.208924,8.97,17.446
11,16x16,16x16_02297.txt,2,CP-DCM-ACO,100.0,0.193916,0.25365,15.72,20.754
11,16x16,16x16_02300.txt,2,CP-DCM-ACO,100.0,0.029603,0.028805,2.99,2.944
11,16x16,16x16_02314.txt,2,CP-DCM-ACO,100.0,0.057832,0.064563,4.49,5.031
11,16x16,16x16_02330.txt,2,CP-DCM-ACO,100.0,0.028831,0.03317,2.61,3.066
11,16x16,16x16_02333.txt,2,CP-DCM-ACO,100.0,0.028086,0.010845,2.03,0.806
11,16x16,16x16_02338.txt,2,CP-DCM-ACO,100.0,0.065635,0.054325,5.41,4.459
11,16x16,16x16_02349.txt,2,CP-DCM-ACO,99.0,2.057696,3.323984,134.838,217.971
11,16x16,16x16_02350.txt,2,CP-DCM-ACO,100.0,0.039292,0.032879,3.85,3.278
11,16x16,16x16_02354.txt,2,CP-DCM-ACO,100.0,1.919714,2.34376,142.06,174.781
11,16x16,16x16_02355.txt,2,CP-DCM-ACO,100.0,0.034831,0.01932,3.05,1.711
11,16x16,16x16_02357.txt,2,CP-DCM-ACO,100.0,0.886233,1.374557,62.85,96.889
11,16x16,16x16_02367.txt,2,CP-DCM-ACO,100.0,0.087443,0.196912,6.57,14.655
11,16x16,16x16_02370.txt,2,CP-DCM-ACO,100.0,0.018932,0.008628,1.75,0.817
11,16x16,16x16_02371.txt,2,CP-DCM-ACO,100.0,0.423992,0.618201,36.47,52.995
11,16x16,16x16_02374.txt,2,CP-DCM-ACO,100.0,0.067853,0.080162,5.1,5.959
11,16x16,16x16_02379.txt,2,CP-DCM-ACO,100.0,0.16028,0.197537,14.88,18.257
11,16x16,16x16_02383.txt,2,CP-DCM-ACO,100.0,0.02066,0.011298,1.98,1.058
11,16x16,16x16_02388.txt,2,CP-DCM-ACO,100.0,0.016991,0.010009,1.74,1.055
11,16x16,16x16_02390.txt,2,CP-DCM-ACO,100.0,0.467202,0.982246,38.33,80.426
11,16x16,16x16_02395.txt,2,CP-DCM-ACO,100.0,0.030483,0.013888,2.59,1.209
11,16x16,16x16_02405.txt,2,CP-DCM-ACO,98.0,3.588101,4.886862,254.306,346.361
11,16x16,16x16_02407.txt,2,CP-DCM-ACO,100.0,0.021857,0.014791,2.46,1.717
11,16x16,16x16_02411.txt,2,CP-DCM-ACO,100.0,0.204497,0.25801,16.87,21.31
11,16x16,16x16_02418.txt,2,CP-DCM-ACO,100.0,0.045408,0.055175,3.81,4.685
11,16x16,16x16_02435.txt,2,CP-DCM-ACO,100.0,0.114734,0.122851,8.2,8.748
11,16x16,16x16_02436.txt,2,CP-DCM-ACO,100.0,0.128037,0.186685,10.91,15.821
11,16x16,16x16_02443.txt,2,CP-DCM-ACO,100.0,0.491445,1.143487,39.4,91.935
11,16x16,16x16_02446.txt,2,CP-DCM-ACO,100.0,0.016861,0.005592,1.54,0.518
11,16x16,16x16_02448.txt,2,CP-DCM-ACO,100.0,0.26314,0.375971,22.74,32.389
11,16x16,16x16_02449.txt,2,CP-DCM-ACO,100.0,0.035835,0.014919,2.53,1.053
11,16x16,16x16_02451.txt,2,CP-DCM-ACO,100.0,0.021257,0.030677,2.24,3.284
11,16x16,16x16_02452.txt,2,CP-DCM-ACO,100.0,0.148378,0.249848,12.79,21.366
11,16x16,16x16_02454.txt,2,CP-DCM-ACO,100.0,0.040531,0.062297,3.46,5.36
11,16x16,16x16_02456.txt,2,CP-DCM-ACO,100.0,0.047913,0.098404,3.94,7.907
11,16x16,16x16_02467.txt,2,CP-DCM-ACO,100.0,0.03401,0.033768,3.62,3.602
11,16x16,16x16_02468.txt,2,CP-DCM-ACO,100.0,0.052023,0.060487,4.01,4.597
11,16x16,16x16_02471.txt,2,CP-DCM-ACO,100.0,0.062108,0.084202,5.43,7.369
11,16x16,16x16_02475.txt,2,CP-DCM-ACO,100.0,0.054069,0.057326,4.45,4.748
11,16x16,16x16_02477.txt,2,CP-DCM-ACO,100.0,0.031736,0.029379,2.71,2.519
11,16x16,16x16_02478.txt,2,CP-DCM-ACO,100.0,0.033714,0.010788,2.88,0.93
11,16x16,16x16_02483.txt,2,CP-DCM-ACO,100.0,0.163799,0.249062,14.26,21.571
11,16x16,16x16_02491.txt,2,CP-DCM-ACO,100.0,0.039265,0.024197,3.83,2.354
11,16x16,16x16_02507.txt,2,CP-DCM-ACO,100.0,0.049399,0.060139,4.5,5.596
11,16x16,16x16_02522.txt,2,CP-DCM-ACO,100.0,0.67992,0.845708,50.06,62.24
11,16x16,16x16_02525.txt,2,CP-DCM-ACO,98.0,1.722933,3.864859,128.561,288.149
11,16x16,16x16_02526.txt,2,CP-DCM-ACO,100.0,0.397607,0.548763,30.49,41.628
11,16x16,16x16_02534.txt,2,CP-DCM-ACO,100.0,0.027996,0.013475,2.8,1.356
11,16x16,16x16_02536.txt,2,CP-DCM-ACO,100.0,0.034904,0.029639,3.31,2.767
11,16x16,16x16_02544.txt,2,CP-DCM-ACO,100.0,0.055269,0.078963,4.03,5.866
11,16x16,16x16_02558.txt,2,CP-DCM-ACO,100.0,0.107437,0.221961,11.67,24.115
11,16x16,16x16_02561.txt,2,CP-DCM-ACO,100.0,0.050311,0.064546,4.35,5.572
11,16x16,16x16_02563.txt,2,CP-DCM-ACO,100.0,0.118026,0.29707,9.82,25.164
11,16x16,16x16_02567.txt,2,CP-DCM-ACO,100.0,0.040589,0.037005,3.21,2.984
11,16x16,16x16_02570.txt,2,CP-DCM-ACO,100.0,0.075365,0.091589,5.26,6.267
11,16x16,16x16_02571.txt,2,CP-DCM-ACO,100.0,0.088749,0.142481,5.9,9.428
11,16x16,16x16_02572.txt,2,CP-DCM-ACO,100.0,0.108981,0.14387,9.6,12.637
11,16x16,16x16_02590.txt,2,CP-DCM-ACO,100.0,0.06935,0.088569,5.47,6.976
11,16x16,16x16_02602.txt,2,CP-DCM-ACO,100.0,0.13625,0.169304,9.95,12.247
11,16x16,16x16_02623.txt,2,CP-DCM-ACO,100.0,0.383015,0.599532,30.34,47.295
11,16x16,16x16_02669.txt,2,CP-DCM-ACO,100.0,0.120959,0.111749,9.09,8.44
11,16x16,16x16_02686.txt,2,CP-DCM-ACO,100.0,0.166977,0.2175,12.73,16.498
11,16x16,16x16_02733.txt,2,CP-DCM-ACO,100.0,0.121502,0.129929,10.11,10.831
11,16x16,16x16_02747.txt,2,CP-DCM-ACO,100.0,0.17283,0.216847,13.63,16.97
11,16x16,16x16_02755.txt,2,CP-DCM-ACO,100.0,0.854721,1.713047,64.6,129.432
11,16x16,16x16_02756.txt,2,CP-DCM-ACO,100.0,0.57696,1.783324,42.89,133.513
11,16x16,16x16_02778.txt,2,CP-DCM-ACO,100.0,0.028177,0.019433,2.53,1.786
11,16x16,16x16_02779.txt,2,CP-DCM-ACO,100.0,0.013735,0.0072,1.33,0.736
11,16x16,16x16_02851.txt,2,CP-DCM-ACO,100.0,0.882615,1.14801,76.07,98.789
11,16x16,16x16_02862.txt,2,CP-DCM-ACO,100.0,0.0844,0.093662,6.49,7.108
11,16x16,16x16_02875.txt,2,CP-DCM-ACO,100.0,0.162249,0.378777,10.76,25.0
11,16x16,16x16_02904.txt,2,CP-DCM-ACO,100.0,0.356744,1.857855,25.55,133.05
11,16x16,16x16_02910.txt,2,CP-DCM-ACO,100.0,0.088286,0.116999,7.04,9.308
11,16x16,16x16_02924.txt,2,CP-DCM-ACO,100.0,0.038996,0.034648,3.33,2.99
11,16x16,16x16_02933.txt,2,CP-DCM-ACO,100.0,0.023489,0.027191,2.27,2.641
11,16x16,16x16_02935.txt,2,CP-DCM-ACO,100.0,0.023738,0.018304,2.6,2.049
11,16x16,16x16_02940.txt,2,CP-DCM-ACO,100.0,0.057411,0.085943,5.47,8.198
11,16x16,16x16_02943.txt,2,CP-DCM-ACO,100.0,0.028506,0.039058,3.17,4.434
11,16x16,16x16_02964.txt,2,CP-DCM-ACO,100.0,0.044184,0.041209,3.63,3.454
11,16x16,16x16_02971.txt,2,CP-DCM-ACO,100.0,0.106853,0.105122,7.27,7.157
11,16x16,16x16_02973.txt,2,CP-DCM-ACO,100.0,0.29987,0.403014,26.31,35.137
11,16x16,16x16_02978.txt,2,CP-DCM-ACO,100.0,0.045853,0.027159,3.64,2.184
11,16x16,16x16_02985.txt,2,CP-DCM-ACO,100.0,0.371622,0.659787,26.23,46.269
