param_value,puzzle_size,instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
6,25x25,inst25x25_40_10.txt,2,CP-DCM-ACO,100.0,3.054701,2.140455,54.75,38.111
6,25x25,inst25x25_40_30.txt,2,CP-DCM-ACO,100.0,5.428281,3.323112,95.91,58.366
6,25x25,inst25x25_40_50.txt,2,CP-DCM-ACO,100.0,6.761118,4.720474,120.37,83.281
6,25x25,inst25x25_40_57.txt,2,CP-DCM-ACO,100.0,4.272031,2.751943,74.78,47.936
6,25x25,inst25x25_40_62.txt,2,CP-DCM-ACO,100.0,7.691419,5.998266,140.31,108.671
6,25x25,inst25x25_40_79.txt,2,CP-DCM-ACO,100.0,4.974177,3.203407,88.69,56.711
6,25x25,inst25x25_40_80.txt,2,CP-DCM-ACO,100.0,3.094444,1.820056,55.56,32.486
6,25x25,inst25x25_40_89.txt,2,CP-DCM-ACO,100.0,3.93973,2.333032,73.62,43.321
6,25x25,inst25x25_40_9.txt,2,CP-DCM-ACO,100.0,5.117984,3.169566,93.63,57.377
6,25x25,inst25x25_40_99.txt,2,CP-DCM-ACO,100.0,3.891646,3.11232,71.55,56.326
6,25x25,inst25x25_45_1.txt,2,CP-DCM-ACO,99.0,24.586108,25.714516,624.899,648.056
6,25x25,inst25x25_45_11.txt,2,CP-DCM-ACO,100.0,4.167972,3.381919,110.71,88.707
6,25x25,inst25x25_45_14.txt,2,CP-DCM-ACO,100.0,1.522271,1.236473,39.18,31.132
6,25x25,inst25x25_45_15.txt,2,CP-DCM-ACO,100.0,9.201461,9.534493,234.48,238.481
6,25x25,inst25x25_45_16.txt,2,CP-DCM-ACO,100.0,3.517719,2.76145,88.33,68.006
6,25x25,inst25x25_45_17.txt,2,CP-DCM-ACO,100.0,5.109676,3.955036,125.08,95.943
6,25x25,inst25x25_45_18.txt,2,CP-DCM-ACO,100.0,2.688801,2.023953,67.76,50.176
6,25x25,inst25x25_45_19.txt,2,CP-DCM-ACO,100.0,8.205411,5.66347,215.56,147.521
6,25x25,inst25x25_45_2.txt,2,CP-DCM-ACO,100.0,6.375191,4.952401,164.55,126.356
6,25x25,inst25x25_45_21.txt,2,CP-DCM-ACO,100.0,10.521245,10.419609,253.77,248.343
6,25x25,inst25x25_45_23.txt,2,CP-DCM-ACO,100.0,5.596253,5.222538,133.83,124.076
6,25x25,inst25x25_45_24.txt,2,CP-DCM-ACO,100.0,26.628449,23.789074,687.9,608.16
6,25x25,inst25x25_45_26.txt,2,CP-DCM-ACO,100.0,7.535784,6.989691,197,179.827
6,25x25,inst25x25_45_29.txt,2,CP-DCM-ACO,100.0,6.811506,6.210769,169.18,152.159
6,25x25,inst25x25_45_3.txt,2,CP-DCM-ACO,100.0,7.817583,5.946223,183.82,138.744
6,25x25,inst25x25_45_32.txt,2,CP-DCM-ACO,100.0,3.830134,2.972581,91.93,70.346
6,25x25,inst25x25_45_33.txt,2,CP-DCM-ACO,100.0,5.135365,4.789885,131.91,121.385
6,25x25,inst25x25_45_34.txt,2,CP-DCM-ACO,99.0,15.384814,18.568939,401.949,478.354
6,25x25,inst25x25_45_35.txt,2,CP-DCM-ACO,97.0,16.68602,15.905947,447.557,417.151
6,25x25,inst25x25_45_36.txt,2,CP-DCM-ACO,100.0,8.915559,8.338079,222.49,204.741
6,25x25,inst25x25_45_37.txt,2,CP-DCM-ACO,100.0,7.24676,6.153727,181.55,152.471
6,25x25,inst25x25_45_4.txt,2,CP-DCM-ACO,100.0,8.264872,7.464706,220.26,196.537
6,25x25,inst25x25_45_40.txt,2,CP-DCM-ACO,100.0,2.436524,1.858812,60.94,45.901
6,25x25,inst25x25_45_41.txt,2,CP-DCM-ACO,100.0,5.53485,4.67578,139.88,116.8
6,25x25,inst25x25_45_43.txt,2,CP-DCM-ACO,98.0,19.971916,22.30057,525.551,579.084
6,25x25,inst25x25_45_46.txt,2,CP-DCM-ACO,100.0,3.611292,3.02922,89.6,74.064
6,25x25,inst25x25_45_51.txt,2,CP-DCM-ACO,100.0,3.494974,2.627845,92.47,68.286
6,25x25,inst25x25_45_52.txt,2,CP-DCM-ACO,100.0,2.848206,2.140368,69.53,51.942
6,25x25,inst25x25_45_54.txt,2,CP-DCM-ACO,100.0,5.977599,6.645217,145.54,161.973
6,25x25,inst25x25_45_56.txt,2,CP-DCM-ACO,100.0,4.966818,3.606782,123.19,87.385
6,25x25,inst25x25_45_57.txt,2,CP-DCM-ACO,100.0,10.86779,11.772386,258.12,274.645
6,25x25,inst25x25_45_58.txt,2,CP-DCM-ACO,100.0,8.763406,6.96773,215.22,168.082
6,25x25,inst25x25_45_59.txt,2,CP-DCM-ACO,100.0,4.573256,3.353699,108.19,78.676
6,25x25,inst25x25_45_6.txt,2,CP-DCM-ACO,100.0,8.998923,6.551036,224.4,161.378
6,25x25,inst25x25_45_62.txt,2,CP-DCM-ACO,100.0,5.366968,4.716236,141.12,121.922
6,25x25,inst25x25_45_63.txt,2,CP-DCM-ACO,92.0,25.021286,19.759112,604.033,472.017
6,25x25,inst25x25_45_64.txt,2,CP-DCM-ACO,100.0,5.953274,5.087958,129.82,109.717
6,25x25,inst25x25_45_65.txt,2,CP-DCM-ACO,100.0,5.645209,4.226057,121.3,89.42
6,25x25,inst25x25_45_67.txt,2,CP-DCM-ACO,100.0,6.101054,3.920155,136.21,87.049
6,25x25,inst25x25_45_69.txt,2,CP-DCM-ACO,100.0,6.244423,5.903519,154.86,140.778
6,25x25,inst25x25_45_7.txt,2,CP-DCM-ACO,100.0,7.181395,7.043236,154.95,149.584
6,25x25,inst25x25_45_71.txt,2,CP-DCM-ACO,100.0,5.006805,4.229224,106.49,88.916
6,25x25,inst25x25_45_72.txt,2,CP-DCM-ACO,100.0,12.694694,11.360481,299.41,263.618
6,25x25,inst25x25_45_73.txt,2,CP-DCM-ACO,100.0,2.188044,1.380254,53.08,32.894
6,25x25,inst25x25_45_75.txt,2,CP-DCM-ACO,100.0,4.455515,3.452125,90.78,70.707
6,25x25,inst25x25_45_76.txt,2,CP-DCM-ACO,100.0,3.42842,2.403489,73.62,50.594
6,25x25,inst25x25_45_77.txt,2,CP-DCM-ACO,99.0,21.809659,17.810481,460.384,382.988
6,25x25,inst25x25_45_8.txt,2,CP-DCM-ACO,100.0,4.271571,2.945971,91.63,62.469
6,25x25,inst25x25_45_82.txt,2,CP-DCM-ACO,100.0,9.693726,9.36292,227.54,216.157
6,25x25,inst25x25_45_83.txt,2,CP-DCM-ACO,100.0,2.518948,1.748274,59.92,40.334
6,25x25,inst25x25_45_84.txt,2,CP-DCM-ACO,100.0,5.023007,4.852437,125.62,118.615
6,25x25,inst25x25_45_85.txt,2,CP-DCM-ACO,100.0,8.130604,6.530688,206.57,162.281
6,25x25,inst25x25_45_86.txt,2,CP-DCM-ACO,100.0,8.278962,6.192506,196.4,144.478
6,25x25,inst25x25_45_87.txt,2,CP-DCM-ACO,100.0,3.162571,2.342589,79.41,57.809
6,25x25,inst25x25_45_88.txt,2,CP-DCM-ACO,100.0,3.000644,2.622131,79.21,67.749
6,25x25,inst25x25_45_89.txt,2,CP-DCM-ACO,100.0,11.65173,13.216141,283.06,316.566
6,25x25,inst25x25_45_90.txt,2,CP-DCM-ACO,100.0,5.150743,3.763925,123.47,88.606
6,25x25,inst25x25_45_92.txt,2,CP-DCM-ACO,100.0,2.365743,1.776375,55.83,41.461
6,25x25,inst25x25_45_93.txt,2,CP-DCM-ACO,100.0,12.840789,11.985453,291.47,267.222
6,25x25,inst25x25_45_95.txt,2,CP-DCM-ACO,97.0,17.019761,15.410656,421.227,383.255
6,25x25,inst25x25_45_96.txt,2,CP-DCM-ACO,100.0,3.357221,2.388829,80.99,57.153
6,25x25,inst25x25_45_97.txt,2,CP-DCM-ACO,61.0,38.52793,32.025067,1023.082,841.738
6,25x25,inst25x25_45_99.txt,2,CP-DCM-ACO,100.0,4.269136,2.790867,107.15,69.213
6,25x25,inst25x25_50_1.txt,2,CP-DCM-ACO,100.0,0.450353,0.273732,17.22,10.286
6,25x25,inst25x25_50_11.txt,2,CP-DCM-ACO,100.0,0.294883,0.488732,13,21.316
6,25x25,inst25x25_50_14.txt,2,CP-DCM-ACO,100.0,0.621582,0.898597,29.17,41.75
6,25x25,inst25x25_50_16.txt,2,CP-DCM-ACO,100.0,0.286333,0.17569,10.83,6.579
6,25x25,inst25x25_50_17.txt,2,CP-DCM-ACO,100.0,1.291697,2.562812,54.49,106.811
6,25x25,inst25x25_50_18.txt,2,CP-DCM-ACO,89.0,9.592115,20.438365,404.281,848.194
6,25x25,inst25x25_50_21.txt,2,CP-DCM-ACO,100.0,0.217941,0.197825,10.18,9.339
6,25x25,inst25x25_50_26.txt,2,CP-DCM-ACO,100.0,1.315638,1.866055,61.46,84.77
6,25x25,inst25x25_50_29.txt,2,CP-DCM-ACO,100.0,1.189408,1.292886,39.77,42.346
6,25x25,inst25x25_50_34.txt,2,CP-DCM-ACO,100.0,3.775913,4.295271,124.88,138.729
6,25x25,inst25x25_50_44.txt,2,CP-DCM-ACO,100.0,0.28185,0.179413,11.35,7.022
6,25x25,inst25x25_50_50.txt,2,CP-DCM-ACO,100.0,2.661784,3.647757,88.38,119.007
6,25x25,inst25x25_50_51.txt,2,CP-DCM-ACO,99.0,7.772873,11.865283,285.919,430.505
6,25x25,inst25x25_50_57.txt,2,CP-DCM-ACO,100.0,5.404451,9.02679,191.41,316.225
6,25x25,inst25x25_50_64.txt,2,CP-DCM-ACO,100.0,0.457534,1.069521,22.98,52.558
6,25x25,inst25x25_50_69.txt,2,CP-DCM-ACO,100.0,3.24404,4.418719,136.9,183.891
6,25x25,inst25x25_50_71.txt,2,CP-DCM-ACO,100.0,0.729988,0.945297,29.08,36.399
6,25x25,inst25x25_50_80.txt,2,CP-DCM-ACO,100.0,0.41195,0.430396,18.53,19.369
6,25x25,inst25x25_50_82.txt,2,CP-DCM-ACO,100.0,0.869629,0.817562,37.23,34.471
6,25x25,inst25x25_50_83.txt,2,CP-DCM-ACO,100.0,1.048938,1.140626,39.66,42.21
6,25x25,inst25x25_50_86.txt,2,CP-DCM-ACO,100.0,0.88091,0.991561,41.66,47.004
6,25x25,inst25x25_50_9.txt,2,CP-DCM-ACO,100.0,2.654094,5.438452,112.23,224.685
6,25x25,inst25x25_50_91.txt,2,CP-DCM-ACO,100.0,2.654597,8.383052,99.12,309.695
6,25x25,inst25x25_50_92.txt,2,CP-DCM-ACO,100.0,0.158639,0.088926,8.25,4.583
