param_value,puzzle_size,instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
0.7,16x16,16x16_02203.txt,2,CP-DCM-ACO,100.0,0.041966,0.044214,13.1,14.035
0.7,16x16,16x16_02205.txt,2,CP-DCM-ACO,100.0,0.086697,0.12576,24.85,36.337
0.7,16x16,16x16_02211.txt,2,CP-DCM-ACO,100.0,0.023546,0.022194,8.48,8.261
0.7,16x16,16x16_02214.txt,2,CP-DCM-ACO,100.0,0.02854,0.03404,9.98,12.3
0.7,16x16,16x16_02223.txt,2,CP-DCM-ACO,100.0,0.036507,0.045479,10.95,13.998
0.7,16x16,16x16_02228.txt,2,CP-DCM-ACO,100.0,0.172952,0.203338,49.93,58.94
0.7,16x16,16x16_02230.txt,2,CP-DCM-ACO,100.0,0.02998,0.028578,9.17,9.091
0.7,16x16,16x16_02233.txt,2,CP-DCM-ACO,100.0,0.120932,0.196612,36.09,58.902
0.7,16x16,16x16_02234.txt,2,CP-DCM-ACO,100.0,0.079768,0.083407,26.05,27.639
0.7,16x16,16x16_02237.txt,2,CP-DCM-ACO,100.0,0.131793,0.161735,33.89,41.754
0.7,16x16,16x16_02251.txt,2,CP-DCM-ACO,100.0,0.020937,0.014633,6.72,4.95
0.7,16x16,16x16_02256.txt,2,CP-DCM-ACO,100.0,0.155668,0.155325,41.75,41.774
0.7,16x16,16x16_02265.txt,2,CP-DCM-ACO,100.0,0.0132,0.008371,3.56,2.418
0.7,16x16,16x16_02280.txt,2,CP-DCM-ACO,100.0,0.030749,0.032059,8.45,9.058
0.7,16x16,16x16_02281.txt,2,CP-DCM-ACO,100.0,0.023752,0.027111,7.51,8.997
0.7,16x16,16x16_02288.txt,2,CP-DCM-ACO,100.0,0.140798,0.16448,41.96,49.271
0.7,16x16,16x16_02291.txt,2,CP-DCM-ACO,100.0,0.013633,0.010048,3.84,2.999
0.7,16x16,16x16_02292.txt,2,CP-DCM-ACO,100.0,0.051449,0.085179,15.37,25.892
0.7,16x16,16x16_02297.txt,2,CP-DCM-ACO,100.0,0.067013,0.090372,19.68,27.053
0.7,16x16,16x16_02300.txt,2,CP-DCM-ACO,100.0,0.02138,0.041012,7.79,15.643
0.7,16x16,16x16_02314.txt,2,CP-DCM-ACO,100.0,0.071391,0.070827,20.42,20.542
0.7,16x16,16x16_02330.txt,2,CP-DCM-ACO,100.0,0.031023,0.039798,10.27,13.416
0.7,16x16,16x16_02333.txt,2,CP-DCM-ACO,100.0,0.015086,0.010445,3.85,2.816
0.7,16x16,16x16_02338.txt,2,CP-DCM-ACO,100.0,0.03884,0.040608,11.62,12.392
0.7,16x16,16x16_02349.txt,2,CP-DCM-ACO,100.0,0.810184,1.142981,197,278.263
0.7,16x16,16x16_02350.txt,2,CP-DCM-ACO,100.0,0.026525,0.03846,9.42,14.012
0.7,16x16,16x16_02354.txt,2,CP-DCM-ACO,100.0,1.071519,1.371853,294.2,377.568
0.7,16x16,16x16_02355.txt,2,CP-DCM-ACO,100.0,0.024569,0.018531,7.76,6.062
0.7,16x16,16x16_02357.txt,2,CP-DCM-ACO,100.0,0.159466,0.210758,42.33,55.753
0.7,16x16,16x16_02367.txt,2,CP-DCM-ACO,100.0,0.051551,0.09607,14.07,26.448
0.7,16x16,16x16_02370.txt,2,CP-DCM-ACO,100.0,0.011329,0.010315,3.65,3.601
0.7,16x16,16x16_02371.txt,2,CP-DCM-ACO,100.0,0.150522,0.214004,47.88,68.324
0.7,16x16,16x16_02374.txt,2,CP-DCM-ACO,100.0,0.052625,0.057438,14.28,15.767
0.7,16x16,16x16_02379.txt,2,CP-DCM-ACO,100.0,0.132895,0.141427,45.64,49.003
0.7,16x16,16x16_02383.txt,2,CP-DCM-ACO,100.0,0.010432,0.006336,3.44,2.273
0.7,16x16,16x16_02388.txt,2,CP-DCM-ACO,100.0,0.011088,0.010358,3.92,3.951
0.7,16x16,16x16_02390.txt,2,CP-DCM-ACO,100.0,0.504799,1.026172,154.33,315.364
0.7,16x16,16x16_02395.txt,2,CP-DCM-ACO,100.0,0.013515,0.007894,4.01,2.528
0.7,16x16,16x16_02405.txt,2,CP-DCM-ACO,100.0,1.646139,2.203357,431.58,578.37
0.7,16x16,16x16_02407.txt,2,CP-DCM-ACO,100.0,0.019532,0.018773,7.97,8.105
0.7,16x16,16x16_02411.txt,2,CP-DCM-ACO,100.0,0.126232,0.176369,38.47,54.388
0.7,16x16,16x16_02418.txt,2,CP-DCM-ACO,100.0,0.030855,0.044451,9.33,13.791
0.7,16x16,16x16_02435.txt,2,CP-DCM-ACO,100.0,0.06734,0.083967,17.55,22.116
0.7,16x16,16x16_02436.txt,2,CP-DCM-ACO,100.0,0.057559,0.111183,17.92,35.324
0.7,16x16,16x16_02443.txt,2,CP-DCM-ACO,100.0,0.373334,0.547488,110.62,162.692
0.7,16x16,16x16_02446.txt,2,CP-DCM-ACO,100.0,0.007714,0.004008,2.35,1.344
0.7,16x16,16x16_02448.txt,2,CP-DCM-ACO,100.0,0.147808,0.192522,47.07,61.969
0.7,16x16,16x16_02449.txt,2,CP-DCM-ACO,100.0,0.019734,0.016248,4.92,4.156
0.7,16x16,16x16_02451.txt,2,CP-DCM-ACO,100.0,0.014999,0.017636,5.56,6.865
0.7,16x16,16x16_02452.txt,2,CP-DCM-ACO,100.0,0.089667,0.130165,28.49,41.627
0.7,16x16,16x16_02454.txt,2,CP-DCM-ACO,100.0,0.036009,0.054717,11.17,17.309
0.7,16x16,16x16_02456.txt,2,CP-DCM-ACO,100.0,0.020658,0.027244,6.14,8.127
0.7,16x16,16x16_02467.txt,2,CP-DCM-ACO,100.0,0.026901,0.031912,10.39,12.694
0.7,16x16,16x16_02468.txt,2,CP-DCM-ACO,100.0,0.024438,0.028355,6.77,8.015
0.7,16x16,16x16_02471.txt,2,CP-DCM-ACO,100.0,0.038037,0.05349,12.03,17.176
0.7,16x16,16x16_02475.txt,2,CP-DCM-ACO,100.0,0.042153,0.057199,12.64,17.466
0.7,16x16,16x16_02477.txt,2,CP-DCM-ACO,100.0,0.016763,0.019767,5.08,6.256
0.7,16x16,16x16_02478.txt,2,CP-DCM-ACO,100.0,0.026955,0.025872,8.32,8.262
0.7,16x16,16x16_02483.txt,2,CP-DCM-ACO,100.0,0.067782,0.115508,21.7,37.281
