instance,rep,success,time,cycles
inst25x25_40_10.txt,1,1,0.835829,34
inst25x25_40_10.txt,2,1,0.858484,35
inst25x25_40_10.txt,3,1,0.755433,31
inst25x25_40_10.txt,4,1,1.65439,67
inst25x25_40_10.txt,5,1,1.39529,58
inst25x25_40_10.txt,6,1,0.957601,38
inst25x25_40_10.txt,7,1,1.41837,56
inst25x25_40_10.txt,8,1,3.05684,115
inst25x25_40_10.txt,9,1,9.748,383
inst25x25_40_10.txt,10,1,5.24406,219
inst25x25_40_10.txt,11,1,3.04378,123
inst25x25_40_10.txt,12,1,1.00945,42
inst25x25_40_10.txt,13,1,4.14177,170
inst25x25_40_10.txt,14,1,0.422318,17
inst25x25_40_10.txt,15,1,2.16577,90
inst25x25_40_10.txt,16,1,0.508506,21
inst25x25_40_10.txt,17,1,0.869998,34
inst25x25_40_10.txt,18,1,3.80008,153
inst25x25_40_10.txt,19,1,12.1089,490
inst25x25_40_10.txt,20,1,10.2564,419
inst25x25_40_10.txt,21,1,1.02959,43
inst25x25_40_10.txt,22,1,0.155417,6
inst25x25_40_10.txt,23,1,9.78868,400
inst25x25_40_10.txt,24,1,1.98598,81
inst25x25_40_10.txt,25,1,6.86466,278
inst25x25_40_10.txt,26,1,2.65387,106
inst25x25_40_10.txt,27,1,2.08202,85
inst25x25_40_10.txt,28,1,4.57417,188
inst25x25_40_10.txt,29,1,0.493254,20
inst25x25_40_10.txt,30,1,15.4973,640
inst25x25_40_10.txt,31,1,3.01461,123
inst25x25_40_10.txt,32,1,4.84166,201
inst25x25_40_10.txt,33,1,5.78095,232
inst25x25_40_10.txt,34,1,3.34816,135
inst25x25_40_10.txt,35,1,0.94214,38
inst25x25_40_10.txt,36,1,9.5306,389
inst25x25_40_10.txt,37,1,1.915,80
inst25x25_40_10.txt,38,1,1.31266,53
inst25x25_40_10.txt,39,1,6.10543,249
inst25x25_40_10.txt,40,1,0.415989,17
inst25x25_40_10.txt,41,1,6.39995,264
inst25x25_40_10.txt,42,1,0.882665,36
inst25x25_40_10.txt,43,1,0.395601,16
inst25x25_40_10.txt,44,1,5.20299,211
inst25x25_40_10.txt,45,1,2.21312,91
inst25x25_40_10.txt,46,1,1.64286,67
inst25x25_40_10.txt,47,1,2.08466,87
inst25x25_40_10.txt,48,1,1.6665,68
inst25x25_40_10.txt,49,1,2.70191,112
inst25x25_40_10.txt,50,1,0.145553,6
inst25x25_40_10.txt,51,1,0.595751,24
inst25x25_40_10.txt,52,1,1.55523,64
inst25x25_40_10.txt,53,1,2.97623,123
inst25x25_40_10.txt,54,1,5.09827,210
inst25x25_40_10.txt,55,1,3.67354,153
inst25x25_40_10.txt,56,1,1.73883,71
inst25x25_40_10.txt,57,1,0.619489,25
inst25x25_40_10.txt,58,1,2.06091,84
inst25x25_40_10.txt,59,1,1.58756,65
inst25x25_40_10.txt,60,1,9.25294,371
inst25x25_40_10.txt,61,1,3.28368,133
inst25x25_40_10.txt,62,1,2.68896,111
inst25x25_40_10.txt,63,1,0.938924,39
inst25x25_40_10.txt,64,1,0.963729,40
inst25x25_40_10.txt,65,1,0.388743,16
inst25x25_40_10.txt,66,1,0.864549,35
inst25x25_40_10.txt,67,1,1.67264,69
inst25x25_40_10.txt,68,1,3.5108,144
inst25x25_40_10.txt,69,1,1.03809,43
inst25x25_40_10.txt,70,1,1.51704,63
inst25x25_40_10.txt,71,1,2.25903,93
inst25x25_40_10.txt,72,1,1.5749,65
inst25x25_40_10.txt,73,1,1.55471,64
inst25x25_40_10.txt,74,1,21.3934,871
inst25x25_40_10.txt,75,1,8.32635,343
inst25x25_40_10.txt,76,1,3.43908,141
inst25x25_40_10.txt,77,1,3.75316,154
inst25x25_40_10.txt,78,1,1.81975,76
inst25x25_40_10.txt,79,1,0.877517,36
inst25x25_40_10.txt,80,1,8.08054,327
inst25x25_40_10.txt,81,1,16.4564,673
inst25x25_40_10.txt,82,1,1.72053,70
inst25x25_40_10.txt,83,1,2.48982,100
inst25x25_40_10.txt,84,1,7.05043,281
inst25x25_40_10.txt,85,1,5.3629,220
inst25x25_40_10.txt,86,1,3.52096,145
inst25x25_40_10.txt,87,1,1.19902,49
inst25x25_40_10.txt,88,1,1.95783,81
inst25x25_40_10.txt,89,1,3.37209,140
inst25x25_40_10.txt,90,1,2.6051,106
inst25x25_40_10.txt,91,1,1.66099,69
inst25x25_40_10.txt,92,1,0.566215,23
inst25x25_40_10.txt,93,1,2.71313,113
inst25x25_40_10.txt,94,1,2.2581,94
inst25x25_40_10.txt,95,1,1.88914,76
inst25x25_40_10.txt,96,1,1.09269,46
inst25x25_40_10.txt,97,1,2.79005,115
inst25x25_40_10.txt,98,1,1.62071,68
inst25x25_40_10.txt,99,1,2.20865,91
inst25x25_40_10.txt,100,1,3.99485,156
inst25x25_40_50.txt,1,1,2.95805,120
inst25x25_40_50.txt,2,1,64.4555,2613
inst25x25_40_50.txt,3,1,1.13442,44
inst25x25_40_50.txt,4,1,2.70247,109
inst25x25_40_50.txt,5,1,2.04871,84
inst25x25_40_50.txt,6,1,5.40956,214
inst25x25_40_50.txt,7,1,2.40792,98
inst25x25_40_50.txt,8,1,7.46983,307
inst25x25_40_50.txt,9,1,3.13569,129
inst25x25_40_50.txt,10,1,10.4827,424
inst25x25_40_50.txt,11,1,0.367009,15
inst25x25_40_50.txt,12,1,2.25071,92
inst25x25_40_50.txt,13,1,1.57188,64
inst25x25_40_50.txt,14,1,5.08111,208
inst25x25_40_50.txt,15,1,1.74777,72
inst25x25_40_50.txt,16,1,9.26638,377
inst25x25_40_50.txt,17,1,1.91788,79
inst25x25_40_50.txt,18,1,2.18944,90
inst25x25_40_50.txt,19,1,13.1857,533
inst25x25_40_50.txt,20,1,6.27784,258
inst25x25_40_50.txt,21,1,5.46468,218
inst25x25_40_50.txt,22,1,6.66523,273
inst25x25_40_50.txt,23,1,1.29459,54
inst25x25_40_50.txt,24,1,6.35423,262
inst25x25_40_50.txt,25,1,14.5248,585
inst25x25_40_50.txt,26,1,10.4234,428
inst25x25_40_50.txt,27,1,0.692045,27
inst25x25_40_50.txt,28,1,2.53377,103
inst25x25_40_50.txt,29,1,4.63667,192
inst25x25_40_50.txt,30,1,3.82542,157
inst25x25_40_50.txt,31,1,3.41837,140
inst25x25_40_50.txt,32,1,1.05618,42
inst25x25_40_50.txt,33,1,2.0644,82
inst25x25_40_50.txt,34,1,20.2923,814
inst25x25_40_50.txt,35,1,2.49198,102
inst25x25_40_50.txt,36,1,5.45381,223
inst25x25_40_50.txt,37,1,4.42208,178
inst25x25_40_50.txt,38,1,3.16519,129
inst25x25_40_50.txt,39,1,0.169897,7
inst25x25_40_50.txt,40,1,1.96929,80
inst25x25_40_50.txt,41,1,5.13958,211
inst25x25_40_50.txt,42,1,4.67212,188
inst25x25_40_50.txt,43,1,3.32824,135
inst25x25_40_50.txt,44,1,10.1539,415
inst25x25_40_50.txt,45,1,14.4911,578
inst25x25_40_50.txt,46,1,2.79277,108
inst25x25_40_50.txt,47,1,2.20902,91
inst25x25_40_50.txt,48,1,0.811367,34
inst25x25_40_50.txt,49,1,2.72711,112
inst25x25_40_50.txt,50,1,6.2531,256
inst25x25_40_50.txt,51,1,3.4849,143
inst25x25_40_50.txt,52,1,15.1213,615
inst25x25_40_50.txt,53,1,6.13205,247
inst25x25_40_50.txt,54,1,33.0367,1334
inst25x25_40_50.txt,55,1,5.79743,238
inst25x25_40_50.txt,56,1,0.596334,24
inst25x25_40_50.txt,57,1,3.8023,155
inst25x25_40_50.txt,58,1,3.3048,135
inst25x25_40_50.txt,59,1,7.79236,317
inst25x25_40_50.txt,60,1,4.71981,188
inst25x25_40_50.txt,61,1,3.77675,155
inst25x25_40_50.txt,62,1,8.16834,327
inst25x25_40_50.txt,63,1,1.61285,65
inst25x25_40_50.txt,64,1,4.35903,174
inst25x25_40_50.txt,65,1,5.59519,224
inst25x25_40_50.txt,66,1,1.21866,50
inst25x25_40_50.txt,67,1,3.85154,156
inst25x25_40_50.txt,68,1,6.88775,273
inst25x25_40_50.txt,69,1,8.66556,349
inst25x25_40_50.txt,70,1,1.02093,41
inst25x25_40_50.txt,71,1,5.84906,235
inst25x25_40_50.txt,72,1,4.71196,190
inst25x25_40_50.txt,73,1,1.42422,58
inst25x25_40_50.txt,74,1,1.32267,54
inst25x25_40_50.txt,75,1,0.778184,32
inst25x25_40_50.txt,76,1,3.55969,145
inst25x25_40_50.txt,77,1,3.32576,135
inst25x25_40_50.txt,78,1,2.56692,105
inst25x25_40_50.txt,79,1,4.78496,193
inst25x25_40_50.txt,80,1,2.01708,83
inst25x25_40_50.txt,81,1,30.2536,1225
inst25x25_40_50.txt,82,1,15.0114,606
inst25x25_40_50.txt,83,1,26.5363,1081
inst25x25_40_50.txt,84,1,4.00776,164
inst25x25_40_50.txt,85,1,3.15927,129
inst25x25_40_50.txt,86,1,2.74638,112
inst25x25_40_50.txt,87,1,5.75565,238
inst25x25_40_50.txt,88,1,7.00926,287
inst25x25_40_50.txt,89,1,6.05461,242
inst25x25_40_50.txt,90,1,7.71455,313
inst25x25_40_50.txt,91,1,4.40196,181
inst25x25_40_50.txt,92,1,1.5714,64
inst25x25_40_50.txt,93,1,3.22603,130
inst25x25_40_50.txt,94,1,13.2592,540
inst25x25_40_50.txt,95,1,8.22291,335
inst25x25_40_50.txt,96,1,2.90694,118
inst25x25_40_50.txt,97,1,14.0576,576
inst25x25_40_50.txt,98,1,1.02498,42
inst25x25_40_50.txt,99,1,1.92122,78
inst25x25_40_50.txt,100,1,1.49794,62
inst25x25_40_62.txt,1,1,3.66389,155
inst25x25_40_62.txt,2,1,3.78928,159
inst25x25_40_62.txt,3,1,9.40658,388
inst25x25_40_62.txt,4,1,16.9906,721
inst25x25_40_62.txt,5,1,4.54897,191
inst25x25_40_62.txt,6,1,1.90199,78
inst25x25_40_62.txt,7,1,1.19706,49
inst25x25_40_62.txt,8,1,0.466363,19
inst25x25_40_62.txt,9,1,2.5666,108
inst25x25_40_62.txt,10,1,2.9017,124
inst25x25_40_62.txt,11,1,1.19202,50
inst25x25_40_62.txt,12,1,6.49918,270
inst25x25_40_62.txt,13,1,6.77516,285
inst25x25_40_62.txt,14,1,1.70597,73
inst25x25_40_62.txt,15,1,9.04891,375
inst25x25_40_62.txt,16,1,20.7675,847
inst25x25_40_62.txt,17,1,4.69093,198
inst25x25_40_62.txt,18,1,5.09575,215
inst25x25_40_62.txt,19,1,3.8187,162
inst25x25_40_62.txt,20,1,3.97635,159
inst25x25_40_62.txt,21,1,1.65848,71
inst25x25_40_62.txt,22,1,3.84574,163
inst25x25_40_62.txt,23,1,12.5293,534
inst25x25_40_62.txt,24,1,3.87944,164
inst25x25_40_62.txt,25,1,7.64963,320
inst25x25_40_62.txt,26,1,3.76249,159
inst25x25_40_62.txt,27,1,4.98906,207
inst25x25_40_62.txt,28,1,5.31342,223
inst25x25_40_62.txt,29,1,12.4898,520
inst25x25_40_62.txt,30,1,2.24975,95
inst25x25_40_62.txt,31,1,8.77025,366
inst25x25_40_62.txt,32,1,4.70717,196
inst25x25_40_62.txt,33,1,9.67219,411
inst25x25_40_62.txt,34,1,21.2938,883
inst25x25_40_62.txt,35,1,10.0118,415
inst25x25_40_62.txt,36,1,13.5388,563
inst25x25_40_62.txt,37,1,2.49003,105
inst25x25_40_62.txt,38,1,8.2164,336
inst25x25_40_62.txt,39,1,4.795,196
inst25x25_40_62.txt,40,1,3.04258,127
inst25x25_40_62.txt,41,1,3.44477,146
inst25x25_40_62.txt,42,1,3.47653,149
inst25x25_40_62.txt,43,1,9.23814,388
inst25x25_40_62.txt,44,1,3.7805,158
inst25x25_40_62.txt,45,1,4.42485,183
inst25x25_40_62.txt,46,1,5.69032,239
inst25x25_40_62.txt,47,1,4.65844,182
inst25x25_40_62.txt,48,1,4.61506,196
inst25x25_40_62.txt,49,1,1.2845,51
inst25x25_40_62.txt,50,1,4.19842,176
inst25x25_40_62.txt,51,1,4.50417,189
inst25x25_40_62.txt,52,1,2.07433,87
inst25x25_40_62.txt,53,1,5.01105,214
inst25x25_40_62.txt,54,1,7.07208,292
inst25x25_40_62.txt,55,1,31.8764,1325
inst25x25_40_62.txt,56,1,7.79284,321
inst25x25_40_62.txt,57,1,10.068,421
inst25x25_40_62.txt,58,1,8.11786,335
inst25x25_40_62.txt,59,1,10.8771,460
inst25x25_40_62.txt,60,1,6.69705,275
inst25x25_40_62.txt,61,1,0.906676,38
inst25x25_40_62.txt,62,1,1.71993,73
inst25x25_40_62.txt,63,1,7.21777,303
inst25x25_40_62.txt,64,1,2.50409,107
inst25x25_40_62.txt,65,1,4.62912,193
inst25x25_40_62.txt,66,1,16.8092,698
inst25x25_40_62.txt,67,1,3.75897,157
inst25x25_40_62.txt,68,1,3.06758,128
