instance,rep,success,time,cycles
inst25x25_40_89.txt,1,1,2.95258,47
inst25x25_40_57.txt,1,1,3.34254,47
inst25x25_40_89.txt,2,1,1.81072,26
inst25x25_40_30.txt,1,1,5.51372,78
inst25x25_40_79.txt,1,1,10.0039,143
inst25x25_40_89.txt,3,1,6.02038,92
inst25x25_40_57.txt,2,1,9.22466,133
inst25x25_40_89.txt,4,1,4.46451,70
inst25x25_40_79.txt,2,1,6.31204,95
inst25x25_40_79.txt,3,1,0.43169,7
inst25x25_40_89.txt,5,1,1.92466,32
inst25x25_40_57.txt,3,1,3.8261,58
inst25x25_40_30.txt,2,1,12.7905,185
inst25x25_40_89.txt,6,1,3.1491,52
inst25x25_40_30.txt,3,1,1.37778,22
inst25x25_40_57.txt,4,1,5.62306,83
inst25x25_40_89.txt,7,1,3.61076,58
inst25x25_40_57.txt,5,1,1.79554,27
inst25x25_40_30.txt,4,1,3.88234,59
inst25x25_40_79.txt,4,1,12.1268,177
inst25x25_40_57.txt,6,1,4.45988,66
inst25x25_40_30.txt,5,1,4.19055,62
inst25x25_40_57.txt,7,1,1.04405,16
inst25x25_40_79.txt,5,1,1.98015,32
inst25x25_40_89.txt,8,1,8.14252,123
inst25x25_40_89.txt,9,1,0.681867,11
inst25x25_40_57.txt,8,1,3.22139,50
inst25x25_40_89.txt,10,1,1.67842,27
inst25x25_40_79.txt,6,1,3.83109,59
inst25x25_40_89.txt,11,1,3.82407,59
inst25x25_40_89.txt,12,1,3.24932,53
inst25x25_40_57.txt,9,1,8.87631,126
inst25x25_40_57.txt,10,1,0.850135,13
inst25x25_40_79.txt,7,1,9.16781,134
inst25x25_40_57.txt,11,1,1.33869,20
inst25x25_40_79.txt,8,1,2.06022,31
inst25x25_40_89.txt,13,1,4.46865,71
inst25x25_40_57.txt,12,1,2.43608,36
inst25x25_40_89.txt,14,1,1.92327,29
inst25x25_40_57.txt,13,1,4.08669,59
inst25x25_40_79.txt,9,1,5.76146,82
inst25x25_40_57.txt,14,1,2.3574,38
inst25x25_40_57.txt,15,1,1.51485,24
inst25x25_40_89.txt,15,1,9.64742,145
inst25x25_40_30.txt,6,1,28.5359,405
inst25x25_40_89.txt,16,1,2.97064,49
inst25x25_40_79.txt,10,1,9.01302,134
inst25x25_40_89.txt,17,1,0.664788,11
inst25x25_40_57.txt,16,1,8.77963,127
inst25x25_40_30.txt,7,1,8.03346,117
inst25x25_40_57.txt,17,1,5.03649,70
inst25x25_40_89.txt,18,1,7.71026,114
inst25x25_40_57.txt,18,1,1.52445,23
inst25x25_40_79.txt,11,1,10.1329,145
inst25x25_40_89.txt,19,1,4.06858,64
inst25x25_40_79.txt,12,1,4.46357,66
inst25x25_40_30.txt,8,1,9.0552,130
inst25x25_40_57.txt,19,1,5.12912,73
inst25x25_40_79.txt,13,1,2.18105,34
inst25x25_40_57.txt,20,1,3.26338,49
inst25x25_40_89.txt,20,1,7.47784,114
inst25x25_40_79.txt,14,1,3.44835,51
inst25x25_40_89.txt,21,1,2.28277,34
inst25x25_40_57.txt,21,1,5.9045,80
inst25x25_40_89.txt,22,1,3.63628,56
inst25x25_40_89.txt,23,1,0.440357,7
inst25x25_40_30.txt,9,1,12.2418,173
inst25x25_40_89.txt,24,1,2.39111,39
inst25x25_40_30.txt,10,1,7.74418,111
inst25x25_40_57.txt,22,1,11.4753,160
inst25x25_40_79.txt,15,1,16.0668,229
inst25x25_40_89.txt,25,1,9.27148,139
inst25x25_40_79.txt,16,1,2.30842,35
inst25x25_40_30.txt,11,1,7.65739,109
inst25x25_40_89.txt,26,1,5.47425,85
inst25x25_40_79.txt,17,1,5.17844,78
inst25x25_40_79.txt,18,1,0.976457,15
inst25x25_40_89.txt,27,1,2.11303,34
inst25x25_40_89.txt,28,1,1.31789,22
inst25x25_40_79.txt,19,1,2.01251,32
inst25x25_40_30.txt,12,1,12.0115,175
inst25x25_40_57.txt,23,1,19.2421,269
inst25x25_40_89.txt,29,1,8.52258,132
inst25x25_40_57.txt,24,1,3.07276,48
inst25x25_40_57.txt,25,1,1.61906,26
inst25x25_40_30.txt,13,1,5.1832,78
inst25x25_40_79.txt,20,1,12.7221,186
inst25x25_40_89.txt,30,1,5.27455,85
inst25x25_40_30.txt,14,1,1.89979,29
inst25x25_40_89.txt,31,1,2.14988,34
inst25x25_40_30.txt,15,1,1.99254,31
inst25x25_40_79.txt,21,1,4.92909,73
inst25x25_40_57.txt,26,1,5.20113,75
inst25x25_40_30.txt,16,1,4.93845,69
inst25x25_40_89.txt,32,1,5.5887,84
inst25x25_40_89.txt,33,1,1.87382,31
inst25x25_40_30.txt,17,1,6.3425,90
inst25x25_40_89.txt,34,1,5.04074,76
inst25x25_40_79.txt,22,1,13.2504,183
inst25x25_40_30.txt,18,1,3.03312,46
inst25x25_40_89.txt,35,1,4.21214,66
inst25x25_40_57.txt,27,1,14.8636,205
inst25x25_40_79.txt,23,1,2.58224,41
inst25x25_40_30.txt,19,1,4.10666,61
inst25x25_40_89.txt,36,1,3.59574,56
inst25x25_40_57.txt,28,1,6.3163,89
inst25x25_40_79.txt,24,1,7.83298,112
inst25x25_40_57.txt,29,1,7.53703,112
inst25x25_40_89.txt,37,1,13.9084,207
inst25x25_40_57.txt,30,1,4.67806,69
inst25x25_40_79.txt,25,1,10.1969,152
inst25x25_40_79.txt,26,1,1.15227,18
inst25x25_40_79.txt,27,1,0.981788,16
inst25x25_40_89.txt,38,1,3.47999,56
inst25x25_40_79.txt,28,1,3.36982,52
inst25x25_40_57.txt,31,1,8.72945,127
inst25x25_40_89.txt,39,1,9.14244,138
inst25x25_40_30.txt,20,1,29.1532,409
inst25x25_40_79.txt,29,1,7.76832,115
inst25x25_40_79.txt,30,1,3.00848,47
inst25x25_40_57.txt,32,1,8.64495,125
inst25x25_40_89.txt,40,1,7.32653,112
inst25x25_40_30.txt,21,1,7.37058,107
inst25x25_40_89.txt,41,1,4.16018,67
inst25x25_40_79.txt,31,1,7.65972,114
inst25x25_40_89.txt,42,1,2.63423,43
inst25x25_40_89.txt,43,1,0.736187,12
inst25x25_40_79.txt,32,1,3.06654,47
inst25x25_40_89.txt,44,1,4.74038,70
inst25x25_40_79.txt,33,1,4.13491,59
inst25x25_40_89.txt,45,1,0.935717,15
inst25x25_40_57.txt,33,1,15.0238,212
inst25x25_40_30.txt,22,1,13.2692,188
inst25x25_40_89.txt,46,1,2.90004,45
inst25x25_40_30.txt,23,1,3.49538,51
inst25x25_40_89.txt,47,1,3.91066,63
inst25x25_40_57.txt,34,1,7.57646,107
inst25x25_40_89.txt,48,1,1.76481,29
inst25x25_40_30.txt,24,1,3.74664,57
inst25x25_40_79.txt,34,1,12.1907,173
inst25x25_40_89.txt,49,1,3.1747,52
inst25x25_40_89.txt,50,1,2.86164,46
inst25x25_40_57.txt,35,1,7.51649,108
inst25x25_40_89.txt,51,1,2.08691,33
inst25x25_40_89.txt,52,1,1.88627,31
inst25x25_40_30.txt,25,1,10.348,148
inst25x25_40_79.txt,35,1,8.34179,123
inst25x25_40_57.txt,36,1,5.72699,83
inst25x25_40_89.txt,53,1,3.25631,53
inst25x25_40_30.txt,26,1,4.42707,67
inst25x25_40_57.txt,37,1,2.81854,43
inst25x25_40_89.txt,54,1,2.7779,45
inst25x25_40_79.txt,36,1,5.35874,80
inst25x25_40_89.txt,55,1,1.37546,21
inst25x25_40_89.txt,56,1,2.27832,37
inst25x25_40_89.txt,57,1,1.92726,33
inst25x25_40_79.txt,37,1,6.62041,96
inst25x25_40_30.txt,27,1,10.1148,143
inst25x25_40_89.txt,58,1,3.74019,60
inst25x25_40_89.txt,59,1,2.09435,34
inst25x25_40_30.txt,28,1,4.61984,69
inst25x25_40_89.txt,60,1,2.68519,43
inst25x25_40_30.txt,29,1,4.02562,60
inst25x25_40_79.txt,38,1,11.9336,173
inst25x25_40_89.txt,61,1,6.7875,103
inst25x25_40_79.txt,39,1,3.28855,49
inst25x25_40_89.txt,62,1,2.5197,39
inst25x25_40_57.txt,38,1,25.0829,351
inst25x25_40_89.txt,63,1,0.852729,13
inst25x25_40_30.txt,30,1,8.93559,129
inst25x25_40_89.txt,64,1,2.26814,37
inst25x25_40_89.txt,65,1,2.33291,38
inst25x25_40_57.txt,39,1,6.61917,98
inst25x25_40_57.txt,40,1,0.695798,11
inst25x25_40_79.txt,40,1,10.2525,148
inst25x25_40_57.txt,41,1,1.42293,22
inst25x25_40_89.txt,66,1,4.60174,74
inst25x25_40_79.txt,41,1,2.30294,35
inst25x25_40_57.txt,42,1,3.56387,52
inst25x25_40_89.txt,67,1,4.38245,67
inst25x25_40_89.txt,68,1,1.03025,17
inst25x25_40_89.txt,69,1,0.899513,15
inst25x25_40_57.txt,43,1,3.91881,59
inst25x25_40_89.txt,70,1,2.37107,37
inst25x25_40_57.txt,44,1,3.00867,46
inst25x25_40_79.txt,42,1,8.66887,125
inst25x25_40_57.txt,45,1,1.70292,27
inst25x25_40_79.txt,43,1,2.29844,37
inst25x25_40_57.txt,46,1,2.98096,47
inst25x25_40_79.txt,44,1,5.29973,80
inst25x25_40_89.txt,71,1,10.2598,155
inst25x25_40_30.txt,31,1,26.2414,374
inst25x25_40_57.txt,47,1,4.87854,72
inst25x25_40_57.txt,48,1,1.36631,21
inst25x25_40_79.txt,45,1,5.63191,86
inst25x25_40_57.txt,49,1,2.4223,37
inst25x25_40_89.txt,72,1,4.43324,69
inst25x25_40_89.txt,73,1,2.54853,41
inst25x25_40_57.txt,50,1,2.65151,41
inst25x25_40_30.txt,32,1,6.95489,103
inst25x25_40_30.txt,33,1,1.83624,28
inst25x25_40_79.txt,46,1,5.22894,78
inst25x25_40_30.txt,34,1,2.05703,31
inst25x25_40_57.txt,51,1,4.26806,62
inst25x25_40_89.txt,74,1,4.44046,68
inst25x25_40_30.txt,35,1,0.940768,15
inst25x25_40_57.txt,52,1,1.9382,29
inst25x25_40_89.txt,75,1,5.32223,82
inst25x25_40_79.txt,47,1,7.59531,111
inst25x25_40_89.txt,76,1,0.794165,13
inst25x25_40_89.txt,77,1,2.64786,40
inst25x25_40_30.txt,36,1,9.88515,141
