param_value,puzzle_size,instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
90,25x25,inst25x25_40_10.txt,2,CP-DCM-ACO,100.0,3.106392,1.989441,51.06,30.393
90,25x25,inst25x25_40_30.txt,2,CP-DCM-ACO,100.0,7.451998,5.83405,107.17,81.509
90,25x25,inst25x25_40_50.txt,2,CP-DCM-ACO,100.0,8.872616,7.583092,139.22,114.497
90,25x25,inst25x25_40_57.txt,2,CP-DCM-ACO,100.0,5.788509,5.167614,83.17,71.854
90,25x25,inst25x25_40_62.txt,2,CP-DCM-ACO,100.0,10.496272,7.984366,169.13,122.778
90,25x25,inst25x25_40_79.txt,2,CP-DCM-ACO,100.0,6.744426,4.41844,98.48,62.241
90,25x25,inst25x25_40_80.txt,2,CP-DCM-ACO,100.0,3.69675,2.946072,61.36,45.37
90,25x25,inst25x25_40_89.txt,2,CP-DCM-ACO,100.0,3.875071,2.5432,59.92,37.749
90,25x25,inst25x25_40_9.txt,2,CP-DCM-ACO,100.0,5.621301,4.286493,93.27,66.11
90,25x25,inst25x25_40_99.txt,2,CP-DCM-ACO,100.0,4.694098,3.729132,67.27,45.944
90,25x25,inst25x25_45_1.txt,2,CP-DCM-ACO,97.0,17.929765,14.536864,397.371,311.38
90,25x25,inst25x25_45_11.txt,2,CP-DCM-ACO,100.0,4.843742,3.760216,98.88,74.266
90,25x25,inst25x25_45_14.txt,2,CP-DCM-ACO,100.0,1.618945,1.221299,40.17,28.679
90,25x25,inst25x25_45_15.txt,2,CP-DCM-ACO,100.0,10.593611,10.439602,212.12,171.954
90,25x25,inst25x25_45_16.txt,2,CP-DCM-ACO,100.0,3.946104,3.347974,91.05,71.754
90,25x25,inst25x25_45_17.txt,2,CP-DCM-ACO,100.0,7.271877,5.668746,138.6,103.234
90,25x25,inst25x25_45_18.txt,2,CP-DCM-ACO,100.0,2.466305,2.00623,59.02,44.705
90,25x25,inst25x25_45_19.txt,2,CP-DCM-ACO,100.0,11.29137,8.243872,232.3,166.503
90,25x25,inst25x25_45_2.txt,2,CP-DCM-ACO,100.0,6.889598,6.755078,159.21,145.403
90,25x25,inst25x25_45_21.txt,2,CP-DCM-ACO,100.0,11.490827,10.456909,219.61,193.363
90,25x25,inst25x25_45_23.txt,2,CP-DCM-ACO,100.0,5.644496,4.165089,122.69,84.419
90,25x25,inst25x25_45_24.txt,2,CP-DCM-ACO,89.0,31.108813,22.654511,635.82,453.138
90,25x25,inst25x25_45_26.txt,2,CP-DCM-ACO,100.0,7.059181,5.445283,165.66,120.36
90,25x25,inst25x25_45_29.txt,2,CP-DCM-ACO,100.0,7.570705,6.818946,152.8,132.155
90,25x25,inst25x25_45_3.txt,2,CP-DCM-ACO,100.0,9.888021,9.158381,205.19,181.298
90,25x25,inst25x25_45_32.txt,2,CP-DCM-ACO,100.0,3.928259,2.799687,76.85,52.311
90,25x25,inst25x25_45_33.txt,2,CP-DCM-ACO,100.0,6.447356,4.989839,149.82,108.752
90,25x25,inst25x25_45_34.txt,2,CP-DCM-ACO,99.0,14.988214,13.250878,309.333,263.351
90,25x25,inst25x25_45_35.txt,2,CP-DCM-ACO,98.0,17.72044,12.857997,412.806,288.369
90,25x25,inst25x25_45_36.txt,2,CP-DCM-ACO,100.0,10.536714,8.269646,218.89,165.304
90,25x25,inst25x25_45_37.txt,2,CP-DCM-ACO,100.0,8.857887,11.787889,191.03,237.874
90,25x25,inst25x25_45_4.txt,2,CP-DCM-ACO,100.0,11.084015,9.37794,228.14,187.718
90,25x25,inst25x25_45_40.txt,2,CP-DCM-ACO,100.0,2.827416,2.090457,66.19,45.344
90,25x25,inst25x25_45_41.txt,2,CP-DCM-ACO,100.0,5.749678,4.831692,117.77,93.826
90,25x25,inst25x25_45_43.txt,2,CP-DCM-ACO,96.0,26.617092,21.29833,610.292,474.414
90,25x25,inst25x25_45_46.txt,2,CP-DCM-ACO,100.0,3.785665,4.613608,76.91,88.328
90,25x25,inst25x25_45_51.txt,2,CP-DCM-ACO,100.0,4.05103,3.021183,96.68,66.659
90,25x25,inst25x25_45_52.txt,2,CP-DCM-ACO,100.0,3.045408,2.27638,66.1,46.187
90,25x25,inst25x25_45_54.txt,2,CP-DCM-ACO,100.0,6.339799,4.498772,142.5,96.283
90,25x25,inst25x25_45_56.txt,2,CP-DCM-ACO,100.0,5.285629,4.45657,111.2,88.058
90,25x25,inst25x25_45_57.txt,2,CP-DCM-ACO,100.0,9.326835,7.753388,207.35,164.737
90,25x25,inst25x25_45_58.txt,2,CP-DCM-ACO,100.0,9.395344,8.309155,201.97,171.902
90,25x25,inst25x25_45_59.txt,2,CP-DCM-ACO,100.0,4.94111,4.24305,110.46,87.488
90,25x25,inst25x25_45_6.txt,2,CP-DCM-ACO,100.0,10.215783,9.66757,213.04,195.296
90,25x25,inst25x25_45_62.txt,2,CP-DCM-ACO,100.0,5.037249,3.985659,125.2,91.304
