param_value,puzzle_size,instance,alg,alg_name,success_%,time_mean,time_std,cycles_mean,cycles_std
0.01,16x16,16x16_02203.txt,2,CP-DCM-ACO,100.0,0.034858,0.030656,10.73,9.576
0.01,16x16,16x16_02205.txt,2,CP-DCM-ACO,100.0,0.065023,0.106802,18.42,30.346
0.01,16x16,16x16_02211.txt,2,CP-DCM-ACO,100.0,0.030867,0.043945,11.24,16.548
0.01,16x16,16x16_02214.txt,2,CP-DCM-ACO,100.0,0.041531,0.064692,14.67,23.459
0.01,16x16,16x16_02223.txt,2,CP-DCM-ACO,100.0,0.03289,0.046929,9.85,14.252
0.01,16x16,16x16_02228.txt,2,CP-DCM-ACO,100.0,0.2003,0.225057,57.56,65.019
0.01,16x16,16x16_02230.txt,2,CP-DCM-ACO,100.0,0.040362,0.06146,12.43,19.504
0.01,16x16,16x16_02233.txt,2,CP-DCM-ACO,100.0,0.147436,0.313534,43.58,93.061
0.01,16x16,16x16_02234.txt,2,CP-DCM-ACO,100.0,0.079243,0.112779,25.67,36.91
0.01,16x16,16x16_02237.txt,2,CP-DCM-ACO,100.0,0.136369,0.184102,34.83,47.129
0.01,16x16,16x16_02251.txt,2,CP-DCM-ACO,100.0,0.026363,0.031423,8.49,10.735
0.01,16x16,16x16_02256.txt,2,CP-DCM-ACO,100.0,0.270101,0.400137,72.19,107.011
0.01,16x16,16x16_02265.txt,2,CP-DCM-ACO,100.0,0.01266,0.010582,3.4,3.066
0.01,16x16,16x16_02280.txt,2,CP-DCM-ACO,100.0,0.0548,0.084521,15.05,23.287
0.01,16x16,16x16_02281.txt,2,CP-DCM-ACO,100.0,0.026297,0.02592,8.37,8.601
0.01,16x16,16x16_02288.txt,2,CP-DCM-ACO,100.0,0.123292,0.154499,36.39,45.617
0.01,16x16,16x16_02291.txt,2,CP-DCM-ACO,100.0,0.013452,0.008991,3.75,2.632
0.01,16x16,16x16_02292.txt,2,CP-DCM-ACO,100.0,0.068155,0.141604,20.38,42.752
0.01,16x16,16x16_02297.txt,2,CP-DCM-ACO,100.0,0.085709,0.120759,25.12,35.843
0.01,16x16,16x16_02300.txt,2,CP-DCM-ACO,100.0,0.014948,0.017168,5.33,6.493
0.01,16x16,16x16_02314.txt,2,CP-DCM-ACO,100.0,0.063424,0.096593,17.95,27.738
0.01,16x16,16x16_02330.txt,2,CP-DCM-ACO,100.0,0.027129,0.036562,8.89,12.229
0.01,16x16,16x16_02333.txt,2,CP-DCM-ACO,100.0,0.017315,0.020936,4.44,5.666
0.01,16x16,16x16_02338.txt,2,CP-DCM-ACO,100.0,0.040054,0.038266,11.89,11.536
0.01,16x16,16x16_02349.txt,2,CP-DCM-ACO,100.0,0.951125,1.635287,229.15,394.763
0.01,16x16,16x16_02350.txt,2,CP-DCM-ACO,100.0,0.028176,0.048227,10.02,17.818
0.01,16x16,16x16_02354.txt,2,CP-DCM-ACO,100.0,1.352274,2.015799,365.6,545.481
0.01,16x16,16x16_02355.txt,2,CP-DCM-ACO,100.0,0.024575,0.020889,7.69,6.761
0.01,16x16,16x16_02357.txt,2,CP-DCM-ACO,100.0,0.289588,0.429074,75.6,111.729
0.01,16x16,16x16_02367.txt,2,CP-DCM-ACO,100.0,0.033455,0.030304,9.1,8.35
0.01,16x16,16x16_02370.txt,2,CP-DCM-ACO,100.0,0.010877,0.008546,3.51,2.968
