instance,rep,success,time,cycles
inst25x25_40_30.txt,1,1,7.72696,288
inst25x25_40_30.txt,2,1,4.15823,163
inst25x25_40_30.txt,3,1,5.01307,193
inst25x25_40_30.txt,4,1,0.293204,12
inst25x25_40_10.txt,1,1,23.0181,820
inst25x25_40_30.txt,5,1,5.07179,193
inst25x25_40_10.txt,2,1,6.74973,250
inst25x25_40_30.txt,6,1,7.75022,288
inst25x25_40_10.txt,3,1,1.88863,80
inst25x25_40_10.txt,4,1,2.34848,100
inst25x25_40_30.txt,7,1,3.84035,153
inst25x25_40_10.txt,5,1,4.35613,174
inst25x25_40_10.txt,6,1,2.23152,93
inst25x25_40_30.txt,8,1,6.66746,254
inst25x25_40_10.txt,7,1,1.24238,53
inst25x25_40_10.txt,8,1,1.37853,58
inst25x25_40_10.txt,9,1,4.02646,146
inst25x25_40_30.txt,9,1,8.19257,282
inst25x25_40_30.txt,10,1,1.00513,35
inst25x25_40_30.txt,11,1,2.36154,94
inst25x25_40_10.txt,10,1,7.87595,263
inst25x25_40_30.txt,12,1,2.65975,107
inst25x25_40_10.txt,11,1,2.93132,120
inst25x25_40_10.txt,12,1,0.846219,36
inst25x25_40_10.txt,13,1,1.09877,44
inst25x25_40_30.txt,13,1,4.68249,176
inst25x25_40_10.txt,14,1,3.14906,129
inst25x25_40_30.txt,14,1,2.72461,111
inst25x25_40_30.txt,15,1,1.81572,71
inst25x25_40_30.txt,16,1,2.84604,111
inst25x25_40_10.txt,15,1,5.64656,207
inst25x25_40_10.txt,16,1,1.0287,42
inst25x25_40_10.txt,17,1,2.34839,92
inst25x25_40_30.txt,17,1,11.6042,360
inst25x25_40_10.txt,18,1,11.5542,280
inst25x25_40_10.txt,19,1,0.830838,32
inst25x25_40_10.txt,20,1,3.69543,136
inst25x25_40_30.txt,18,1,10.0443,259
inst25x25_40_30.txt,19,1,6.38933,162
inst25x25_40_10.txt,21,1,7.93898,215
inst25x25_40_10.txt,22,1,2.16343,74
inst25x25_40_10.txt,23,1,8.56084,303
inst25x25_40_10.txt,24,1,0.769181,31
inst25x25_40_10.txt,25,1,3.65357,140
inst25x25_40_30.txt,20,1,17.4915,557
inst25x25_40_10.txt,26,1,2.501,97
inst25x25_40_30.txt,21,1,1.4221,54
inst25x25_40_10.txt,27,1,2.218,85
inst25x25_40_10.txt,28,1,1.69069,65
inst25x25_40_30.txt,22,1,5.24084,188
inst25x25_40_10.txt,29,1,2.02688,77
inst25x25_40_30.txt,23,1,3.46207,128
inst25x25_40_10.txt,30,1,4.24134,153
inst25x25_40_30.txt,24,1,4.52359,168
inst25x25_40_10.txt,31,1,4.23008,164
inst25x25_40_10.txt,32,1,0.321213,13
inst25x25_40_10.txt,33,1,1.61773,66
inst25x25_40_10.txt,34,1,2.04688,82
inst25x25_40_10.txt,35,1,2.218,91
inst25x25_40_10.txt,36,1,1.2754,51
inst25x25_40_30.txt,25,1,9.41305,336
inst25x25_40_10.txt,37,1,3.86975,151
inst25x25_40_30.txt,26,1,3.52666,134
inst25x25_40_10.txt,38,1,3.36195,134
inst25x25_40_10.txt,39,1,0.364187,15
inst25x25_40_10.txt,40,1,2.27287,93
inst25x25_40_10.txt,41,1,2.52885,103
inst25x25_40_10.txt,42,1,1.66362,68
inst25x25_40_10.txt,43,1,1.12575,46
inst25x25_40_30.txt,27,1,11.8039,421
inst25x25_40_10.txt,44,1,1.91094,78
inst25x25_40_30.txt,28,1,1.32898,53
inst25x25_40_30.txt,29,1,0.768087,30
inst25x25_40_10.txt,45,1,2.26096,91
