[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
0,12x12easy.txt,100.0,7.8e-05,5.2e-05,1
0,12x12hard.txt,100.0,0.003574,0.003279,3.74
0,12x12med.txt,100.0,5.5e-05,1e-05,1
0,6x6easy.txt,100.0,2.4e-05,8e-06,1
0,6x6hard.txt,100.0,9.7e-05,2.5e-05,1.01
0,6x6medium.txt,100.0,3.4e-05,2.7e-05,1
0,aiescargot.txt,100.0,0.008152,0.005733,21.41
0,coly013.txt,100.0,0.038339,0.033839,65.06
0,goldennugget.txt,100.0,0.029149,0.030029,49.53
0,platinumblond.txt,100.0,0.125416,0.110809,157.11
0,reddwarf.txt,100.0,0.032381,0.030759,48.97
0,sabuncu1.txt,100.0,6.5e-05,6.5e-05,1
0,sabuncu10.txt,100.0,6.2e-05,5.8e-05,1
0,sabuncu2.txt,100.0,6e-05,7.2e-05,1
0,sabuncu3.txt,100.0,0.000663,0.0004,1.16
0,sabuncu4.txt,100.0,0.000322,5.7e-05,1
0,sabuncu5.txt,100.0,5e-05,1.7e-05,1
0,sabuncu6.txt,100.0,0.006683,0.005704,11.46
0,sabuncu7.txt,100.0,0.000696,0.000519,1.39
0,sabuncu8.txt,100.0,0.000412,0.000129,1.09
0,sabuncu9.txt,100.0,0.000925,0.000939,1.82
0,tarx0134.txt,100.0,0.014928,0.01385,24.81

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
0,16x16,0,100.0,0.022959,0.008344,1.76
0,16x16,5,100.0,0.019374,0.007113,1.66
0,16x16,10,100.0,0.017846,0.006336,1.77
0,16x16,15,100.0,0.017616,0.005614,1.92
0,16x16,20,100.0,0.01519,0.006747,1.88
0,16x16,25,100.0,0.014925,0.006153,2.16
0,16x16,30,100.0,0.013792,0.006225,2.31
0,16x16,35,100.0,0.012885,0.010302,2.93
0,16x16,40,100.0,0.010293,0.009331,3.24
0,16x16,45,100.0,0.003931,0.014012,2.15
0,16x16,50,100.0,0.000446,0.000467,1.04
0,16x16,55,100.0,0.000164,0.000113,1
0,16x16,60,100.0,0.000131,5e-05,1
0,16x16,65,100.0,0.00011,2.9e-05,1
0,16x16,70,100.0,0.000116,2.9e-05,1
0,16x16,75,100.0,0.000109,2.9e-05,1
0,16x16,80,100.0,0.000106,2.9e-05,1
0,16x16,85,100.0,9.7e-05,2e-05,1
0,16x16,90,100.0,9.7e-05,2.6e-05,1
0,16x16,95,100.0,9.6e-05,2.4e-05,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
0,25x25,0,100.0,0.503908,0.621638,8.37
0,25x25,5,100.0,0.443739,0.576259,8.32
0,25x25,10,100.0,0.760557,0.868687,17.12
0,25x25,15,100.0,0.623267,0.74494,17.08
0,25x25,20,100.0,0.994621,1.112549,30.95
0,25x25,25,100.0,1.520974,1.616922,50.52
0,25x25,30,100.0,2.140936,2.250652,84.51
0,25x25,35,100.0,5.04674,6.19845,238.58
0,25x25,40,98.0,11.911882,21.316301,721.49
0,25x25,45,88.0,10.426875,18.148202,907.341
0,25x25,50,93.0,2.42887,11.038662,313.516
0,25x25,55,100.0,0.000498,0.000652,1.01
0,25x25,60,100.0,0.000282,0.000145,1
0,25x25,65,100.0,0.000235,8.5e-05,1
0,25x25,70,100.0,0.000233,9.3e-05,1
0,25x25,75,100.0,0.000217,9e-05,1
0,25x25,80,100.0,0.000206,7e-05,1
0,25x25,85,100.0,0.000193,5.1e-05,1
0,25x25,90,100.0,0.000211,9.1e-05,1
0,25x25,95,100.0,0.000197,6.7e-05,1

[general size=9x9 timeout=5s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
0,9x9,0,100.0,0.001098,0.000273,1
0,9x9,5,100.0,0.00097,0.000226,1
0,9x9,10,100.0,0.000834,0.000206,1
0,9x9,15,100.0,0.000805,0.000196,1.01
0,9x9,20,100.0,0.000667,0.000169,1
0,9x9,25,100.0,0.000593,0.000166,1.02
0,9x9,30,100.0,0.000457,0.000127,1
0,9x9,35,100.0,0.000327,0.000131,1
0,9x9,40,100.0,0.000159,8.7e-05,1
0,9x9,45,100.0,9.8e-05,6.4e-05,1
0,9x9,50,100.0,6.6e-05,3.9e-05,1
0,9x9,55,100.0,5.6e-05,4.2e-05,1
0,9x9,60,100.0,4.9e-05,3.5e-05,1
0,9x9,65,100.0,4.5e-05,2.9e-05,1
0,9x9,70,100.0,4.6e-05,3.5e-05,1
0,9x9,75,100.0,4.4e-05,2.8e-05,1
0,9x9,80,100.0,4.2e-05,3.3e-05,1
0,9x9,85,100.0,4.6e-05,3.5e-05,1
0,9x9,90,100.0,4.2e-05,2.3e-05,1
0,9x9,95,100.0,4.3e-05,3.1e-05,1

[6x6 timeout=3s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
0,6x6,0,100.0,0.000274,6.3e-05,1
0,6x6,5,100.0,0.000261,6.4e-05,1
0,6x6,10,100.0,0.000245,6.8e-05,1
0,6x6,15,100.0,0.000216,5.8e-05,1
0,6x6,20,100.0,0.000188,5.4e-05,1
0,6x6,25,100.0,0.000146,4.6e-05,1
0,6x6,30,100.0,0.000127,4.6e-05,1
0,6x6,35,100.0,8.3e-05,4.6e-05,1
0,6x6,40,100.0,6e-05,4e-05,1
0,6x6,45,100.0,3.8e-05,3e-05,1
0,6x6,50,100.0,3.5e-05,3.6e-05,1
0,6x6,55,100.0,3.2e-05,2.4e-05,1
0,6x6,60,100.0,3.2e-05,2.6e-05,1
0,6x6,65,100.0,2.5e-05,1.9e-05,1
0,6x6,70,100.0,2.8e-05,2.2e-05,1
0,6x6,75,100.0,2.7e-05,3.4e-05,1
0,6x6,80,100.0,2.9e-05,2.6e-05,1
0,6x6,85,100.0,2.6e-05,2e-05,1
0,6x6,90,100.0,2.7e-05,1.7e-05,1
0,6x6,95,100.0,3.2e-05,3.1e-05,1

[12x12 timeout=10s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
0,12x12,0,100.0,0.003785,0.001569,1.13
0,12x12,5,100.0,0.003063,0.001131,1.11
0,12x12,10,100.0,0.002939,0.000951,1.12
0,12x12,15,100.0,0.002856,0.001027,1.17
0,12x12,20,100.0,0.002415,0.000797,1.14
0,12x12,25,100.0,0.002266,0.000961,1.16
0,12x12,30,100.0,0.002051,0.000983,1.26
0,12x12,35,100.0,0.001687,0.000714,1.2
0,12x12,40,100.0,0.001273,0.000548,1.16
