[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
1,12x12easy.txt,100.0,3e-06,4e-06,nan
1,12x12hard.txt,100.0,0.000814,0.00018,nan
1,12x12med.txt,100.0,2e-06,2e-06,nan
1,6x6easy.txt,100.0,1e-06,0.0,nan
1,6x6hard.txt,100.0,1.9e-05,3e-06,nan
1,6x6medium.txt,100.0,1e-06,1e-06,nan
1,aiescargot.txt,100.0,0.00026,6e-05,nan
1,coly013.txt,100.0,0.02106,0.002217,nan
1,goldennugget.txt,100.0,0.010622,0.001067,nan
1,platinumblond.txt,100.0,0.001606,0.000296,nan
1,reddwarf.txt,100.0,0.006809,0.000873,nan
1,sabuncu1.txt,100.0,2e-06,1e-06,nan
1,sabuncu10.txt,100.0,2e-06,6e-06,nan
1,sabuncu2.txt,100.0,1e-06,1e-06,nan
1,sabuncu3.txt,100.0,0.000132,4.6e-05,nan
1,sabuncu4.txt,100.0,5.5e-05,3e-05,nan
1,sabuncu5.txt,100.0,2e-06,1e-06,nan
1,sabuncu6.txt,100.0,0.000502,0.000579,nan
1,sabuncu7.txt,100.0,5.4e-05,1.7e-05,nan
1,sabuncu8.txt,100.0,4.9e-05,5.8e-05,nan
1,sabuncu9.txt,100.0,9.4e-05,5.4e-05,nan
1,tarx0134.txt,100.0,0.02857,0.005961,nan

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
1,16x16,0,100.0,0.00283,0.000566,nan
1,16x16,5,99.0,0.002433,0.000404,nan
1,16x16,10,99.0,0.002035,0.001,nan
1,16x16,15,99.0,0.002742,0.005517,nan
1,16x16,20,96.0,0.294658,1.410191,nan
1,16x16,25,90.0,0.155369,1.289901,nan
1,16x16,30,89.0,0.306613,1.797512,nan
1,16x16,35,92.0,0.579681,2.618777,nan
1,16x16,40,100.0,0.206375,1.094566,nan
1,16x16,45,100.0,0.001271,0.004336,nan
1,16x16,50,100.0,7.3e-05,8e-05,nan
1,16x16,55,100.0,2.9e-05,2.6e-05,nan
1,16x16,60,100.0,2.2e-05,2.5e-05,nan
1,16x16,65,100.0,2.1e-05,3e-05,nan
1,16x16,70,100.0,1.5e-05,2e-05,nan
1,16x16,75,100.0,1.8e-05,2.2e-05,nan
1,16x16,80,100.0,1.3e-05,1.4e-05,nan
1,16x16,85,100.0,1.2e-05,1.3e-05,nan
1,16x16,90,100.0,1.2e-05,1.4e-05,nan
1,16x16,95,100.0,1.5e-05,2.4e-05,nan

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
1,25x25,0,100.0,0.012033,0.00207,nan
1,25x25,5,98.0,0.159737,0.53413,nan
1,25x25,10,95.0,0.156328,0.768133,nan
1,25x25,15,85.0,1.654862,7.93832,nan
1,25x25,20,78.0,2.226359,9.482536,nan
1,25x25,25,66.0,2.0433,10.575985,nan
1,25x25,30,51.0,3.916263,11.99467,nan
1,25x25,35,38.0,13.046706,25.004955,nan
1,25x25,40,21.0,13.054409,17.993482,nan
1,25x25,45,16.0,45.867459,35.913315,nan
1,25x25,50,94.0,5.366472,16.20097,nan
1,25x25,55,100.0,0.000267,0.001656,nan
1,25x25,60,100.0,6e-05,6.3e-05,nan
1,25x25,65,100.0,4.6e-05,4.1e-05,nan
1,25x25,70,100.0,4.2e-05,5.6e-05,nan
1,25x25,75,100.0,2.5e-05,3.2e-05,nan
1,25x25,80,100.0,3.1e-05,3.9e-05,nan
1,25x25,85,100.0,2.2e-05,3.1e-05,nan
1,25x25,90,100.0,2.9e-05,3.9e-05,nan
1,25x25,95,100.0,2.2e-05,3.2e-05,nan

[general size=9x9 timeout=5s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
1,9x9,0,100.0,0.000209,6e-05,nan
1,9x9,5,100.0,0.000172,4.7e-05,nan
1,9x9,10,100.0,0.000154,4.4e-05,nan
1,9x9,15,100.0,0.000132,3.6e-05,nan
1,9x9,20,100.0,0.000143,0.000141,nan
1,9x9,25,100.0,0.000112,8.3e-05,nan
1,9x9,30,100.0,0.000128,0.000215,nan
1,9x9,35,100.0,4.8e-05,3.8e-05,nan
1,9x9,40,100.0,2.2e-05,2.3e-05,nan
1,9x9,45,100.0,9e-06,1.1e-05,nan
1,9x9,50,100.0,6e-06,1.1e-05,nan
1,9x9,55,100.0,3e-06,5e-06,nan
1,9x9,60,100.0,2e-06,1e-06,nan
1,9x9,65,100.0,1e-06,1e-06,nan
1,9x9,70,100.0,1e-06,1e-06,nan
1,9x9,75,100.0,1e-06,2e-06,nan
1,9x9,80,100.0,1e-06,1e-06,nan
1,9x9,85,100.0,1e-06,1e-06,nan
1,9x9,90,100.0,1e-06,1e-06,nan
1,9x9,95,100.0,1e-06,0.0,nan

[6x6 timeout=3s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
1,6x6,0,100.0,5.3e-05,1.6e-05,nan
1,6x6,5,100.0,4.9e-05,1.9e-05,nan
1,6x6,10,100.0,3.9e-05,1.3e-05,nan
1,6x6,15,100.0,3.5e-05,2e-05,nan
1,6x6,20,100.0,2.6e-05,1.7e-05,nan
1,6x6,25,100.0,1.8e-05,6e-06,nan
1,6x6,30,100.0,1.5e-05,7e-06,nan
1,6x6,35,100.0,8e-06,4e-06,nan
1,6x6,40,100.0,5e-06,4e-06,nan
1,6x6,45,100.0,3e-06,2e-06,nan
1,6x6,50,100.0,2e-06,2e-06,nan
1,6x6,55,100.0,2e-06,1e-06,nan
1,6x6,60,100.0,1e-06,1e-06,nan
1,6x6,65,100.0,1e-06,1e-06,nan
1,6x6,70,100.0,1e-06,3e-06,nan
1,6x6,75,100.0,1e-06,1e-06,nan
1,6x6,80,100.0,1e-06,1e-06,nan
1,6x6,85,100.0,1e-06,1e-06,nan
1,6x6,90,100.0,1e-06,1e-06,nan
1,6x6,95,100.0,2e-06,1.3e-05,nan

[12x12 timeout=10s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
1,12x12,0,100.0,0.000638,0.000219,nan
1,12x12,5,100.0,0.000557,0.000329,nan
1,12x12,10,100.0,0.000472,0.000147,nan
1,12x12,15,100.0,0.000475,0.000334,nan
1,12x12,20,100.0,0.000483,0.000927,nan
1,12x12,25,99.0,0.104133,0.886316,nan
1,12x12,30,97.0,0.027325,0.188565,nan
1,12x12,35,100.0,0.026673,0.172387,nan
1,12x12,40,100.0,0.007964,0.059766,nan
1,12x12,45,100.0,0.000199,0.000305,nan
1,12x12,50,100.0,5.9e-05,4.6e-05,nan
1,12x12,55,100.0,2.9e-05,3.2e-05,nan
1,12x12,60,100.0,1.5e-05,2e-05,nan
1,12x12,65,100.0,8e-06,8e-06,nan
1,12x12,70,100.0,6e-06,8e-06,nan
1,12x12,75,100.0,5e-06,1.2e-05,nan
1,12x12,80,100.0,6e-06,1.2e-05,nan
1,12x12,85,100.0,2e-06,3e-06,nan
1,12x12,90,100.0,3e-06,4e-06,nan
1,12x12,95,100.0,2e-06,3e-06,nan

