[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,0.000114,5.8e-05,1
2,12x12hard.txt,100.0,0.002858,0.001531,2.42
2,12x12med.txt,100.0,0.000116,5.7e-05,1
2,6x6easy.txt,100.0,4.7e-05,3.1e-05,1
2,6x6hard.txt,100.0,0.000129,4.2e-05,1
2,6x6medium.txt,100.0,5e-05,4.3e-05,1
2,aiescargot.txt,100.0,0.011719,0.01353,21.44
2,coly013.txt,100.0,0.03559,0.032096,46.47
2,goldennugget.txt,100.0,0.023502,0.018647,38.1
2,platinumblond.txt,100.0,0.065112,0.05877,106.79
2,reddwarf.txt,100.0,0.021903,0.02068,35.74
2,sabuncu1.txt,100.0,8.3e-05,4.6e-05,1
2,sabuncu10.txt,100.0,7.8e-05,4.9e-05,1
2,sabuncu2.txt,100.0,7.7e-05,4.2e-05,1
2,sabuncu3.txt,100.0,0.000533,0.000199,1.09
2,sabuncu4.txt,100.0,0.000333,9.8e-05,1
2,sabuncu5.txt,100.0,7.7e-05,4.2e-05,1
2,sabuncu6.txt,100.0,0.008446,0.007503,16.39
2,sabuncu7.txt,100.0,0.000462,0.000111,1.03
2,sabuncu8.txt,100.0,0.000365,9.4e-05,1.02
2,sabuncu9.txt,100.0,0.00055,0.000256,1.16
2,tarx0134.txt,100.0,0.01188,0.012776,19.99

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,16x16,0,100.0,0.02465,0.00987,1.87
2,16x16,5,100.0,0.019817,0.005944,1.94
2,16x16,10,100.0,0.017361,0.006393,1.86
2,16x16,15,100.0,0.014825,0.00499,1.83
2,16x16,20,100.0,0.014124,0.00412,1.98
2,16x16,25,100.0,0.012655,0.004246,1.99
2,16x16,30,100.0,0.011634,0.003987,2.16
2,16x16,35,100.0,0.009515,0.004042,2.17
2,16x16,40,100.0,0.006949,0.003002,2.12
2,16x16,45,100.0,0.002244,0.001497,1.27
2,16x16,50,100.0,0.000539,0.00035,1
2,16x16,55,100.0,0.000278,0.000165,1
2,16x16,60,100.0,0.000253,0.000141,1
2,16x16,65,100.0,0.000248,0.000134,1
2,16x16,70,100.0,0.000209,0.0001,1
2,16x16,75,100.0,0.000235,0.000123,1
2,16x16,80,100.0,0.000194,8.6e-05,1
2,16x16,85,100.0,0.000235,0.000126,1
2,16x16,90,100.0,0.000224,0.000117,1
2,16x16,95,100.0,0.000205,0.000101,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,0,100.0,0.34812,0.089646,5.73
2,25x25,5,100.0,0.29226,0.100836,5.36
2,25x25,10,100.0,0.290759,0.15234,5.95
2,25x25,15,100.0,0.252802,0.116494,5.77
2,25x25,20,100.0,0.310405,0.178772,7.99
2,25x25,25,100.0,0.365838,0.239488,10.52
2,25x25,30,100.0,0.631523,0.489959,18.87
2,25x25,35,100.0,0.876285,0.589006,34.49
2,25x25,40,100.0,1.418143,1.285091,73.01
2,25x25,45,98.0,4.313961,11.753235,281.908
2,25x25,50,99.0,0.208063,0.353661,19.99
2,25x25,55,100.0,0.000886,0.001118,1.01
2,25x25,60,100.0,0.000539,0.000206,1
2,25x25,65,100.0,0.000471,0.000147,1
2,25x25,70,100.0,0.000464,0.000181,1
2,25x25,75,100.0,0.00047,0.000139,1
2,25x25,80,100.0,0.000464,0.00021,1
2,25x25,85,100.0,0.000465,0.000191,1
