[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,0.00012,4.6e-05,1
2,12x12hard.txt,100.0,0.002711,0.001153,2.31
2,12x12med.txt,100.0,0.000129,5.8e-05,1
2,6x6easy.txt,100.0,4.7e-05,3.2e-05,1
2,6x6hard.txt,100.0,0.000129,5.1e-05,1
2,6x6medium.txt,100.0,4.2e-05,2e-05,1
2,aiescargot.txt,100.0,0.009964,0.011439,19.78
2,coly013.txt,100.0,0.029728,0.032958,49.38
2,goldennugget.txt,100.0,0.0226,0.018718,39.77
2,platinumblond.txt,100.0,0.066597,0.055599,114.14
2,reddwarf.txt,100.0,0.016554,0.013152,30.18
2,sabuncu1.txt,100.0,7e-05,3e-05,1
2,sabuncu10.txt,100.0,8.7e-05,5.7e-05,1
2,sabuncu2.txt,100.0,7.9e-05,4.3e-05,1
2,sabuncu3.txt,100.0,0.000505,0.00014,1.08
2,sabuncu4.txt,100.0,0.000296,6.2e-05,1
2,sabuncu5.txt,100.0,8.1e-05,3.5e-05,1
2,sabuncu6.txt,100.0,0.007409,0.006234,14.26
2,sabuncu7.txt,100.0,0.000472,0.000129,1.04
2,sabuncu8.txt,100.0,0.000367,8.8e-05,1.04
2,sabuncu9.txt,100.0,0.00049,0.000116,1.05
2,tarx0134.txt,100.0,0.010702,0.012667,18.25

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,16x16,0,100.0,0.020628,0.007574,1.75
2,16x16,5,100.0,0.018653,0.005098,1.9
2,16x16,10,100.0,0.016868,0.004467,1.91
2,16x16,15,100.0,0.015234,0.00409,1.93
2,16x16,20,100.0,0.012914,0.0036,1.86
2,16x16,25,100.0,0.012511,0.00463,2
2,16x16,30,100.0,0.010743,0.003603,2.04
2,16x16,35,100.0,0.01018,0.004475,2.38
2,16x16,40,100.0,0.006669,0.003894,2.12
2,16x16,45,100.0,0.002133,0.00263,1.21
2,16x16,50,100.0,0.000508,0.000405,1.01
2,16x16,55,100.0,0.000256,0.000164,1
2,16x16,60,100.0,0.000222,8.4e-05,1
2,16x16,65,100.0,0.000197,7.9e-05,1
2,16x16,70,100.0,0.000203,8.4e-05,1
2,16x16,75,100.0,0.000193,8e-05,1
2,16x16,80,100.0,0.00019,8.2e-05,1
2,16x16,85,100.0,0.000184,6.9e-05,1
2,16x16,90,100.0,0.000202,9.5e-05,1
2,16x16,95,100.0,0.000196,8.6e-05,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,0,100.0,0.349683,0.124626,5.93
2,25x25,5,100.0,0.289092,0.102276,5.35
2,25x25,10,100.0,0.260568,0.106908,5.5
2,25x25,15,100.0,0.259877,0.110983,6.17
2,25x25,20,100.0,0.265262,0.126453,7.06
2,25x25,25,100.0,0.377964,0.278597,10.82
2,25x25,30,100.0,0.529507,0.329865,17.57
2,25x25,35,100.0,1.056143,0.917739,42.26
2,25x25,40,100.0,1.893636,1.67166,93.37
2,25x25,45,100.0,3.308055,4.453315,229.02
2,25x25,50,100.0,0.850521,5.512201,78.06
2,25x25,55,100.0,0.000853,0.001076,1.01
2,25x25,60,100.0,0.000547,0.000234,1
