[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,0.000133,6.3e-05,1
2,12x12hard.txt,100.0,0.003294,0.001096,2.28
2,12x12med.txt,100.0,0.000124,5e-05,1
2,6x6easy.txt,100.0,4.8e-05,2.7e-05,1
2,6x6hard.txt,100.0,0.000145,3.7e-05,1
2,6x6medium.txt,100.0,5e-05,3.3e-05,1
2,aiescargot.txt,100.0,0.010534,0.010952,17.29
2,coly013.txt,100.0,0.027902,0.023589,38.11
2,goldennugget.txt,100.0,0.022891,0.017779,33.7
2,platinumblond.txt,100.0,0.064068,0.057758,89.83
2,reddwarf.txt,100.0,0.018607,0.016279,27.75
2,sabuncu1.txt,100.0,8.4e-05,4.1e-05,1
2,sabuncu10.txt,100.0,9e-05,5.3e-05,1
2,sabuncu2.txt,100.0,8.6e-05,4.8e-05,1
2,sabuncu3.txt,100.0,0.000595,0.000147,1.04
2,sabuncu4.txt,100.0,0.000345,7.3e-05,1
2,sabuncu5.txt,100.0,8.7e-05,5.1e-05,1
2,sabuncu6.txt,100.0,0.00674,0.006701,10.59
2,sabuncu7.txt,100.0,0.000547,0.000117,1.04
2,sabuncu8.txt,100.0,0.000424,6.3e-05,1
2,sabuncu9.txt,100.0,0.000584,0.000167,1.03
2,tarx0134.txt,100.0,0.007942,0.008978,11.08

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,16x16,0,100.0,0.02379,0.008236,1.71
2,16x16,5,100.0,0.022164,0.006232,1.83
2,16x16,10,100.0,0.020561,0.004843,1.87
2,16x16,15,100.0,0.017622,0.005295,1.82
2,16x16,20,100.0,0.015706,0.004437,1.81
2,16x16,25,100.0,0.01494,0.005466,1.89
2,16x16,30,100.0,0.0133,0.00535,1.92
2,16x16,35,100.0,0.011631,0.004257,2.23
2,16x16,40,100.0,0.007168,0.003259,1.94
2,16x16,45,100.0,0.002504,0.001823,1.2
2,16x16,50,100.0,0.000537,0.000366,1
2,16x16,55,100.0,0.000269,0.000135,1
2,16x16,60,100.0,0.00023,8.6e-05,1
2,16x16,65,100.0,0.000229,0.000106,1
2,16x16,70,100.0,0.000223,0.000107,1
2,16x16,75,100.0,0.000202,8e-05,1
2,16x16,80,100.0,0.000205,9.9e-05,1
2,16x16,85,100.0,0.000207,0.000105,1
2,16x16,90,100.0,0.000198,8.8e-05,1
2,16x16,95,100.0,0.000202,9.2e-05,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,0,100.0,0.384217,0.115581,5.28
2,25x25,5,100.0,0.324111,0.094279,4.91
2,25x25,10,100.0,0.310571,0.105813,5.24
2,25x25,15,100.0,0.274211,0.117179,5.17
2,25x25,20,100.0,0.25841,0.121699,5.53
2,25x25,25,100.0,0.415087,0.246269,10.15
2,25x25,30,100.0,0.578159,0.409174,15.29
2,25x25,35,100.0,0.91754,0.723889,29.27
2,25x25,40,100.0,1.50319,1.197851,60.07
2,25x25,45,97.0,3.540693,7.955033,188.062
2,25x25,50,100.0,0.39614,1.485521,31.43
2,25x25,55,100.0,0.001031,0.001293,1.01
2,25x25,60,100.0,0.000626,0.000222,1
2,25x25,65,100.0,0.000578,0.000252,1
2,25x25,70,100.0,0.000488,0.000154,1
2,25x25,75,100.0,0.000494,0.000204,1
2,25x25,80,100.0,0.000478,0.000195,1
2,25x25,85,100.0,0.000516,0.000232,1
2,25x25,90,100.0,0.000473,0.000202,1
2,25x25,95,100.0,0.000505,0.000196,1

[general size=9x9 timeout=5s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,9x9,0,100.0,0.001739,0.000324,1
2,9x9,5,100.0,0.001466,0.000248,1
2,9x9,10,100.0,0.001343,0.000247,1
2,9x9,15,100.0,0.001251,0.000262,1
2,9x9,20,100.0,0.001068,0.000188,1
2,9x9,25,100.0,0.000907,0.000175,1
2,9x9,30,100.0,0.000728,0.000177,1
2,9x9,35,100.0,0.00052,0.000189,1
2,9x9,40,100.0,0.000276,0.000157,1
2,9x9,45,100.0,0.000164,8.9e-05,1
2,9x9,50,100.0,0.000127,6.8e-05,1
2,9x9,55,100.0,0.000101,5.2e-05,1
2,9x9,60,100.0,9.5e-05,4.6e-05,1
2,9x9,65,100.0,0.000108,6.5e-05,1
2,9x9,70,100.0,0.000102,5.4e-05,1
2,9x9,75,100.0,8.5e-05,2.6e-05,1
2,9x9,80,100.0,9.7e-05,5.4e-05,1
2,9x9,85,100.0,9.2e-05,5.1e-05,1
2,9x9,90,100.0,0.0001,6.2e-05,1
2,9x9,95,100.0,9.5e-05,5.8e-05,1

[6x6 timeout=3s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,6x6,0,100.0,0.000494,0.000144,1
2,6x6,5,100.0,0.000413,0.000115,1
2,6x6,10,100.0,0.000377,0.000105,1
2,6x6,15,100.0,0.000339,0.000111,1
2,6x6,20,100.0,0.000305,9.6e-05,1
2,6x6,25,100.0,0.000242,7.8e-05,1
2,6x6,30,100.0,0.000214,8.7e-05,1
2,6x6,35,100.0,0.000141,7.7e-05,1
2,6x6,40,100.0,9.8e-05,5.7e-05,1
2,6x6,45,100.0,8e-05,5.6e-05,1
2,6x6,50,100.0,5.9e-05,3.5e-05,1
2,6x6,55,100.0,6.7e-05,4.2e-05,1
2,6x6,60,100.0,6.3e-05,3.9e-05,1
2,6x6,65,100.0,5.7e-05,3.1e-05,1
2,6x6,70,100.0,6e-05,4e-05,1
2,6x6,75,100.0,5.7e-05,3.5e-05,1
2,6x6,80,100.0,5.5e-05,3.3e-05,1
2,6x6,85,100.0,5.4e-05,2.9e-05,1
2,6x6,90,100.0,6e-05,3.9e-05,1
2,6x6,95,100.0,6.3e-05,4.7e-05,1

[12x12 timeout=10s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,12x12,0,100.0,0.005797,0.002021,1.22
2,12x12,5,100.0,0.004919,0.001686,1.18
2,12x12,10,100.0,0.004847,0.001742,1.27
2,12x12,15,100.0,0.004259,0.001325,1.13
2,12x12,20,100.0,0.003778,0.001748,1.13
