[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,0.00013,1.8e-05,1
2,12x12hard.txt,100.0,0.003532,0.001984,2.42
2,12x12med.txt,100.0,0.00013,1.5e-05,1
2,6x6easy.txt,100.0,5.5e-05,3.1e-05,1
2,6x6hard.txt,100.0,0.000151,2.9e-05,1
2,6x6medium.txt,100.0,5.2e-05,1.6e-05,1
2,aiescargot.txt,100.0,0.009178,0.009458,14.03
2,coly013.txt,100.0,0.031184,0.026238,41.22
2,goldennugget.txt,100.0,0.022142,0.02079,29.29
2,platinumblond.txt,100.0,0.063665,0.054904,83.74
2,reddwarf.txt,100.0,0.018424,0.016272,26.15
2,sabuncu1.txt,100.0,8.5e-05,1.3e-05,1
2,sabuncu10.txt,100.0,9.1e-05,4.1e-05,1
2,sabuncu2.txt,100.0,8.6e-05,1.6e-05,1
2,sabuncu3.txt,100.0,0.000642,0.000263,1.09
2,sabuncu4.txt,100.0,0.000367,8.6e-05,1
2,sabuncu5.txt,100.0,8.6e-05,2.4e-05,1
2,sabuncu6.txt,100.0,0.005657,0.005037,9.01
2,sabuncu7.txt,100.0,0.000563,0.000167,1.05
2,sabuncu8.txt,100.0,0.000457,0.000121,1.06
2,sabuncu9.txt,100.0,0.000626,0.000236,1.12
2,tarx0134.txt,100.0,0.010735,0.011714,14.56

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,16x16,0,100.0,0.023663,0.007888,1.81
2,16x16,5,100.0,0.025674,0.00697,2.02
2,16x16,10,100.0,0.022969,0.007873,2.01
2,16x16,15,100.0,0.01986,0.006602,1.95
2,16x16,20,100.0,0.018377,0.00545,2.02
2,16x16,25,100.0,0.016285,0.005279,2.05
2,16x16,30,100.0,0.014644,0.004837,2.29
2,16x16,35,100.0,0.01254,0.005517,2.41
2,16x16,40,100.0,0.00795,0.003875,2.07
2,16x16,45,100.0,0.002532,0.001672,1.22
2,16x16,50,100.0,0.000569,0.000435,1.01
2,16x16,55,100.0,0.000305,0.000184,1
2,16x16,60,100.0,0.000243,6.5e-05,1
2,16x16,65,100.0,0.000218,3.1e-05,1
2,16x16,70,100.0,0.000216,4.5e-05,1
2,16x16,75,100.0,0.000207,3.6e-05,1
2,16x16,80,100.0,0.000203,3.4e-05,1
2,16x16,85,100.0,0.000199,1.9e-05,1
2,16x16,90,100.0,0.000201,4e-05,1
2,16x16,95,100.0,0.000198,1.5e-05,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,0,100.0,0.4187,0.136439,5.88
2,25x25,5,100.0,0.34603,0.109404,5.43
2,25x25,10,100.0,0.326151,0.129226,5.59
2,25x25,15,100.0,0.318583,0.122902,6.26
2,25x25,20,100.0,0.341847,0.204191,7.64
2,25x25,25,100.0,0.417103,0.23455,10.68
