[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,0.000136,3.1e-05,1
2,12x12hard.txt,100.0,0.003295,0.001709,2.49
2,12x12med.txt,100.0,0.000138,2.3e-05,1
2,6x6easy.txt,100.0,5.3e-05,1e-05,1
2,6x6hard.txt,100.0,0.000152,2.4e-05,1
2,6x6medium.txt,100.0,5.6e-05,1.4e-05,1
2,aiescargot.txt,100.0,0.009073,0.009081,14.67
2,coly013.txt,100.0,0.031341,0.022399,40.65
2,goldennugget.txt,100.0,0.02195,0.018685,30.99
2,platinumblond.txt,100.0,0.070965,0.05822,93.78
2,reddwarf.txt,100.0,0.020058,0.016024,28.81
2,sabuncu1.txt,100.0,0.000107,6.3e-05,1
2,sabuncu10.txt,100.0,9e-05,1.2e-05,1
2,sabuncu2.txt,100.0,8.9e-05,1.2e-05,1
2,sabuncu3.txt,100.0,0.000637,0.000197,1.12
2,sabuncu4.txt,100.0,0.000355,5.2e-05,1
2,sabuncu5.txt,100.0,8.9e-05,1.8e-05,1
2,sabuncu6.txt,100.0,0.0055,0.005097,8.86
2,sabuncu7.txt,100.0,0.000596,0.000187,1.1
2,sabuncu8.txt,100.0,0.000467,0.000124,1.01
2,sabuncu9.txt,100.0,0.0006,0.000181,1.07
2,tarx0134.txt,100.0,0.012241,0.012452,16.8

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,16x16,0,100.0,0.024191,0.008655,1.83
2,16x16,5,100.0,0.024724,0.009092,2.03
2,16x16,10,100.0,0.021586,0.006465,2.01
2,16x16,15,100.0,0.018114,0.005859,1.88
2,16x16,20,100.0,0.016823,0.005623,1.98
2,16x16,25,100.0,0.015503,0.004916,2.05
2,16x16,30,100.0,0.013323,0.004838,2.11
2,16x16,35,100.0,0.011311,0.004848,2.17
2,16x16,40,100.0,0.008044,0.003936,2.1
2,16x16,45,100.0,0.002518,0.001741,1.24
2,16x16,50,100.0,0.000569,0.000365,1
2,16x16,55,100.0,0.000301,0.000136,1
2,16x16,60,100.0,0.000249,6.2e-05,1
2,16x16,65,100.0,0.000223,3.8e-05,1
2,16x16,70,100.0,0.000222,4.6e-05,1
2,16x16,75,100.0,0.000213,3.2e-05,1
2,16x16,80,100.0,0.000206,2e-05,1
2,16x16,85,100.0,0.000219,7.9e-05,1
2,16x16,90,100.0,0.000216,4.2e-05,1
2,16x16,95,100.0,0.000208,3.3e-05,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,0,100.0,0.434022,0.163988,6.03
2,25x25,5,100.0,0.363932,0.10833,5.65
2,25x25,10,100.0,0.311922,0.102825,5.38
2,25x25,15,100.0,0.314687,0.138154,6.07
2,25x25,20,100.0,0.342846,0.180784,7.52
2,25x25,25,100.0,0.435457,0.260477,11.08
2,25x25,30,100.0,0.715755,0.466539,21.04
2,25x25,35,100.0,1.3173,1.057121,46.17
2,25x25,40,100.0,1.961644,1.986935,85.8
2,25x25,45,97.0,4.011476,7.001676,234.505
2,25x25,50,100.0,0.861017,3.868809,70.69
2,25x25,55,100.0,0.001069,0.001784,1.02
2,25x25,60,100.0,0.00069,0.00051,1
2,25x25,65,100.0,0.000643,0.000211,1
2,25x25,70,100.0,0.000527,8.6e-05,1
2,25x25,75,100.0,0.000487,4.5e-05,1
2,25x25,80,100.0,0.000492,7.1e-05,1
2,25x25,85,100.0,0.000498,7.9e-05,1
2,25x25,90,100.0,0.000492,5.9e-05,1
2,25x25,95,100.0,0.000488,6.5e-05,1

[general size=9x9 timeout=5s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,9x9,0,100.0,0.001581,0.000246,1.01
2,9x9,5,100.0,0.001398,0.000115,1
2,9x9,10,100.0,0.001324,0.000183,1
2,9x9,15,100.0,0.001188,0.00018,1
2,9x9,20,100.0,0.00104,0.000136,1
2,9x9,25,100.0,0.000886,0.000108,1
2,9x9,30,100.0,0.000675,9.3e-05,1
2,9x9,35,100.0,0.000471,0.000125,1
2,9x9,40,100.0,0.000261,0.000117,1
2,9x9,45,100.0,0.000156,7.1e-05,1
2,9x9,50,100.0,0.000124,4.8e-05,1
2,9x9,55,100.0,0.000104,3e-05,1
2,9x9,60,100.0,8.9e-05,1.4e-05,1
2,9x9,65,100.0,8.8e-05,1.2e-05,1
2,9x9,70,100.0,9.3e-05,4.7e-05,1
2,9x9,75,100.0,9e-05,4e-05,1
2,9x9,80,100.0,9.1e-05,2.7e-05,1
2,9x9,85,100.0,8.4e-05,8e-06,1
2,9x9,90,100.0,8.5e-05,8e-06,1
2,9x9,95,100.0,8.9e-05,2.3e-05,1

[6x6 timeout=3s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,6x6,0,100.0,0.000408,4.4e-05,1
2,6x6,5,100.0,0.000405,6.4e-05,1
2,6x6,10,100.0,0.000365,9.3e-05,1
2,6x6,15,100.0,0.000325,5e-05,1
2,6x6,20,100.0,0.000273,2.2e-05,1
2,6x6,25,100.0,0.000228,3.9e-05,1
2,6x6,30,100.0,0.000198,4.5e-05,1
2,6x6,35,100.0,0.000131,5.1e-05,1
2,6x6,40,100.0,9.7e-05,3.8e-05,1
2,6x6,45,100.0,7.4e-05,3.8e-05,1
2,6x6,50,100.0,6e-05,1.7e-05,1
2,6x6,55,100.0,5.7e-05,2.2e-05,1
2,6x6,60,100.0,5.3e-05,1.3e-05,1
2,6x6,65,100.0,5.1e-05,1e-05,1
2,6x6,70,100.0,4.9e-05,9e-06,1
2,6x6,75,100.0,5e-05,9e-06,1
2,6x6,80,100.0,4.9e-05,6e-06,1
2,6x6,85,100.0,5.2e-05,2.2e-05,1
2,6x6,90,100.0,5.1e-05,1.3e-05,1
2,6x6,95,100.0,5e-05,1.5e-05,1

[12x12 timeout=10s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,12x12,0,100.0,0.005998,0.002424,1.32
2,12x12,5,100.0,0.005401,0.002055,1.31
2,12x12,10,100.0,0.004626,0.001634,1.24
2,12x12,15,100.0,0.004205,0.001502,1.24
2,12x12,20,100.0,0.003625,0.001302,1.18
2,12x12,25,100.0,0.003077,0.001206,1.12
2,12x12,30,100.0,0.00258,0.001073,1.09
2,12x12,35,100.0,0.002177,0.000829,1.09
2,12x12,40,100.0,0.001702,0.000559,1.09
2,12x12,45,100.0,0.001135,0.000467,1.02
2,12x12,50,100.0,0.000571,0.000282,1
2,12x12,55,100.0,0.000298,0.000182,1
2,12x12,60,100.0,0.000199,9.9e-05,1
2,12x12,65,100.0,0.000167,5.6e-05,1
2,12x12,70,100.0,0.000149,3.1e-05,1
2,12x12,75,100.0,0.00014,2.3e-05,1
2,12x12,80,100.0,0.000141,2.5e-05,1
2,12x12,85,100.0,0.000138,2.4e-05,1
2,12x12,90,100.0,0.000134,3.8e-05,1
2,12x12,95,100.0,0.000132,1.5e-05,1

