[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,9.6e-05,1.5e-05,1
2,12x12hard.txt,100.0,0.003075,0.001638,3.03
2,12x12med.txt,100.0,0.0001,3.1e-05,1
2,6x6easy.txt,100.0,4.2e-05,1.1e-05,1
2,6x6hard.txt,100.0,0.000113,1.2e-05,1
2,6x6medium.txt,100.0,4e-05,7e-06,1
2,aiescargot.txt,100.0,0.00757,0.008091,16.17
2,coly013.txt,100.0,0.031715,0.026227,57.09
2,goldennugget.txt,100.0,0.022533,0.022602,43.33
2,platinumblond.txt,100.0,0.068548,0.059914,123.9
2,reddwarf.txt,100.0,0.018564,0.016136,36.38
2,sabuncu1.txt,100.0,6.5e-05,6e-06,1
2,sabuncu10.txt,100.0,6.5e-05,6e-06,1
2,sabuncu2.txt,100.0,6.6e-05,1.6e-05,1
2,sabuncu3.txt,100.0,0.000469,0.000123,1.1
2,sabuncu4.txt,100.0,0.000278,5.8e-05,1.01
2,sabuncu5.txt,100.0,6.6e-05,1.1e-05,1
2,sabuncu6.txt,100.0,0.005217,0.004927,11.34
2,sabuncu7.txt,100.0,0.000428,0.0001,1.06
2,sabuncu8.txt,100.0,0.00039,0.000172,1.12
2,sabuncu9.txt,100.0,0.000583,0.000423,1.34
2,tarx0134.txt,100.0,0.01445,0.015669,27.18

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,16x16,0,100.0,0.01811,0.00611,1.88
2,16x16,5,100.0,0.017868,0.006287,2.02
2,16x16,10,100.0,0.018309,0.005582,2.32
2,16x16,15,100.0,0.016096,0.005646,2.26
2,16x16,20,100.0,0.014327,0.004664,2.29
2,16x16,25,100.0,0.012761,0.004408,2.32
2,16x16,30,100.0,0.011092,0.005135,2.39
2,16x16,35,100.0,0.009984,0.003972,2.71
2,16x16,40,100.0,0.007148,0.005605,2.62
2,16x16,45,100.0,0.002615,0.003848,1.65
2,16x16,50,100.0,0.000414,0.000295,1.01
2,16x16,55,100.0,0.00021,9.3e-05,1
2,16x16,60,100.0,0.000178,3.6e-05,1
2,16x16,65,100.0,0.000169,2.2e-05,1
2,16x16,70,100.0,0.000165,2.2e-05,1
2,16x16,75,100.0,0.000162,3.2e-05,1
2,16x16,80,100.0,0.000158,2.2e-05,1
2,16x16,85,100.0,0.000155,1.7e-05,1
2,16x16,90,100.0,0.000159,2.4e-05,1
2,16x16,95,100.0,0.000175,0.000115,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,0,100.0,0.350216,0.137436,6.76
2,25x25,5,100.0,0.298679,0.126709,6.18
2,25x25,10,100.0,0.299764,0.15846,6.89
2,25x25,15,100.0,0.297245,0.14542,7.32
2,25x25,20,100.0,0.359038,0.250022,10.21
2,25x25,25,100.0,0.482818,0.451629,16.08
