[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,0.000145,9.8e-05,1
2,12x12hard.txt,100.0,0.003619,0.00192,2.63
2,12x12med.txt,100.0,0.000138,4.1e-05,1
2,6x6easy.txt,100.0,5.2e-05,1.3e-05,1
2,6x6hard.txt,100.0,0.000149,2.5e-05,1
2,6x6medium.txt,100.0,5.1e-05,1e-05,1
2,aiescargot.txt,100.0,0.007888,0.008018,12.65
2,coly013.txt,100.0,0.034218,0.029026,44.8
2,goldennugget.txt,100.0,0.024761,0.020853,35.1
2,platinumblond.txt,100.0,0.063146,0.053513,83.64
2,reddwarf.txt,100.0,0.015959,0.014113,22.96
2,sabuncu1.txt,100.0,8.3e-05,7e-06,1
2,sabuncu10.txt,100.0,8.4e-05,9e-06,1
2,sabuncu2.txt,100.0,8.7e-05,1.5e-05,1
2,sabuncu3.txt,100.0,0.000617,0.000166,1.1
2,sabuncu4.txt,100.0,0.000352,5.4e-05,1
2,sabuncu5.txt,100.0,9e-05,3.6e-05,1
2,sabuncu6.txt,100.0,0.005387,0.005139,8.58
2,sabuncu7.txt,100.0,0.000576,0.000146,1.06
2,sabuncu8.txt,100.0,0.00044,8.1e-05,1.04
2,sabuncu9.txt,100.0,0.000647,0.00027,1.13
2,tarx0134.txt,100.0,0.012554,0.014372,17.2

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,16x16,0,100.0,0.023492,0.007387,1.76
2,16x16,5,100.0,0.024788,0.007646,2.07
2,16x16,10,100.0,0.021489,0.006996,2.02
2,16x16,15,100.0,0.019397,0.005642,2.02
2,16x16,20,100.0,0.016928,0.005219,2.02
2,16x16,25,100.0,0.015171,0.004901,2.07
2,16x16,30,100.0,0.01361,0.005332,2.19
2,16x16,35,100.0,0.012198,0.007008,2.44
2,16x16,40,100.0,0.008716,0.009651,2.16
2,16x16,45,100.0,0.002362,0.001645,1.2
2,16x16,50,100.0,0.000561,0.000381,1
2,16x16,55,100.0,0.000287,0.00012,1
2,16x16,60,100.0,0.000244,7.4e-05,1
2,16x16,65,100.0,0.000222,3.6e-05,1
2,16x16,70,100.0,0.000214,4.9e-05,1
2,16x16,75,100.0,0.000203,3.4e-05,1
2,16x16,80,100.0,0.000199,2.7e-05,1
2,16x16,85,100.0,0.000201,4.1e-05,1
2,16x16,90,100.0,0.000206,5.4e-05,1
2,16x16,95,100.0,0.000201,2.5e-05,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,0,100.0,0.426518,0.132761,6.15
2,25x25,5,100.0,0.355098,0.115356,5.65
2,25x25,10,100.0,0.323159,0.121351,5.67
2,25x25,15,100.0,0.314792,0.160325,6.26
2,25x25,20,100.0,0.327421,0.171164,7.22
2,25x25,25,100.0,0.434198,0.294405,11.21
