[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,8.6e-05,2e-05,1
2,12x12hard.txt,100.0,0.002821,0.001861,3.5
2,12x12med.txt,100.0,9.2e-05,3.8e-05,1
2,6x6easy.txt,100.0,6.9e-05,0.000346,1
2,6x6hard.txt,100.0,0.0001,4.8e-05,1.01
2,6x6medium.txt,100.0,3.6e-05,1.7e-05,1
2,aiescargot.txt,100.0,0.007529,0.008372,21.23
2,coly013.txt,100.0,0.031137,0.026167,73.39
2,goldennugget.txt,100.0,0.017899,0.016589,44.73
2,platinumblond.txt,100.0,0.067539,0.05927,158.97
2,reddwarf.txt,100.0,0.020162,0.022442,51.88
2,sabuncu1.txt,100.0,5.6e-05,8e-06,1
2,sabuncu10.txt,100.0,5.7e-05,8e-06,1
2,sabuncu2.txt,100.0,5.5e-05,6e-06,1
2,sabuncu3.txt,100.0,0.000388,0.000127,1.18
2,sabuncu4.txt,100.0,0.000215,3.5e-05,1.02
2,sabuncu5.txt,100.0,5.4e-05,5e-06,1
2,sabuncu6.txt,100.0,0.004693,0.004115,13.4
2,sabuncu7.txt,100.0,0.00038,0.000158,1.23
2,sabuncu8.txt,100.0,0.000283,8.6e-05,1.11
2,sabuncu9.txt,100.0,0.000432,0.000221,1.33
2,tarx0134.txt,100.0,0.011992,0.01094,28.89

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,16x16,0,100.0,0.015662,0.006649,2.1
2,16x16,5,100.0,0.016449,0.006493,2.4
2,16x16,10,100.0,0.014434,0.005118,2.37
2,16x16,15,100.0,0.012701,0.004409,2.36
2,16x16,20,100.0,0.011769,0.004895,2.48
2,16x16,25,100.0,0.012126,0.005085,2.88
2,16x16,30,100.0,0.009778,0.004858,2.76
2,16x16,35,100.0,0.009506,0.004791,3.31
2,16x16,40,100.0,0.00688,0.004233,3.15
2,16x16,45,100.0,0.001919,0.002062,1.56
2,16x16,50,100.0,0.000354,0.000223,1.01
2,16x16,55,100.0,0.000182,6.9e-05,1
2,16x16,60,100.0,0.000159,3.7e-05,1
2,16x16,65,100.0,0.000156,6.3e-05,1
2,16x16,70,100.0,0.000144,3.1e-05,1
2,16x16,75,100.0,0.000143,4.6e-05,1
2,16x16,80,100.0,0.000137,1.3e-05,1
2,16x16,85,100.0,0.000138,2.6e-05,1
2,16x16,90,100.0,0.000147,5.1e-05,1
2,16x16,95,100.0,0.000138,3.7e-05,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,0,100.0,0.34623,0.146977,8.31
2,25x25,5,100.0,0.282651,0.121,7.89
2,25x25,10,100.0,0.266782,0.154382,8.3
2,25x25,15,100.0,0.305648,0.237357,10.42
2,25x25,20,100.0,0.335083,0.199008,13.15
2,25x25,25,100.0,0.433479,0.334116,19.71
2,25x25,30,100.0,0.621222,0.414896,33.09
2,25x25,35,100.0,1.364349,1.080946,81.96
2,25x25,40,100.0,2.26562,2.023123,161.19
2,25x25,45,98.0,4.388879,11.108643,459.959
2,25x25,50,100.0,0.918805,3.087603,138.89
2,25x25,55,100.0,0.000849,0.003077,1.08
2,25x25,60,100.0,0.000389,8.2e-05,1
2,25x25,65,100.0,0.000354,5.8e-05,1
2,25x25,70,100.0,0.000333,4.7e-05,1
2,25x25,75,100.0,0.000325,3.9e-05,1
2,25x25,80,100.0,0.000323,3.7e-05,1
2,25x25,85,100.0,0.000329,5.2e-05,1
2,25x25,90,100.0,0.00032,3.7e-05,1
2,25x25,95,100.0,0.000317,3.1e-05,1

