[logic-solvable]
alg,instance,success_%,time_mean,time_std,cycles_mean
2,12x12easy.txt,100.0,0.000133,1.7e-05,1
2,12x12hard.txt,100.0,0.003634,0.001439,2.54
2,12x12med.txt,100.0,0.000134,2.1e-05,1
2,6x6easy.txt,100.0,5.3e-05,2.1e-05,1
2,6x6hard.txt,100.0,0.000156,8.6e-05,1
2,6x6medium.txt,100.0,5.2e-05,1.4e-05,1
2,aiescargot.txt,100.0,0.011389,0.011379,17.73
2,coly013.txt,100.0,0.026564,0.017089,34.19
2,goldennugget.txt,100.0,0.02433,0.018626,34.07
2,platinumblond.txt,100.0,0.060731,0.054134,78.91
2,reddwarf.txt,100.0,0.018971,0.01616,26.37
2,sabuncu1.txt,100.0,9.2e-05,7.5e-05,1
2,sabuncu10.txt,100.0,8.6e-05,2.9e-05,1
2,sabuncu2.txt,100.0,8.2e-05,8e-06,1
2,sabuncu3.txt,100.0,0.000636,0.000186,1.11
2,sabuncu4.txt,100.0,0.000348,3.5e-05,1
2,sabuncu5.txt,100.0,8.3e-05,1.1e-05,1
2,sabuncu6.txt,100.0,0.008286,0.006268,13.31
2,sabuncu7.txt,100.0,0.000596,0.000182,1.04
2,sabuncu8.txt,100.0,0.000464,0.000168,1.04
2,sabuncu9.txt,100.0,0.000694,0.000399,1.24
2,tarx0134.txt,100.0,0.009766,0.010923,13.39

[general size=16x16 timeout=20s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,16x16,0,100.0,0.025903,0.007369,1.91
2,16x16,5,100.0,0.027069,0.007121,2.22
2,16x16,10,100.0,0.021647,0.004229,2.03
2,16x16,15,100.0,0.018227,0.004901,1.93
2,16x16,20,100.0,0.016605,0.004576,1.96
2,16x16,25,100.0,0.014484,0.004335,1.96
2,16x16,30,100.0,0.012384,0.003766,1.93
2,16x16,35,100.0,0.011435,0.003519,2.27
2,16x16,40,100.0,0.007633,0.003601,2.02
2,16x16,45,100.0,0.002618,0.001817,1.27
2,16x16,50,100.0,0.000571,0.000422,1.01
2,16x16,55,100.0,0.000281,0.000122,1
2,16x16,60,100.0,0.000238,6.8e-05,1
2,16x16,65,100.0,0.000215,4.1e-05,1
2,16x16,70,100.0,0.000199,1.6e-05,1
2,16x16,75,100.0,0.000204,4.2e-05,1
2,16x16,80,100.0,0.000204,7e-05,1
2,16x16,85,100.0,0.000195,2e-05,1
2,16x16,90,100.0,0.000196,1.8e-05,1
2,16x16,95,100.0,0.000199,2.8e-05,1

[general size=25x25 timeout=120s]
alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
2,25x25,0,100.0,0.384558,0.108762,5.54
2,25x25,5,100.0,0.319501,0.099704,5.08
2,25x25,10,100.0,0.29356,0.104198,5.17
2,25x25,15,100.0,0.282463,0.109775,5.54
2,25x25,20,100.0,0.254685,0.113234,5.67
2,25x25,25,100.0,0.419779,0.270232,10.73
