alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
0,16x16,0,100.0,0.015797,0.004702,1.74
0,16x16,5,100.0,0.013892,0.004276,1.69
0,16x16,10,100.0,0.012668,0.003794,1.71
0,16x16,15,100.0,0.011935,0.003266,1.82
0,16x16,20,100.0,0.011064,0.003307,1.92
0,16x16,25,100.0,0.010296,0.004233,2.05
0,16x16,30,100.0,0.009115,0.003441,2.15
0,16x16,35,100.0,0.008519,0.004065,2.51
0,16x16,40,100.0,0.007397,0.008918,2.99
0,16x16,45,100.0,0.002454,0.004924,1.77
0,16x16,50,100.0,0.000336,0.000303,1.02
0,16x16,55,100.0,0.000136,8.1e-05,1
0,16x16,60,100.0,0.000109,3.2e-05,1
0,16x16,65,100.0,0.0001,2e-05,1
0,16x16,70,100.0,9.2e-05,1.2e-05,1
0,16x16,75,100.0,9.2e-05,1.5e-05,1
0,16x16,80,100.0,8.9e-05,1.1e-05,1
0,16x16,85,100.0,8.8e-05,8e-06,1
0,16x16,90,100.0,8.8e-05,1.3e-05,1
0,16x16,95,100.0,8.8e-05,8e-06,1
0,16x16,100,100.0,8.8e-05,8e-06,1
0,25x25,0,100.0,0.249641,0.285206,5.15
0,25x25,5,100.0,0.34381,0.43702,7.88
0,25x25,10,100.0,0.387866,0.47618,9.92
0,25x25,15,100.0,0.493242,0.660167,14.18
0,25x25,20,100.0,0.741095,0.754657,24.17
0,25x25,25,100.0,0.878606,0.7554,33.3
0,25x25,30,100.0,1.341656,1.249792,59.37
0,25x25,35,99.0,1.768316,1.421516,93.444
0,25x25,40,95.0,2.404296,1.862618,158.263
0,25x25,45,72.0,2.605025,2.389824,233.625
0,25x25,50,90.0,0.361578,0.990241,49.6
0,25x25,55,100.0,0.000665,0.002181,1.05
0,25x25,60,100.0,0.000275,8.8e-05,1
0,25x25,65,100.0,0.000253,6.2e-05,1
0,25x25,70,100.0,0.000241,5.9e-05,1
0,25x25,75,100.0,0.000219,3.5e-05,1
0,25x25,80,100.0,0.00022,3.9e-05,1
0,25x25,85,100.0,0.000233,5.9e-05,1
0,25x25,90,100.0,0.000245,0.000103,1
0,25x25,95,100.0,0.000226,2.9e-05,1
0,25x25,100,100.0,0.000237,4.5e-05,1
0,9x9,0,100.0,0.001098,5.6e-05,1
0,9x9,5,100.0,0.00097,4.7e-05,1
0,9x9,10,100.0,0.000878,4.7e-05,1
0,9x9,15,100.0,0.00079,5.5e-05,1
0,9x9,20,100.0,0.000703,7.8e-05,1.01
0,9x9,25,100.0,0.000598,8.1e-05,1.01
0,9x9,30,100.0,0.000452,6.5e-05,1
0,9x9,35,100.0,0.000304,8.5e-05,1
0,9x9,40,100.0,0.000167,9.7e-05,1
0,9x9,45,100.0,8.3e-05,4.5e-05,1
0,9x9,50,100.0,6.2e-05,2.6e-05,1
0,9x9,55,100.0,5.3e-05,2.1e-05,1
0,9x9,60,100.0,4.3e-05,9e-06,1
0,9x9,65,100.0,4.2e-05,1e-05,1
0,9x9,70,100.0,4.3e-05,9e-06,1
0,9x9,75,100.0,4.1e-05,1e-05,1
0,9x9,80,100.0,4.4e-05,1.2e-05,1
0,9x9,85,100.0,4.1e-05,1.5e-05,1
0,9x9,90,100.0,3.9e-05,5e-06,1
0,9x9,95,100.0,4e-05,1e-05,1
0,9x9,100,100.0,3.9e-05,7e-06,1
2,16x16,0,100.0,0.019077,0.005228,2.09
2,16x16,5,100.0,0.018085,0.003946,2.16
2,16x16,10,100.0,0.016284,0.003932,2.16
2,16x16,15,100.0,0.013564,0.00313,2.03
2,16x16,20,100.0,0.012105,0.004005,2.04
2,16x16,25,100.0,0.011121,0.003429,2.13
2,16x16,30,100.0,0.010713,0.00393,2.39
2,16x16,35,100.0,0.00957,0.003783,2.59
2,16x16,40,100.0,0.006068,0.003178,2.25
2,16x16,45,100.0,0.001922,0.001388,1.29
2,16x16,50,100.0,0.00041,0.0003,1.01
2,16x16,55,100.0,0.000203,8.4e-05,1
2,16x16,60,100.0,0.000176,3.9e-05,1
2,16x16,65,100.0,0.000166,4.8e-05,1
2,16x16,70,100.0,0.000166,4.7e-05,1
2,16x16,75,100.0,0.000151,2.1e-05,1
2,16x16,80,100.0,0.000149,2.9e-05,1
2,16x16,85,100.0,0.000145,1.3e-05,1
2,16x16,90,100.0,0.000146,1.5e-05,1
2,16x16,95,100.0,0.000147,1.8e-05,1
2,16x16,100,100.0,0.000147,1.4e-05,1
2,25x25,0,100.0,0.416121,0.244439,8.55
2,25x25,5,100.0,0.313852,0.155201,7.09
2,25x25,10,100.0,0.330072,0.199148,8.24
2,25x25,15,100.0,0.446189,0.397692,12.18
2,25x25,20,100.0,0.439137,0.406922,13.81
2,25x25,25,100.0,0.681998,0.553123,24.5
2,25x25,30,100.0,0.920418,0.883009,38.95
2,25x25,35,100.0,1.484897,1.271858,75.71
2,25x25,40,100.0,2.028766,1.657072,126.88
2,25x25,45,91.0,2.313916,2.333869,190.593
2,25x25,50,98.0,0.361855,1.304355,42.939
2,25x25,55,100.0,0.000685,0.000898,1.01
2,25x25,60,100.0,0.000429,9.8e-05,1
2,25x25,65,100.0,0.000395,7.3e-05,1
2,25x25,70,100.0,0.000387,6.9e-05,1
2,25x25,75,100.0,0.000374,6.1e-05,1
2,25x25,80,100.0,0.000378,7.3e-05,1
2,25x25,85,100.0,0.000389,8.7e-05,1
2,25x25,90,100.0,0.000378,7.4e-05,1
2,25x25,95,100.0,0.000376,6.4e-05,1
2,25x25,100,100.0,0.00038,7.3e-05,1
2,9x9,0,100.0,0.00124,0.00038,1.13
2,9x9,5,100.0,0.001004,0.000178,1.02
2,9x9,10,100.0,0.000886,3.1e-05,1
2,9x9,15,100.0,0.000807,8.5e-05,1.01
2,9x9,20,100.0,0.000709,3.7e-05,1
2,9x9,25,100.0,0.000612,5.2e-05,1
2,9x9,30,100.0,0.000481,7.7e-05,1.01
2,9x9,35,100.0,0.000329,8.7e-05,1
2,9x9,40,100.0,0.000172,7.2e-05,1
2,9x9,45,100.0,0.000106,4.4e-05,1
2,9x9,50,100.0,8.3e-05,2.4e-05,1
2,9x9,55,100.0,6.9e-05,1.5e-05,1
2,9x9,60,100.0,6.7e-05,1.5e-05,1
2,9x9,65,100.0,6.5e-05,9e-06,1
2,9x9,70,100.0,6.3e-05,7e-06,1
2,9x9,75,100.0,6.5e-05,1.9e-05,1
2,9x9,80,100.0,6.3e-05,7e-06,1
2,9x9,85,100.0,6.4e-05,1e-05,1
2,9x9,90,100.0,6.3e-05,1.2e-05,1
2,9x9,95,100.0,6.2e-05,6e-06,1
2,9x9,100,100.0,6.3e-05,7e-06,1
