alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
0,16x16,0,100.0,0.016456,0.004768,1.75
0,16x16,5,100.0,0.014957,0.005585,1.77
0,16x16,10,100.0,0.013596,0.004128,1.83
0,16x16,15,100.0,0.013122,0.005155,1.88
0,16x16,20,100.0,0.014282,0.005211,1.91
0,16x16,25,100.0,0.012554,0.005003,1.99
0,16x16,30,100.0,0.012551,0.005489,2.21
0,16x16,35,100.0,0.011623,0.007063,3.02
0,16x16,40,100.0,0.010986,0.017372,3.38
0,16x16,45,100.0,0.002834,0.003368,1.76
0,16x16,50,100.0,0.000439,0.000312,1
0,16x16,55,100.0,0.000201,0.00015,1
0,16x16,60,100.0,0.000153,7.9e-05,1
0,16x16,65,100.0,0.000149,6.4e-05,1
0,16x16,70,100.0,0.000139,5.2e-05,1
0,16x16,75,100.0,0.000121,4.7e-05,1
0,16x16,80,100.0,0.000136,5.2e-05,1
0,16x16,85,100.0,0.000119,5e-05,1
0,16x16,90,100.0,0.000125,4.4e-05,1
0,16x16,95,100.0,0.000133,6e-05,1
0,16x16,100,100.0,0.000128,5e-05,1
0,25x25,0,100.0,0.439443,0.590574,8.75
0,25x25,5,100.0,0.428896,0.6597,9.41
0,25x25,10,100.0,0.778658,1.000967,19.13
0,25x25,15,100.0,0.576346,0.626654,15.83
0,25x25,20,100.0,0.828436,0.822825,26.06
0,25x25,25,100.0,1.443469,1.38016,52.2
0,25x25,30,100.0,1.71717,1.686823,85.39
0,25x25,35,100.0,2.032966,1.811338,127.84
0,25x25,40,100.0,3.602522,2.980052,240.14
0,25x25,45,86.0,5.966732,12.065769,547.023
0,25x25,50,95.0,1.845147,7.110982,170.305
0,25x25,55,100.0,0.000678,0.001511,1.01
0,25x25,60,100.0,0.000382,0.000171,1
0,25x25,65,100.0,0.000324,0.0002,1
0,25x25,70,100.0,0.000283,0.000125,1
0,25x25,75,100.0,0.00031,0.000172,1
0,25x25,80,100.0,0.000239,0.0001,1
0,25x25,85,100.0,0.000225,7.1e-05,1
0,25x25,90,100.0,0.000228,8.9e-05,1
0,25x25,95,100.0,0.000244,0.000102,1
0,25x25,100,100.0,0.000268,0.000117,1
0,9x9,0,100.0,0.001565,0.000535,1
0,9x9,5,100.0,0.001425,0.00047,1
0,9x9,10,100.0,0.001319,0.000489,1
0,9x9,15,100.0,0.001314,0.000448,1
0,9x9,20,100.0,0.000892,0.000289,1.01
0,9x9,25,100.0,0.000907,0.000399,1.01
0,9x9,30,100.0,0.00067,0.000269,1
0,9x9,35,100.0,0.000509,0.00024,1.01
0,9x9,40,100.0,0.000259,0.000189,1
0,9x9,45,100.0,0.000128,8.6e-05,1
0,9x9,50,100.0,0.000108,9.5e-05,1
0,9x9,55,100.0,7.8e-05,5.3e-05,1
0,9x9,60,100.0,5.9e-05,3.7e-05,1
0,9x9,65,100.0,7.7e-05,0.000103,1
0,9x9,70,100.0,5.4e-05,2.9e-05,1
