alg,instance,success_%,time_mean,time_std,cycles_mean
2,aiescargot.txt,100.0,0.010207,0.01119,22.67
2,coly013.txt,100.0,0.028472,0.021362,53.32
2,goldennugget.txt,100.0,0.027898,0.021042,55.64
2,platinumblond.txt,100.0,0.07395,0.061164,141.31
2,reddwarf.txt,100.0,0.02122,0.016333,43.53
2,sabuncu1.txt,100.0,6.2e-05,6e-06,1
2,sabuncu10.txt,100.0,6.2e-05,7e-06,1
2,sabuncu2.txt,100.0,6.3e-05,1.2e-05,1
2,sabuncu3.txt,100.0,0.000478,0.000176,1.21
2,sabuncu4.txt,100.0,0.000255,6.2e-05,1.03
2,sabuncu5.txt,100.0,6.5e-05,1.1e-05,1
2,sabuncu6.txt,100.0,0.008213,0.006781,18.5
2,sabuncu7.txt,100.0,0.000442,0.000233,1.2
2,sabuncu8.txt,100.0,0.000316,8.3e-05,1.08
2,sabuncu9.txt,100.0,0.000489,0.000283,1.25
2,tarx0134.txt,100.0,0.013992,0.01458,27.24
