alg,puzzle,F%,solution_rate,time_mean,time_std,cycles_mean
0,16x16,0,100.0,0.012796,0.003794,1.69
0,16x16,5,100.0,0.011736,0.003395,1.71
0,16x16,10,100.0,0.010756,0.003275,1.74
0,16x16,15,100.0,0.00997,0.003882,1.81
0,16x16,20,100.0,0.009725,0.003575,1.97
0,16x16,25,100.0,0.009954,0.004947,2.35
0,16x16,30,100.0,0.009084,0.004965,2.54
0,16x16,35,100.0,0.007192,0.003932,2.51
0,16x16,40,100.0,0.006637,0.011149,3.17
0,16x16,45,100.0,0.001832,0.002277,1.58
0,16x16,50,100.0,0.000275,0.000217,1.01
0,16x16,55,100.0,0.000121,7.3e-05,1
0,16x16,60,100.0,9.5e-05,2.6e-05,1
0,16x16,65,100.0,8.6e-05,1.7e-05,1
0,16x16,70,100.0,8.3e-05,1.7e-05,1
0,16x16,75,100.0,8.4e-05,3.4e-05,1
0,16x16,80,100.0,7.9e-05,1.5e-05,1
0,16x16,85,100.0,7.8e-05,1.4e-05,1
0,16x16,90,100.0,7.8e-05,1.5e-05,1
0,16x16,95,100.0,7.9e-05,1.6e-05,1
0,16x16,100,100.0,7.9e-05,1.3e-05,1
0,25x25,0,100.0,0.314121,0.349163,7.8
0,25x25,5,100.0,0.372538,0.600292,10.27
0,25x25,10,100.0,0.338341,0.412122,10.33
0,25x25,15,100.0,0.589259,0.745987,20.37
0,25x25,20,100.0,0.670701,0.916438,26.3
0,25x25,25,100.0,1.009446,0.921102,45.96
0,25x25,30,100.0,1.455542,1.458453,77.22
0,25x25,35,100.0,2.160438,1.805435,144.86
0,25x25,40,100.0,2.768207,2.216467,248.54
0,25x25,45,100.0,2.230185,2.207446,471.79
0,25x25,50,100.0,0.355621,0.963494,170.86
0,25x25,55,100.0,0.000717,0.002849,1.1
0,25x25,60,100.0,0.000267,0.000127,1
0,25x25,65,100.0,0.000226,5.4e-05,1
0,25x25,70,100.0,0.000217,4.7e-05,1
0,25x25,75,100.0,0.000208,4.5e-05,1
0,25x25,80,100.0,0.000217,5.4e-05,1
0,25x25,85,100.0,0.0002,3.4e-05,1
0,25x25,90,100.0,0.000215,6.7e-05,1
0,25x25,95,100.0,0.000213,5.9e-05,1
0,25x25,100,100.0,0.000239,8.9e-05,1
0,9x9,0,100.0,0.001002,0.000205,1.01
0,9x9,5,100.0,0.000835,9.3e-05,1.01
0,9x9,10,100.0,0.000756,9.8e-05,1
0,9x9,15,100.0,0.000673,5.8e-05,1
0,9x9,20,100.0,0.000604,9e-05,1.01
0,9x9,25,100.0,0.000509,8.3e-05,1.02
0,9x9,30,100.0,0.000427,0.000133,1.01
0,9x9,35,100.0,0.000278,0.000105,1.01
0,9x9,40,100.0,0.00013,6.4e-05,1
0,9x9,45,100.0,7.4e-05,4e-05,1
0,9x9,50,100.0,5.6e-05,2.3e-05,1
0,9x9,55,100.0,4.2e-05,1.4e-05,1
0,9x9,60,100.0,3.9e-05,9e-06,1
0,9x9,65,100.0,3.9e-05,1.8e-05,1
0,9x9,70,100.0,3.6e-05,7e-06,1
0,9x9,75,100.0,3.6e-05,1.1e-05,1
0,9x9,80,100.0,3.7e-05,1.1e-05,1
0,9x9,85,100.0,3.6e-05,8e-06,1
0,9x9,90,100.0,3.6e-05,1.3e-05,1
0,9x9,95,100.0,3.5e-05,6e-06,1
0,9x9,100,100.0,3.9e-05,2.5e-05,1
2,16x16,0,100.0,0.016932,0.004809,2.41
2,16x16,5,100.0,0.016482,0.00609,2.57
2,16x16,10,100.0,0.013174,0.003906,2.29
2,16x16,15,100.0,0.011784,0.004054,2.28
2,16x16,20,100.0,0.010499,0.003947,2.31
2,16x16,25,100.0,0.009643,0.00389,2.42
2,16x16,30,100.0,0.008086,0.003706,2.39
2,16x16,35,100.0,0.008159,0.003883,2.95
2,16x16,40,100.0,0.006416,0.005541,3.11
2,16x16,45,100.0,0.00167,0.001416,1.42
2,16x16,50,100.0,0.000329,0.000205,1.01
2,16x16,55,100.0,0.000177,6.5e-05,1
2,16x16,60,100.0,0.000162,3.8e-05,1
2,16x16,65,100.0,0.000151,2.7e-05,1
2,16x16,70,100.0,0.000152,3.6e-05,1
2,16x16,75,100.0,0.00015,3.8e-05,1
2,16x16,80,100.0,0.000149,2.4e-05,1
2,16x16,85,100.0,0.000148,4e-05,1
2,16x16,90,100.0,0.000142,2.2e-05,1
2,16x16,95,100.0,0.000147,3.4e-05,1
2,16x16,100,100.0,0.00015,3.9e-05,1
2,25x25,0,100.0,0.774391,0.65039,20.9
2,25x25,5,100.0,0.705001,0.653698,20.9
2,25x25,10,100.0,0.700857,0.661804,22.8
2,25x25,15,100.0,0.573439,0.658951,21.18
2,25x25,20,100.0,0.852413,1.022038,35.78
2,25x25,25,100.0,1.19955,1.25059,57.69
2,25x25,30,100.0,1.145924,1.043103,76.64
2,25x25,35,100.0,1.855734,1.790858,167.15
2,25x25,40,100.0,2.055529,1.755895,249.87
2,25x25,45,100.0,2.425481,2.151373,353.07
2,25x25,50,100.0,0.307761,0.809777,62.13
2,25x25,55,100.0,0.000681,0.000824,1.02
2,25x25,60,100.0,0.000449,0.000196,1
2,25x25,65,100.0,0.000377,9.9e-05,1
2,25x25,70,100.0,0.000405,0.00013,1
2,25x25,75,100.0,0.000415,0.000181,1
2,25x25,80,100.0,0.000383,9.5e-05,1
2,25x25,85,100.0,0.000414,0.000121,1
2,25x25,90,100.0,0.000385,9.5e-05,1
2,25x25,95,100.0,0.000382,0.000113,1
2,25x25,100,100.0,0.000388,0.000238,1
2,9x9,0,100.0,0.00112,0.000394,1.29
2,9x9,5,100.0,0.000799,0.000144,1.03
2,9x9,10,100.0,0.00072,0.000124,1.03
2,9x9,15,100.0,0.000669,0.000169,1.02
2,9x9,20,100.0,0.000574,9.5e-05,1.01
2,9x9,25,100.0,0.000511,9.5e-05,1.01
2,9x9,30,100.0,0.000397,0.000101,1.02
2,9x9,35,100.0,0.000275,8.1e-05,1.01
2,9x9,40,100.0,0.000153,7.3e-05,1
2,9x9,45,100.0,9.8e-05,3.8e-05,1
2,9x9,50,100.0,7.9e-05,3e-05,1
2,9x9,55,100.0,7e-05,2.4e-05,1
2,9x9,60,100.0,6.5e-05,2e-05,1
2,9x9,65,100.0,6.3e-05,1.6e-05,1
2,9x9,70,100.0,6.2e-05,1.6e-05,1
2,9x9,75,100.0,6e-05,1.6e-05,1
2,9x9,80,100.0,6.7e-05,2.8e-05,1
2,9x9,85,100.0,6.3e-05,1.4e-05,1
2,9x9,90,100.0,7.4e-05,7.2e-05,1
2,9x9,95,100.0,6.7e-05,3.3e-05,1
2,9x9,100,100.0,7.5e-05,5.8e-05,1
