alg,instance,success_%,time_mean,time_std
0,aiescargot.txt,100.0,0.007036,0.006305
0,coly013.txt,100.0,0.022088,0.021982
0,goldennugget.txt,100.0,0.017153,0.013432
0,platinumblond.txt,100.0,0.055503,0.055013
0,reddwarf.txt,100.0,0.018119,0.016522
0,sabuncu1.txt,100.0,3.6e-05,1.4e-05
0,sabuncu10.txt,100.0,3.5e-05,6e-06
0,sabuncu2.txt,100.0,3.5e-05,5e-06
0,sabuncu3.txt,100.0,0.000357,0.000166
0,sabuncu4.txt,100.0,0.000198,9.6e-05
0,sabuncu5.txt,100.0,3.5e-05,5e-06
0,sabuncu6.txt,100.0,0.004442,0.003593
0,sabuncu7.txt,100.0,0.000364,0.000296
0,sabuncu8.txt,100.0,0.000258,8.7e-05
0,sabuncu9.txt,100.0,0.000561,0.000609
0,tarx0134.txt,100.0,0.010451,0.008301
2,aiescargot.txt,100.0,0.012279,0.012357
2,coly013.txt,100.0,0.035892,0.030711
2,goldennugget.txt,100.0,0.027503,0.021942
2,platinumblond.txt,100.0,0.069746,0.059271
2,reddwarf.txt,100.0,0.021303,0.018888
2,sabuncu1.txt,100.0,5.7e-05,8e-06
2,sabuncu10.txt,100.0,5.5e-05,8e-06
2,sabuncu2.txt,100.0,5.6e-05,8e-06
2,sabuncu3.txt,100.0,0.000396,0.000142
2,sabuncu4.txt,100.0,0.000202,5.4e-05
2,sabuncu5.txt,100.0,5.5e-05,5e-06
2,sabuncu6.txt,100.0,0.007063,0.006003
2,sabuncu7.txt,100.0,0.000385,0.000212
2,sabuncu8.txt,100.0,0.000274,9.3e-05
2,sabuncu9.txt,100.0,0.000435,0.000273
2,tarx0134.txt,100.0,0.012746,0.015447
